datetime,UK_GDP_QoQ_Actual,UK_GDP_QoQ_Srv_Med,UK_GDP_QoQ_Revised,UK_GDP_QoQ_Prior,Is_P
2013-04-25 16:30:00,0.3,0.1,-0.3,-0.3,1.0
2013-03-27 17:30:00,-0.3,-0.3,-0.3,0.9,0.0
2013-02-27 17:30:00,-0.3,-0.3,-0.3,-0.3,1.0
2013-01-25 17:30:00,-0.3,-0.1,1.0,1.0,1.0
2012-12-21 17:30:00,0.9,1.0,1.0,-0.4,0.0
2012-11-27 17:30:00,1.0,1.0,1.0,1.0,1.0
2012-10-25 16:30:00,1.0,0.6,-0.4,-0.5,1.0
2012-09-27 16:30:00,-0.4,-0.5,-0.5,-0.3,0.0
2012-08-24 16:30:00,-0.5,-0.5,-0.7,-0.7,1.0
2012-07-25 16:30:00,-0.7,-0.2,-0.3,-0.3,1.0
2012-06-28 16:30:00,-0.3,-0.3,-0.3,-0.3,0.0
2012-05-24 16:30:00,-0.3,-0.2,-0.2,-0.2,1.0
2012-04-25 16:30:00,-0.2,0.1,-0.3,-0.2,1.0
2012-03-28 16:30:00,-0.3,-0.2,-0.2,0.6,0.0
2012-02-24 17:30:00,-0.2,-0.2,-0.2,-0.2,1.0
2012-01-25 17:30:00,-0.2,-0.1,0.6,0.5,1.0
2011-12-22 17:30:00,0.6,0.5,0.5,0.1,0.0
2011-11-24 17:30:00,0.5,0.5,0.5,0.5,1.0
2011-11-01 17:30:00,0.5,0.4,0.1,0.2,1.0
2011-10-05 16:30:00,0.1,0.2,0.2,0.5,0.0
2011-08-26 16:30:00,0.2,0.2,0.2,0.2,1.0
2011-07-26 16:30:00,0.2,0.2,0.5,0.5,1.0
2011-06-28 16:30:00,0.5,0.5,0.5,-0.5,0.0
2011-05-25 16:30:00,0.5,0.5,0.5,0.5,1.0
2011-04-27 16:30:00,0.5,0.5,-0.5,-0.6,1.0
2011-03-29 16:30:00,-0.5,-0.6,-0.6,0.7,0.0
2011-02-25 17:30:00,-0.6,-0.5,-0.5,-0.5,1.0
2011-01-25 17:30:00,-0.5,0.5,0.7,0.8,1.0
2010-12-22 17:30:00,0.7,0.8,0.8,1.2,0.0
2010-11-24 17:30:00,0.8,0.8,0.8,0.8,1.0
2010-10-26 16:30:00,0.8,0.4,1.2,1.2,1.0
2010-09-28 16:30:00,1.2,1.2,1.2,0.3,0.0
2010-08-27 16:30:00,1.2,1.1,1.1,1.1,1.0
2010-07-23 16:30:00,1.1,0.6,0.3,0.3,1.0
2010-07-12 16:30:00,0.3,0.3,0.3,0.4,0.0
2010-05-25 16:30:00,0.3,0.3,0.2,0.2,1.0
2010-04-23 16:30:00,0.2,0.4,0.4,0.1,1.0
2010-03-30 16:30:00,0.4,0.3,0.3,0.3,0.0
2010-02-26 17:30:00,0.3,0.2,0.1,-0.2,0.0
2010-01-26 17:30:00,0.1,0.4,-0.2,-0.4,1.0
2009-12-22 17:30:00,-0.2,-0.1,-0.3,-0.3,0.0
2009-11-25 17:30:00,-0.3,-0.3,-0.4,-0.6,0.0
2009-10-23 16:30:00,-0.4,0.1,-0.6,-0.8,1.0
2009-09-29 16:30:00,-0.6,-0.6,-0.7,-0.7,0.0
2009-08-28 16:30:00,-0.7,-0.8,-0.8,-2.4,0.0
2009-07-24 16:30:00,-0.8,-0.3,-2.4,-1.9,1.0
2009-06-30 16:30:00,-2.4,-2.1,-1.9,-1.9,0.0
2009-05-22 16:30:00,-1.9,-1.9,-1.9,-1.6,0.0
2009-04-24 16:30:00,-1.9,-1.5,-1.6,,1.0
2009-03-27 17:30:00,-1.6,-1.5,-1.5,-1.5,0.0
2009-02-25 17:30:00,-1.5,-1.6,-1.5,-1.5,0.0
2009-01-23 17:30:00,-1.5,-1.2,-0.6,-0.6,0.0
2008-12-23 17:30:00,-0.6,-0.5,-0.5,-0.5,0.0
2008-11-26 17:30:00,-0.5,-0.5,-0.5,-0.5,0.0
2008-10-24 16:30:00,-0.5,-0.2,0.0,0.0,0.0
2008-09-30 16:30:00,0.0,0.0,0.0,0.0,0.0
2008-08-22 16:30:00,0.0,0.1,0.2,0.2,0.0
2008-07-25 16:30:00,0.2,0.2,0.3,0.3,0.0
2008-06-27 16:30:00,0.3,0.4,0.4,0.4,0.0
2008-04-25 16:30:00,0.4,0.4,0.6,0.6,0.0
2008-03-28 17:30:00,0.6,0.6,0.6,0.6,0.0
2008-02-27 17:30:00,0.6,0.6,0.6,,0.0
