datetime,Swiss_PPI_MoM_Actual,Swiss_PPI_MoM_Srv_Med,Swiss_PPI_MoM_Revised,Swiss_PPI_MoM_Prior
2017-05-15 15:15:00,-0.2,0.0,0.1,0.1
2017-04-13 15:15:00,0.1,0.1,-0.2,-0.2
2017-03-15 16:15:00,-0.2,0.4,0.4,0.4
2017-02-14 16:15:00,0.4,0.3,0.2,0.2
2017-01-19 16:15:00,0.2,0.2,0.1,0.1
2016-12-14 16:15:00,0.1,-0.1,0.1,0.1
2016-11-14 16:15:00,0.1,0.2,0.3,0.3
2016-10-14 15:15:00,0.3,0.1,-0.3,-0.3
2016-09-13 15:15:00,-0.3,-0.2,-0.1,-0.1
2016-08-15 15:15:00,-0.1,-0.2,0.1,0.1
2016-07-14 15:15:00,0.1,0.2,0.4,0.4
2016-06-14 15:15:00,0.4,0.1,0.3,0.3
2016-05-17 15:15:00,0.3,0.1,0.0,0.0
2016-04-14 15:15:00,0.0,-0.2,-0.6,-0.6
2016-03-17 16:15:00,-0.6,0.2,-0.4,-0.4
2016-02-22 16:15:00,-0.4,-0.2,-0.4,-0.4
2016-01-19 16:15:00,-0.4,0.2,0.4,0.4
2015-12-15 16:15:00,0.4,0.1,0.2,0.2
2015-11-13 16:15:00,0.2,-0.2,-0.1,-0.1
2015-10-13 15:15:00,-0.1,-0.1,-0.7,-0.7
2015-09-14 15:15:00,-0.7,-0.4,-0.3,-0.3
2015-08-13 15:15:00,-0.3,-0.2,-0.1,-0.1
2015-07-14 15:15:00,-0.1,0.2,-0.8,-0.8
2015-06-15 15:15:00,-0.8,0.1,-2.1,-2.1
2015-05-15 15:15:00,-2.1,-0.1,0.2,0.2
2015-04-16 15:15:00,0.2,0.1,-1.4,-1.4
2015-03-16 16:15:00,-1.4,0.4,-0.6,-0.6
2015-02-13 16:15:00,-0.6,-0.6,-0.4,-0.4
2015-01-19 16:15:00,-0.4,-0.6,-0.7,-0.7
2014-12-15 16:15:00,-0.7,0.2,-0.1,-0.1
2014-11-13 16:15:00,-0.1,-0.2,-0.1,-0.1
2014-10-14 15:15:00,-0.1,-0.1,-0.2,-0.2
2014-09-15 15:15:00,-0.2,0.2,0.0,0.0
2014-08-14 15:15:00,0.0,0.0,0.0,0.0
2014-07-15 15:15:00,0.0,0.1,0.1,0.1
2014-06-17 15:15:00,0.1,0.1,-0.3,-0.3
2014-05-15 15:15:00,-0.3,0.2,0.0,0.0
2014-04-15 15:15:00,0.0,-0.1,-0.4,-0.4
2014-03-14 16:15:00,-0.4,-0.1,0.0,0.0
2014-02-13 16:15:00,0.0,-0.1,0.0,0.0
2014-01-17 16:15:00,0.0,0.1,-0.1,-0.1
2013-12-13 16:15:00,-0.1,-0.2,-0.4,-0.4
2013-11-14 16:15:00,-0.4,-0.2,0.1,0.1
2013-10-14 15:15:00,0.1,0.0,0.2,0.2
2013-09-13 15:15:00,0.2,0.2,0.0,0.0
2013-08-14 15:15:00,0.0,0.2,0.1,0.1
2013-07-15 15:15:00,0.1,0.1,-0.3,-0.3
2013-06-13 15:15:00,-0.3,0.1,0.2,0.2
2013-05-15 15:15:00,0.2,-0.1,0.0,0.0
2013-04-16 15:15:00,0.0,-0.1,0.1,0.1
2013-03-15 16:15:00,0.1,0.2,-0.1,-0.1
2013-02-13 16:15:00,-0.1,0.3,0.1,0.1
2013-01-17 16:15:00,0.1,0.1,0.0,0.0
2012-12-13 16:15:00,0.0,-0.3,-0.1,-0.1
2012-11-13 16:15:00,-0.1,0.2,0.3,0.3
2012-10-15 15:15:00,0.3,0.2,0.5,0.5
2012-09-13 15:15:00,0.5,-0.4,-0.3,-0.3
2012-08-14 15:15:00,-0.3,-0.2,-0.3,-0.3
2012-07-13 15:15:00,-0.3,-0.4,-0.2,-0.2
2012-06-13 15:15:00,-0.2,-0.2,-0.1,-0.1
2012-05-14 15:15:00,-0.1,0.3,0.3,0.3
2012-04-16 15:15:00,0.3,0.5,0.8,0.8
2012-03-13 16:15:00,0.8,0.3,0.0,0.0
2012-02-13 16:15:00,0.0,0.2,0.3,0.3
2012-01-16 16:15:00,0.3,-0.3,-0.8,-0.8
2011-12-14 16:15:00,-0.8,-0.2,-0.2,-0.2
2011-11-14 16:15:00,-0.2,-0.3,-0.1,-0.1
2011-10-13 15:15:00,-0.1,-0.1,-1.2,-1.2
2011-09-14 15:15:00,-1.2,-0.3,-0.7,-0.7
2011-08-15 15:15:00,-0.7,-0.6,-0.5,-0.5
2011-07-13 15:15:00,-0.5,-0.3,-0.2,-0.2
2011-06-15 15:15:00,-0.2,0.1,0.3,0.3
2011-05-13 15:15:00,0.3,0.4,0.4,0.4
2011-04-13 15:15:00,0.4,0.4,0.2,0.2
2011-03-18 16:15:00,0.2,0.4,0.1,0.1
2011-02-23 16:15:00,0.1,0.1,0.3,0.3
2011-01-14 16:15:00,0.3,0.1,-0.2,-0.2
2010-12-13 16:15:00,-0.2,0.1,-0.4,-0.4
2010-11-15 16:15:00,-0.4,0.0,-0.1,-0.1
2010-10-13 15:15:00,-0.1,0.2,0.1,0.1
2010-09-13 15:15:00,0.1,0.3,-0.5,-0.5
2010-08-13 15:15:00,-0.5,0.2,-0.4,-0.4
2010-07-13 15:15:00,-0.4,0.2,0.3,0.3
2010-06-14 15:15:00,0.3,0.0,0.6,0.6
2010-05-12 15:15:00,0.6,0.4,0.5,0.5
2010-04-16 15:15:00,0.5,0.2,-0.3,-0.3
2010-03-15 16:15:00,-0.3,0.2,0.3,0.3
2010-02-15 16:15:00,0.3,0.1,0.2,0.1
2010-01-15 16:15:00,0.1,0.2,0.0,0.0
2009-12-14 16:15:00,0.0,0.2,-0.4,-0.4
2009-11-13 16:15:00,-0.4,0.1,0.2,0.2
2009-10-13 15:15:00,0.2,0.1,0.1,0.1
2009-09-14 15:15:00,0.1,0.1,0.0,0.0
2009-08-13 15:15:00,0.0,0.1,0.0,0.0
2009-07-13 15:15:00,0.0,0.1,-0.3,-0.3
2009-06-15 15:15:00,-0.3,0.1,-0.2,-0.2
2009-05-14 15:15:00,-0.2,1.0,-0.5,-0.5
2009-04-16 15:15:00,-0.5,-0.2,-0.6,-0.6
2009-03-13 16:15:00,-0.6,-0.2,-0.8,-0.8
2009-02-13 16:15:00,-0.8,-0.1,-0.7,-0.7
2009-01-16 16:15:00,-0.7,-0.6,-1.4,-1.4
2008-12-15 16:15:00,-1.4,-0.6,-0.6,-0.6
2008-11-13 16:15:00,-0.6,-0.5,-0.5,-0.5
2008-10-13 15:15:00,-0.5,-0.3,-0.5,-0.5
2008-09-15 15:15:00,-0.5,-0.2,0.5,0.5
2008-08-21 15:15:00,0.5,0.3,0.6,0.6
2008-07-21 15:15:00,0.6,0.4,1.2,1.2
2008-06-20 15:15:00,1.2,0.9,0.7,0.7
2008-05-20 16:15:00,0.7,0.5,0.6,0.6
2008-04-21 15:15:00,0.6,0.3,0.2,0.2
2008-03-20 16:15:00,0.2,0.3,0.5,0.5
2008-02-21 16:15:00,0.5,-0.1,-0.1,-0.10
2008-01-01 17:00:00,-0.10,None,0.30,0.30
2007-12-01 17:00:00,0.30,None,0.20,0.20
2007-11-01 17:00:00,0.20,None,-0.30,-0.30
2007-10-01 17:00:00,-0.30,None,0.30,0.30
2007-09-01 17:00:00,0.30,None,0.10,0.10
2007-08-01 17:00:00,0.10,None,0.00,0.00
2007-07-01 17:00:00,0.00,None,0.90,0.90
2007-06-01 17:00:00,0.90,None,0.90,0.90
2007-05-01 17:00:00,0.90,None,0.30,0.30
2007-04-01 17:00:00,0.30,None,0.30,0.30
2007-03-01 17:00:00,0.30,None,-0.20,-0.2
2007-02-01 17:00:00,-0.2,,0.0,0.0
2007-01-01 17:00:00,0.0,,0.0,0.0
2006-12-01 17:00:00,0.0,,-0.1,-0.1
2006-11-01 17:00:00,-0.1,,0.0,0.0
2006-10-01 17:00:00,0.0,,0.4,0.4
2006-09-01 17:00:00,0.4,,0.2,0.2
2006-08-01 17:00:00,0.2,,0.0,0.0
2006-07-01 17:00:00,0.0,,0.6,0.6
2006-06-01 17:00:00,0.6,,0.8,0.8
2006-05-01 17:00:00,0.8,,0.1,0.1
2006-04-01 17:00:00,0.1,,0.3,0.3
2006-03-01 17:00:00,0.3,,0.2,0.2
2006-02-01 17:00:00,0.2,,0.1,0.1
2006-01-01 17:00:00,0.1,,-0.4,-0.4
2005-12-01 17:00:00,-0.4,,0.0,0.0
2005-11-01 17:00:00,0.0,,0.7,0.7
2005-10-01 17:00:00,0.7,,0.2,0.2
2005-09-01 17:00:00,0.2,,0.4,0.4
2005-08-01 17:00:00,0.4,,-0.3,-0.3
2005-07-01 17:00:00,-0.3,,-0.3,-0.3
2005-06-01 17:00:00,-0.3,,0.4,0.4
2005-05-01 17:00:00,0.4,,0.2,0.2
2005-04-01 17:00:00,0.2,,0.4,0.4
2005-03-01 17:00:00,0.4,,-0.2,-0.2
2005-02-01 17:00:00,-0.2,,-0.4,-0.4
2005-01-01 17:00:00,-0.4,,-0.1,-0.1
2004-12-01 17:00:00,-0.1,,0.5,0.5
2004-11-01 17:00:00,0.5,,0.1,0.1
2004-10-01 17:00:00,0.1,,0.3,0.3
2004-09-01 17:00:00,0.3,,-0.1,-0.1
2004-08-01 17:00:00,-0.1,,-0.3,-0.3
2004-07-01 17:00:00,-0.3,,0.5,0.5
2004-06-01 17:00:00,0.5,,0.6,0.6
2004-05-01 17:00:00,0.6,,0.5,0.5
2004-04-01 17:00:00,0.5,,0.0,0.0
2004-03-01 17:00:00,0.0,,0.0,
