datetime,CAD_RS_MoM_Actual,CAD_RS_MoM_Srv_Med,CAD_RS_MoM_Revised,CAD_RS_MoM_Prior
2/22/2017 21:30,-0.5,0.1,0.3,0.2
1/20/2017 21:30,0.2,0.5,1.2,1.1
12/22/2016 21:30,1.1,0.2,0.8,0.6
11/22/2016 21:30,0.6,0.6,0.1,-0.1
10/21/2016 20:30,-0.1,0.3,-0.2,-0.1
9/23/2016 20:30,-0.1,0.1,-0.1,-0.1
8/19/2016 20:30,-0.1,0.5,0.2,0.2
7/22/2016 20:30,0.2,0,0.8,0.9
6/22/2016 20:30,0.9,0.9,-0.8,-1
5/20/2016 20:30,-1,-0.6,0.6,0.4
4/22/2016 20:30,0.4,-0.8,2,2.1
3/18/2016 20:30,2.1,0.6,-2.1,-2.2
2/19/2016 21:30,-2.2,-0.6,1.7,1.7
1/22/2016 21:30,1.7,0.2,0.1,0.1
12/23/2015 21:30,0.1,0.4,-0.4,-0.5
11/20/2015 21:30,-0.5,0.2,0.5,0.5
10/22/2015 20:30,0.5,0.1,0.6,0.5
9/23/2015 20:30,0.5,0.5,0.4,0.6
8/21/2015 20:30,0.6,0.2,0.9,1
7/23/2015 20:30,1,0.5,-0.1,-0.1
6/19/2015 20:30,-0.1,0.7,0.9,0.7
5/22/2015 20:30,0.7,0.3,1.5,1.7
4/17/2015 20:30,1.7,0.2,-1.4,-1.7
3/20/2015 20:30,-1.7,-0.7,-1.8,-2
2/20/2015 21:30,-2,-0.3,0.4,0.4
1/23/2015 21:30,0.4,0.1,0,0
12/19/2014 21:30,0,-0.2,0.8,0.8
11/25/2014 21:30,0.8,0.6,-0.2,-0.3
10/22/2014 20:30,-0.3,0.2,-0.1,-0.1
9/23/2014 20:30,-0.1,0.4,1.2,1.1
8/22/2014 20:30,1.1,0.6,0.9,0.7
7/23/2014 20:30,0.7,0.6,1.3,1.1
6/20/2014 20:30,1.1,0.4,0.1,-0.1
5/22/2014 20:30,-0.1,0.2,0.7,0.5
4/23/2014 20:30,0.5,0.5,0.9,1.3
3/21/2014 20:30,1.3,0.8,-1.9,-1.8
2/21/2014 21:30,-1.8,-0.5,0.5,0.6
1/23/2014 21:30,0.6,0.3,-0.1,-0.1
12/20/2013 21:30,-0.1,0.3,1,1
11/22/2013 21:30,1,0.5,0.1,0.2
10/22/2013 20:30,0.2,0.3,0.5,0.6
9/24/2013 20:30,0.6,1,-0.6,-0.6
8/22/2013 20:30,-0.6,-1,1.8,1.9
7/23/2013 20:30,1.9,0.4,0.2,0.1
6/21/2013 20:30,0.1,0.2,0,0
5/22/2013 20:30,0,0.2,0.7,0.8
4/23/2013 20:30,0.8,0.5,0.9,1
3/21/2013 20:30,1,1,-2.3,-2.1
2/22/2013 21:30,-2.1,-0.8,0.3,0.2
1/22/2013 21:30,0.2,-0.2,0.5,0.7
12/20/2012 21:30,0.7,0.1,0.2,0.1
11/22/2012 21:30,0.1,1,0.3,0.3
10/23/2012 20:30,0.3,0.4,0.7,0.7
9/25/2012 20:30,0.7,0.3,-0.3,-0.4
8/22/2012 20:30,-0.4,0.1,0.2,0.3
7/24/2012 20:30,0.3,0.5,-0.6,-0.5
6/21/2012 20:30,-0.5,0.3,0.4,0.4
5/23/2012 20:30,0.4,0.4,-0.2,-0.2
4/24/2012 20:30,-0.2,0.2,0.2,0.5
3/22/2012 20:30,0.5,1.8,0,-0.2
2/21/2012 21:30,-0.2,-0.2,0.4,0.3
1/24/2012 21:30,0.3,0.3,0.9,1
12/21/2011 21:30,1,0.4,1,1
11/22/2011 21:30,1,0.5,0.6,0.5
10/25/2011 20:30,0.5,0.4,-0.5,-0.6
9/22/2011 20:30,-0.6,-0.3,0.8,0.7
8/23/2011 20:30,0.7,0.6,0.3,0.1
7/22/2011 20:30,0.1,-0.3,0.3,0.3
6/21/2011 20:30,0.3,0.4,-0.1,0
5/20/2011 20:30,0,0.9,0.5,0.4
4/21/2011 20:30,0.4,0.6,-0.4,-0.3
3/22/2011 20:30,-0.3,1,-0.2,-0.2
2/22/2011 21:30,-0.2,-0.1,1.5,1.3
1/21/2011 21:30,1.3,0.5,1,0.8
12/21/2010 21:30,0.8,0.5,0.4,0.6
11/23/2010 21:30,0.6,0.8,0.7,0.5
10/22/2010 20:30,0.5,-0.1,0.1,-0.1
9/22/2010 20:30,-0.1,0.4,0,0.1
8/24/2010 20:30,0.1,0.4,-0.4,-0.2
7/22/2010 20:30,-0.2,0.5,-2.2,-2
6/23/2010 20:30,-2,None,2.2,2.1
5/21/2010 20:30,2.1,0.2,0.8,0.5
4/23/2010 20:30,0.5,1.1,0.9,0.7
3/19/2010 20:30,0.7,0.6,0.5,0.4
2/19/2010 21:30,0.4,1.1,-0.5,-0.3
1/22/2010 21:30,-0.3,-0.3,1,0.8
12/21/2009 21:30,0.8,1,1.1,1
11/23/2009 21:30,1,0.6,1,0.8
10/22/2009 20:30,0.8,0.2,-0.5,-0.6
9/22/2009 20:30,-0.6,0.5,1,1
8/24/2009 20:30,1,0,1.1,1.2
7/22/2009 20:30,1.2,0.5,-0.6,-0.8
6/19/2009 20:30,-0.8,-0.2,0.3,0.3
5/22/2009 20:30,0.3,0.5,0.2,0.2
4/23/2009 20:30,0.2,-0.3,1.8,1.9
3/20/2009 20:30,1.9,0.8,-5.4,-5.4
2/23/2009 21:30,-5.4,-2.7,-2.4,-2.4
1/22/2009 21:30,-2.4,-1.8,-0.9,-0.9
12/18/2008 21:30,-0.9,-1.1,1.1,1.1
11/25/2008 21:30,1.1,0.4,-0.3,-0.3
10/22/2008 20:30,-0.3,-0.2,0.1,0.1
9/22/2008 20:30,0.1,0.2,0.5,0.5
8/20/2008 20:30,0.5,0.3,0.4,0.4
7/22/2008 20:30,0.4,0.5,0.6,0.6
6/20/2008 20:30,0.6,0.6,0.1,0.1
5/22/2008 21:30,0.1,0.3,-0.7,-0.7
4/23/2008 20:30,-0.7,0.1,1.5,1.5
3/25/2008 20:30,1.5,1.4,0.6,0.6
2/22/2008 21:30,0.6,0.8,0.7,1.9
1/1/2008 17:00,1.9,None,1.9,1.9
12/1/2007 17:00,1.9,None,-0.1,-0.1
11/1/2007 17:00,-0.1,None,-1.1,-1.1
10/1/2007 17:00,-1.1,None,0.9,0.9
9/1/2007 17:00,0.9,None,0,0
8/1/2007 17:00,0,None,-1,-1
7/1/2007 17:00,-1,None,1.2,1.2
6/1/2007 17:00,1.2,None,1.4,1.4
5/1/2007 17:00,1.4,None,1.3,1.3
4/1/2007 17:00,1.3,None,0.7,0.7
3/1/2007 17:00,0.7,None,-0.9,-0.9
2/1/2007 17:00,-0.9,None,2.1,2.1
1/1/2007 17:00,2.1,None,0.7,0.7
12/1/2006 17:00,0.7,None,0.3,0.3
11/1/2006 17:00,0.3,None,-1.6,-1.6
10/1/2006 17:00,-1.6,None,-0.1,-0.1
9/1/2006 17:00,-0.1,None,2.5,2.5
8/1/2006 17:00,2.5,None,0.6,0.6
7/1/2006 17:00,0.6,None,-0.9,-0.9
6/1/2006 17:00,-0.9,None,1.5,1.5
5/1/2006 17:00,1.5,None,0.4,0.4
4/1/2006 17:00,0.4,None,0,0
3/1/2006 17:00,0,None,1.7,1.7
2/1/2006 17:00,1.7,None,0.7,0.7
1/1/2006 17:00,0.7,None,0.4,0.4
12/1/2005 17:00,0.4,None,0.9,0.9
11/1/2005 17:00,0.9,None,-0.2,-0.2
10/1/2005 17:00,-0.2,None,-0.5,-0.5
9/1/2005 17:00,-0.5,None,0.7,0.7
8/1/2005 17:00,0.7,,2.2,2.2
7/1/2005 17:00,2.2,,0,0
6/1/2005 17:00,0,,-0.2,-0.2
5/1/2005 17:00,-0.2,,-1.5,-1.5
4/1/2005 17:00,-1.5,,1.9,1.9
3/1/2005 17:00,1.9,,1,1
2/1/2005 17:00,1,,-1,-1
1/1/2005 17:00,-1,,1.1,1.1
12/1/2004 17:00,1.1,,1.1,1.1
11/1/2004 17:00,1.1,,1.4,1.4
10/1/2004 17:00,1.4,,0.8,0.8
9/1/2004 17:00,0.8,,0.2,0.2
8/1/2004 17:00,0.2,,0,0
7/1/2004 17:00,0,,1.1,1.1
6/1/2004 17:00,1.1,,-1.5,-1.5
5/1/2004 17:00,-1.5,,-0.1,-0.1
4/1/2004 17:00,-0.1,,2.8,2.8
3/1/2004 17:00,2.8,,0.8,0.8
2/1/2004 17:00,0.8,,-0.3,-0.3
1/1/2004 17:00,-0.3,,-0.2,-0.2
12/1/2003 17:00,-0.2,,-0.1,-0.1
11/1/2003 17:00,-0.1,,-0.6,-0.6
10/1/2003 17:00,-0.6,,1.1,1.1
9/1/2003 17:00,1.1,,0.5,0.5
8/1/2003 17:00,0.5,,0.3,0.3
7/1/2003 17:00,0.3,,1.1,1.1
6/1/2003 17:00,1.1,,-0.4,-0.4
5/1/2003 17:00,-0.4,,-1.3,-1.3
4/1/2003 17:00,-1.3,,1.8,1.8
3/1/2003 17:00,1.8,,-0.1,-0.1
2/1/2003 17:00,-0.1,,0.6,0.6
1/1/2003 17:00,0.6,,-0.2,-0.2
12/1/2002 17:00,-0.2,,1.7,1.7
11/1/2002 17:00,1.7,,-0.5,-0.5
10/1/2002 17:00,-0.5,,0.6,0.6
9/1/2002 17:00,0.6,,-0.6,-0.6
8/1/2002 17:00,-0.6,,2.3,2.3
7/1/2002 17:00,2.3,,-1.8,-1.8
6/1/2002 17:00,-1.8,,2.2,2.2
5/1/2002 17:00,2.2,,-0.1,-0.1
4/1/2002 17:00,-0.1,,-1.5,-1.5
3/1/2002 17:00,-1.5,,1.4,1.4
2/1/2002 17:00,1.4,,1.8,1.8
1/1/2002 17:00,1.8,,2,2
12/1/2001 17:00,2,,1.8,1.8
11/1/2001 17:00,1.8,,-1.3,-1.3
10/1/2001 17:00,-1.3,,0.8,0.8
9/1/2001 17:00,0.8,,-1.5,-1.5
8/1/2001 17:00,-1.5,,0.2,0.2
7/1/2001 17:00,0.2,,0.8,0.8
6/1/2001 17:00,0.8,,1.5,1.5
5/1/2001 17:00,1.5,,0.4,0.4
4/1/2001 17:00,0.4,,-0.7,-0.7
3/1/2001 17:00,-0.7,,0.5,0.5
2/1/2001 17:00,0.5,,0.6,0.6
1/1/2001 17:00,0.6,,0.2,0.2
12/1/2000 17:00,0.2,,-0.7,-0.7
11/1/2000 17:00,-0.7,,0.9,0.9
10/1/2000 17:00,0.9,,0.3,0.3
9/1/2000 17:00,0.3,,1.5,1.5
8/1/2000 17:00,1.5,,0.8,0.8
7/1/2000 17:00,0.8,,0.5,0.5
6/1/2000 17:00,0.5,,-1.2,-1.2
5/1/2000 17:00,-1.2,,1.9,1.9
4/1/2000 17:00,1.9,,-0.2,-0.2
3/1/2000 17:00,-0.2,,0.2,0.2
2/1/2000 17:00,0.2,,1.5,1.5
1/1/2000 17:00,1.5,,0.3,0.3
12/1/1999 17:00,0.3,,0.7,0.7
11/1/1999 17:00,0.7,,0,0
10/1/1999 17:00,0,,0.8,0.8
9/1/1999 17:00,0.8,,0.7,0.7
8/1/1999 17:00,0.7,,0.7,0.7
7/1/1999 17:00,0.7,,-0.4,-0.4
6/1/1999 17:00,-0.4,,-0.1,-0.1
5/1/1999 17:00,-0.1,,0.5,0.5
4/1/1999 17:00,0.5,,1,1
3/1/1999 17:00,1,,2.2,2.2
2/1/1999 17:00,2.2,,-0.5,-0.5
1/1/1999 17:00,-0.5,,0.7,0.7
12/1/1998 17:00,0.7,,-0.4,-0.4
11/1/1998 17:00,-0.4,,1.5,1.5
10/1/1998 17:00,1.5,,-0.2,-0.2
9/1/1998 17:00,-0.2,,0.7,0.7
8/1/1998 17:00,0.7,,-1.2,-1.2
7/1/1998 17:00,-1.2,,0,0
6/1/1998 17:00,0,,2.2,2.2
5/1/1998 17:00,2.2,,-0.5,-0.5
4/1/1998 17:00,-0.5,,1.8,1.8
3/1/1998 17:00,1.8,,-4.5,-4.5
2/1/1998 17:00,-4.5,,3.7,3.7
1/1/1998 17:00,3.7,,-0.3,-0.3
12/1/1997 17:00,-0.3,,1.9,1.9
11/1/1997 17:00,1.9,,0.2,0.2
10/1/1997 17:00,0.2,,-0.4,-0.4
9/1/1997 17:00,-0.4,,1,1
8/1/1997 17:00,1,,0.4,0.4
7/1/1997 17:00,0.4,,0.8,0.8
6/1/1997 17:00,0.8,,0.8,0.8
5/1/1997 17:00,0.8,,-0.4,-0.4
4/1/1997 17:00,-0.4,,1.4,1.4
3/1/1997 17:00,1.4,,0.9,0.9
2/1/1997 17:00,0.9,,-0.7,-0.7
1/1/1997 17:00,-0.7,,1.7,1.7
12/1/1996 17:00,1.7,,2.5,2.5
11/1/1996 17:00,2.5,,-0.3,-0.3
10/1/1996 17:00,-0.3,,0.8,0.8
9/1/1996 17:00,0.8,,-0.3,-0.3
8/1/1996 17:00,-0.3,,1.2,1.2
7/1/1996 17:00,1.2,,0.1,0.1
6/1/1996 17:00,0.1,,-0.2,-0.2
5/1/1996 17:00,-0.2,,0.6,0.6
4/1/1996 17:00,0.6,,0.7,0.7
3/1/1996 17:00,0.7,,0,0
2/1/1996 17:00,0,,0.1,0.1
1/1/1996 17:00,0.1,,0.5,0.5
12/1/1995 17:00,0.5,,-1.2,-1.2
11/1/1995 17:00,-1.2,,-0.5,-0.5
10/1/1995 17:00,-0.5,,1.7,1.7
9/1/1995 17:00,1.7,,-0.5,-0.5
8/1/1995 17:00,-0.5,,0.9,0.9
7/1/1995 17:00,0.9,,0.6,0.6
6/1/1995 17:00,0.6,,0,0
5/1/1995 17:00,0,,-0.2,-0.2
4/1/1995 17:00,-0.2,,-0.4,-0.4
3/1/1995 17:00,-0.4,,-0.3,-0.3
2/1/1995 17:00,-0.3,,0.7,0.7
1/1/1995 17:00,0.7,,0.4,0.4
12/1/1994 17:00,0.4,,1.3,1.3
11/1/1994 17:00,1.3,,0.4,0.4
10/1/1994 17:00,0.4,,0.5,0.5
9/1/1994 17:00,0.5,,-0.5,-0.5
8/1/1994 17:00,-0.5,,0.6,0.6
7/1/1994 17:00,0.6,,1.5,1.5
6/1/1994 17:00,1.5,,-2.1,-2.1
5/1/1994 17:00,-2.1,,2.9,2.9
4/1/1994 17:00,2.9,,1.9,1.9
3/1/1994 17:00,1.9,,0.3,0.3
2/1/1994 17:00,0.3,,0.4,0.4
1/1/1994 17:00,0.4,,0.8,0.8
12/1/1993 17:00,0.8,,0.4,0.4
11/1/1993 17:00,0.4,,0.3,0.3
10/1/1993 17:00,0.3,,-0.1,-0.1
9/1/1993 17:00,-0.1,,2.2,2.2
8/1/1993 17:00,2.2,,-0.7,-0.7
7/1/1993 17:00,-0.7,,-0.6,-0.6
6/1/1993 17:00,-0.6,,1.6,1.6
5/1/1993 17:00,1.6,,0.5,0.5
4/1/1993 17:00,0.5,,-1,-1
3/1/1993 17:00,-1,,1.9,1.9
2/1/1993 17:00,1.9,,0.3,0.3
1/1/1993 17:00,0.3,,-0.5,-0.5
12/1/1992 17:00,-0.5,,0.9,0.9
11/1/1992 17:00,0.9,,0.9,0.9
10/1/1992 17:00,0.9,,-0.2,-0.2
9/1/1992 17:00,-0.2,,0.3,0.3
8/1/1992 17:00,0.3,,1.2,1.2
7/1/1992 17:00,1.2,,-0.4,-0.4
6/1/1992 17:00,-0.4,,1.2,1.2
5/1/1992 17:00,1.2,,0.1,0.1
4/1/1992 17:00,0.1,,0.2,0.2
3/1/1992 17:00,0.2,,0.8,0.8
2/1/1992 17:00,0.8,,-2,-2
1/1/1992 17:00,-2,,1.6,1.6
12/1/1991 17:00,1.6,,-0.1,-0.1
11/1/1991 17:00,-0.1,,0,0
10/1/1991 17:00,0,,-0.8,-0.8
9/1/1991 17:00,-0.8,,0.3,0.3
8/1/1991 17:00,0.3,,-1.1,-1.1
7/1/1991 17:00,-1.1,,2.5,2.5
6/1/1991 17:00,2.5,,-0.8,-0.8
5/1/1991 17:00,-0.8,,0.7,0.7
4/1/1991 17:00,0.7,,1.8,
