datetime,UK_CPPI_NSA_Actual,UK_CPPI_NSA_Srv_Med,UK_CPPI_NSA_Revised,UK_CPPI_NSA_Prior
2010-02-01 17:00:00,0.10,None,0.10,0.10
2010-01-01 17:00:00,0.10,None,-0.10,-0.10
2009-12-01 17:00:00,-0.10,None,0.00,0.00
2009-11-01 17:00:00,0.00,None,-0.10,-0.10
2009-10-01 17:00:00,-0.10,None,0.20,0.20
2009-09-01 17:00:00,0.20,None,0.50,0.50
2009-08-01 17:00:00,0.50,None,1.40,1.40
2009-07-01 17:00:00,1.40,None,2.20,2.20
2009-06-01 17:00:00,2.20,None,2.70,2.70
2009-05-01 17:00:00,2.70,None,3.00,3.00
2009-04-01 17:00:00,3.00,None,3.50,3.50
2009-03-01 17:00:00,3.50,None,3.80,3.80
2009-02-01 17:00:00,3.80,None,4.80,4.80
2009-01-01 17:00:00,4.80,None,5.00,5.00
2008-12-01 17:00:00,5.00,None,4.90,4.90
2008-11-01 17:00:00,4.90,None,5.00,5.00
2008-10-01 17:00:00,5.00,None,4.40,4.40
2008-09-01 17:00:00,4.40,None,4.20,4.20
2008-08-01 17:00:00,4.20,None,3.40,3.40
2008-07-01 17:00:00,3.40,None,3.10,3.10
2008-06-01 17:00:00,3.10,None,2.60,2.60
2008-05-01 17:00:00,2.60,None,2.20,2.20
2008-04-01 17:00:00,2.20,None,2.00,2.00
2008-03-01 17:00:00,2.00,None,2.30,2.30
2008-02-01 17:00:00,2.30,None,1.60,1.6
2008-01-01 17:00:00,1.6,,1.4,1.4
2007-12-01 17:00:00,1.4,,1.3,1.3
2007-11-01 17:00:00,1.3,,1.2,1.2
2007-10-01 17:00:00,1.2,,1.3,1.3
2007-09-01 17:00:00,1.3,,1.3,1.3
2007-08-01 17:00:00,1.3,,1.3,1.3
2007-07-01 17:00:00,1.3,,1.3,1.3
2007-06-01 17:00:00,1.3,,1.3,1.3
2007-05-01 17:00:00,1.3,,1.5,1.5
2007-04-01 17:00:00,1.5,,1.4,1.4
2007-03-01 17:00:00,1.4,,1.1,1.1
2007-02-01 17:00:00,1.1,,1.3,1.3
2007-01-01 17:00:00,1.3,,1.5,1.5
2006-12-01 17:00:00,1.5,,1.6,1.6
2006-11-01 17:00:00,1.6,,1.8,1.8
2006-10-01 17:00:00,1.8,,1.6,1.6
2006-09-01 17:00:00,1.6,,1.5,1.5
2006-08-01 17:00:00,1.5,,1.8,1.8
2006-07-01 17:00:00,1.8,,1.7,1.7
2006-06-01 17:00:00,1.7,,1.7,1.7
2006-05-01 17:00:00,1.7,,1.4,1.4
2006-04-01 17:00:00,1.4,,1.4,1.4
2006-03-01 17:00:00,1.4,,1.5,1.5
2006-02-01 17:00:00,1.5,,1.2,1.2
2006-01-01 17:00:00,1.2,,1.1,1.1
2005-12-01 17:00:00,1.1,,0.9,0.9
2005-11-01 17:00:00,0.9,,0.8,0.8
2005-10-01 17:00:00,0.8,,1.0,1.0
2005-09-01 17:00:00,1.0,,1.1,1.1
2005-08-01 17:00:00,1.1,,0.9,0.9
2005-07-01 17:00:00,0.9,,0.9,0.9
2005-06-01 17:00:00,0.9,,1.1,1.1
2005-05-01 17:00:00,1.1,,1.1,1.1
2005-04-01 17:00:00,1.1,,0.8,0.8
2005-03-01 17:00:00,0.8,,0.6,0.6
2005-02-01 17:00:00,0.6,,0.3,0.3
2005-01-01 17:00:00,0.3,,0.2,0.2
2004-12-01 17:00:00,0.2,,0.3,0.3
2004-11-01 17:00:00,0.3,,0.1,0.1
2004-10-01 17:00:00,0.1,,-0.1,-0.1
2004-09-01 17:00:00,-0.1,,-0.2,-0.2
2004-08-01 17:00:00,-0.2,,-0.3,-0.3
2004-07-01 17:00:00,-0.3,,-0.4,-0.4
2004-06-01 17:00:00,-0.4,,-0.7,-0.7
2004-05-01 17:00:00,-0.7,,-0.8,-0.8
2004-04-01 17:00:00,-0.8,,-0.4,-0.4
2004-03-01 17:00:00,-0.4,,-0.6,-0.6
2004-02-01 17:00:00,-0.6,,-0.3,-0.3
2004-01-01 17:00:00,-0.3,,-0.2,-0.2
2003-12-01 17:00:00,-0.2,,-0.2,-0.2
2003-11-01 17:00:00,-0.2,,-0.1,-0.1
2003-10-01 17:00:00,-0.1,,-0.1,-0.1
2003-09-01 17:00:00,-0.1,,0.0,0.0
2003-08-01 17:00:00,0.0,,0.0,0.0
2003-07-01 17:00:00,0.0,,0.1,0.1
2003-06-01 17:00:00,0.1,,0.2,0.2
2003-05-01 17:00:00,0.2,,0.4,0.4
2003-04-01 17:00:00,0.4,,0.3,0.3
2003-03-01 17:00:00,0.3,,0.3,0.3
2003-02-01 17:00:00,0.3,,0.2,15.2
