datetime,US_PPI_MoM_Actual,US_PPI_MoM_Srv_Med,US_PPI_MoM_Revised,US_PPI_MoM_Prior
2019-08-09 20:30:00,0.2,0.2,0.1,0.1
2019-07-12 20:30:00,0.1,0.1,0.1,0.1
2019-06-11 20:30:00,0.1,0.1,0.2,0.2
2019-05-09 20:30:00,0.2,0.2,0.6,0.6
2019-04-11 20:30:00,0.6,0.3,0.1,0.1
2019-03-13 20:30:00,0.1,0.2,-0.1,-0.1
2019-02-14 21:30:00,-0.1,0.1,-0.1,-0.2
2019-01-15 21:30:00,-0.2,-0.1,0.1,0.1
2018-12-11 21:30:00,0.1,0.1,0.6,0.6
2018-11-09 21:30:00,0.6,0.2,0.2,0.2
2018-10-10 20:30:00,0.2,0.2,-0.1,-0.1
2018-09-12 20:30:00,-0.1,0.2,0.0,0.0
2018-08-09 20:30:00,0.0,0.2,0.3,0.3
2018-07-11 20:30:00,0.3,0.2,0.5,0.5
2018-06-13 20:30:00,0.5,0.3,0.1,0.1
2018-05-09 20:30:00,0.1,0.2,0.3,0.3
2018-04-10 20:30:00,0.3,0.1,0.2,0.2
2018-03-14 20:30:00,0.2,0.1,0.4,0.4
2018-02-15 21:30:00,0.4,0.4,-0.1,-0.1
2018-01-11 21:30:00,-0.1,0.2,0.4,0.4
2017-12-12 21:30:00,0.4,0.4,0.4,0.4
2017-11-14 21:30:00,0.4,0.1,0.4,0.4
2017-10-12 20:30:00,0.4,0.4,0.2,0.2
2017-09-13 20:30:00,0.2,0.3,-0.1,-0.1
2017-08-10 20:30:00,-0.1,0.1,0.1,0.1
2017-07-13 20:30:00,0.1,-0.1,0.0,0.0
2017-06-13 20:30:00,0.0,0.1,0.5,0.5
2017-05-11 20:30:00,0.5,0.2,-0.1,-0.1
2017-04-13 20:30:00,-0.1,0.0,0.3,0.3
2017-03-14 20:30:00,0.3,0.1,0.6,0.6
2017-02-14 21:30:00,0.6,0.3,0.3,0.3
2017-01-13 21:30:00,0.3,0.3,0.4,0.4
2016-12-14 21:30:00,0.4,0.1,0.0,0.0
2016-11-16 21:30:00,0.0,0.3,0.3,0.3
2016-10-14 20:30:00,0.3,0.2,0.0,0.0
2016-09-15 20:30:00,0.0,0.1,-0.4,-0.4
2016-08-12 20:30:00,-0.4,0.1,0.5,0.5
2016-07-14 20:30:00,0.5,0.3,0.4,0.4
2016-06-15 20:30:00,0.4,0.3,0.2,0.2
2016-05-13 20:30:00,0.2,0.3,-0.1,-0.1
2016-04-13 20:30:00,-0.1,0.2,-0.2,-0.2
2016-03-15 20:30:00,-0.2,-0.2,0.1,0.1
2016-02-17 21:30:00,0.1,-0.2,-0.2,-0.2
2016-01-15 21:30:00,-0.2,-0.2,0.3,0.3
2015-12-11 21:30:00,0.3,-0.1,-0.4,-0.4
2015-11-13 21:30:00,-0.4,0.2,-0.5,-0.5
2015-10-14 20:30:00,-0.5,-0.2,0.0,0.0
2015-09-11 20:30:00,0.0,-0.1,0.2,0.2
2015-08-14 20:30:00,0.2,0.1,0.4,0.4
2015-07-15 20:30:00,0.4,0.2,0.5,0.5
2015-06-12 20:30:00,0.5,0.4,-0.4,-0.4
2015-05-14 20:30:00,-0.4,0.2,0.2,0.2
2015-04-14 20:30:00,0.2,0.2,-0.5,-0.5
2015-03-13 20:30:00,-0.5,0.3,-0.8,-0.8
2015-02-18 21:30:00,-0.8,-0.4,-0.3,-0.3
2015-01-15 21:30:00,-0.3,-0.4,-0.2,-0.2
2014-12-12 21:30:00,-0.2,-0.1,0.2,0.2
2014-11-18 21:30:00,0.2,-0.1,-0.1,-0.1
2014-10-15 20:30:00,-0.1,0.1,0.0,0.0
2014-09-16 20:30:00,0.0,0.1,0.1,0.1
2014-08-15 20:30:00,0.1,0.1,0.4,0.4
2014-07-16 20:30:00,0.4,0.2,-0.2,-0.2
2014-06-13 20:30:00,-0.2,0.1,0.6,0.6
2014-05-14 20:30:00,0.6,0.2,0.5,0.5
2014-04-11 20:30:00,0.5,0.1,-0.1,-0.1
2014-03-14 20:30:00,-0.1,0.2,0.2,0.2
2014-02-19 21:30:00,0.2,0.1,0.1,0.4
2014-01-15 21:30:00,0.4,0.4,-0.1,-0.1
2013-12-13 21:30:00,-0.1,-0.1,-0.2,-0.2
2013-11-21 21:30:00,-0.2,-0.2,-0.1,-0.1
2013-10-29 20:30:00,-0.1,0.2,0.3,0.3
2013-09-13 20:30:00,0.3,0.2,0.0,0.0
2013-08-14 20:30:00,0.0,0.3,0.8,0.8
2013-07-12 20:30:00,0.8,0.5,0.5,0.5
2013-06-14 20:30:00,0.5,0.1,-0.7,-0.7
2013-05-15 20:30:00,-0.7,-0.6,-0.6,-0.6
2013-04-12 20:30:00,-0.6,-0.2,0.7,0.7
2013-03-14 20:30:00,0.7,0.7,0.2,0.2
2013-02-20 21:30:00,0.2,0.4,-0.3,-0.2
2013-01-15 21:30:00,-0.2,-0.1,-0.8,-0.8
2012-12-13 21:30:00,-0.8,-0.5,-0.2,-0.2
2012-11-14 21:30:00,-0.2,0.2,1.1,1.1
2012-10-12 20:30:00,1.1,0.7,1.7,1.7
2012-09-13 20:30:00,1.7,1.1,0.3,0.3
2012-08-14 20:30:00,0.3,0.2,0.1,0.1
2012-07-13 20:30:00,0.1,-0.5,-1.0,-1.0
2012-06-13 20:30:00,-1.0,-0.6,-0.2,-0.2
2012-05-11 20:30:00,-0.2,0.0,0.0,0.0
2012-04-12 20:30:00,0.0,0.3,0.4,0.4
2012-03-15 20:30:00,0.4,0.5,0.1,0.1
2012-02-16 21:30:00,0.1,0.3,-0.1,-0.1
2012-01-18 21:30:00,-0.1,0.1,0.3,0.3
2011-12-15 21:30:00,0.3,0.3,-0.3,-0.3
2011-11-15 21:30:00,-0.3,-0.2,0.8,0.8
2011-10-18 20:30:00,0.8,0.2,0.0,0.0
2011-09-14 20:30:00,0.0,0.0,0.2,0.2
2011-08-17 20:30:00,0.2,0.1,-0.4,-0.4
2011-07-14 20:30:00,-0.4,-0.2,0.2,0.2
2011-06-14 20:30:00,0.2,0.1,0.8,0.8
2011-05-12 20:30:00,0.8,0.6,0.7,0.7
2011-04-14 20:30:00,0.7,1.0,1.6,1.6
2011-03-16 20:30:00,1.6,0.6,0.8,0.8
2011-02-16 21:30:00,0.8,0.8,0.9,1.1
2011-01-13 21:30:00,1.1,0.7,0.8,0.8
2010-12-14 21:30:00,0.8,0.5,0.4,0.4
2010-11-16 21:30:00,0.4,0.8,0.4,0.4
2010-10-14 20:30:00,0.4,0.2,0.4,0.4
2010-09-16 20:30:00,0.4,0.3,0.2,0.2
2010-08-17 20:30:00,0.2,0.2,-0.5,-0.5
2010-07-15 20:30:00,-0.5,-0.1,-0.3,-0.3
2010-06-16 20:30:00,-0.3,-0.5,-0.1,-0.1
2010-05-18 20:30:00,-0.1,0.1,0.7,0.7
2010-04-22 20:30:00,0.7,0.4,-0.6,-0.6
2010-03-17 20:30:00,-0.6,-0.2,1.4,1.4
2010-02-18 21:30:00,1.4,0.8,0.4,0.2
2010-01-20 21:30:00,0.2,0.1,1.8,1.8
2009-12-15 21:30:00,1.8,0.8,0.3,0.3
2009-11-17 21:30:00,0.3,0.6,-0.6,-0.6
2009-10-20 20:30:00,-0.6,0.0,1.7,1.7
2009-09-15 20:30:00,1.7,0.9,-0.9,-0.9
2009-08-18 20:30:00,-0.9,-0.2,1.8,1.8
2009-07-14 20:30:00,1.8,0.9,0.2,0.2
2009-06-16 20:30:00,0.2,0.6,0.3,0.3
2009-05-14 20:30:00,0.3,0.1,-1.2,-1.2
2009-04-14 20:30:00,-1.2,-0.1,0.1,0.1
2009-03-17 20:30:00,0.1,0.3,0.8,0.8
2009-02-19 21:30:00,0.8,0.2,-1.9,-1.9
2009-01-15 21:30:00,-1.9,-2.0,-2.2,-2.2
2008-12-12 21:30:00,-2.2,-2.0,-2.8,-2.8
2008-11-18 21:30:00,-2.8,-1.9,-0.4,-0.4
2008-10-15 20:30:00,-0.4,-0.4,-0.9,-0.9
2008-09-12 20:30:00,-0.9,-0.5,1.2,1.2
2008-08-19 20:30:00,1.2,0.6,1.8,1.8
2008-07-15 20:30:00,1.8,1.3,1.4,1.4
2008-06-17 20:30:00,1.4,1.0,0.2,0.2
2008-05-20 21:30:00,0.2,0.4,1.1,1.1
2008-04-15 20:30:00,1.1,0.6,0.3,0.3
2008-03-18 20:30:00,0.3,0.3,1.0,1.0
2008-02-26 21:30:00,1.0,0.4,-0.3,
