datetime,US_CHICAGO_PMI_Actual,US_CHICAGO_PMI_Srv_Med,US_CHICAGO_PMI_Revised,US_CHICAGO_PMI_Prior
2020-10-30 21:45:00,61.1,58.0,62.4,62.4
2020-09-30 21:45:00,62.4,52.0,51.2,51.2
2020-08-28 21:45:00,51.2,52.0,51.9,51.9
2020-07-31 21:45:00,51.9,43.9,36.6,36.6
2020-06-30 21:45:00,36.6,45.0,32.3,32.3
2020-05-29 21:45:00,32.3,40.0,35.4,35.4
2020-04-30 21:45:00,35.4,38.0,47.8,47.8
2020-03-31 21:45:00,47.8,40.0,49.0,49.0
2020-02-28 22:45:00,49.0,45.9,42.9,42.9
2020-01-31 22:45:00,42.9,48.8,48.2,48.9
2019-12-30 22:45:00,48.9,48.0,46.3,46.3
2019-11-27 22:45:00,46.3,47.0,43.2,43.2
2019-10-31 21:45:00,43.2,48.4,47.1,47.1
2019-09-30 21:45:00,47.1,50.2,50.4,50.4
2019-08-30 21:45:00,50.4,48.1,44.4,44.4
2019-07-31 21:45:00,44.4,50.6,49.7,49.7
2019-06-28 21:45:00,49.7,53.1,54.2,54.2
2019-05-31 21:45:00,54.2,55.1,52.6,52.6
2019-04-30 21:45:00,52.6,59.1,58.7,58.7
2019-03-29 21:45:00,58.7,61.0,64.7,64.7
2019-02-28 22:45:00,64.7,58.1,56.7,56.7
2019-01-31 22:45:00,56.7,61.5,63.8,65.4
2018-12-28 22:45:00,65.4,62.0,66.4,66.4
2018-11-30 22:45:00,66.4,58.6,58.4,58.4
2018-10-31 21:45:00,58.4,60.3,60.4,60.4
2018-09-28 21:45:00,60.4,62.3,63.6,63.6
2018-08-31 21:45:00,63.6,63.0,65.5,65.5
2018-07-31 21:45:00,65.5,61.9,64.1,64.1
2018-06-29 21:45:00,64.1,60.0,62.7,62.7
2018-05-31 21:45:00,62.7,58.2,57.6,57.6
2018-04-30 21:45:00,57.6,58.2,57.4,57.4
2018-03-29 21:45:00,57.4,62.1,61.9,61.9
2018-02-28 22:45:00,61.9,64.2,65.7,65.7
2018-01-31 22:45:00,65.7,64.2,67.8,67.6
2017-12-28 22:45:00,67.6,62.0,63.9,63.9
2017-11-30 22:45:00,63.9,63.0,66.2,66.2
2017-10-31 21:45:00,66.2,61.0,65.2,65.2
2017-09-29 21:45:00,65.2,58.5,58.9,58.9
2017-08-31 21:45:00,58.9,58.5,58.9,58.9
2017-07-31 21:45:00,58.9,60.0,65.7,65.7
2017-06-30 21:45:00,65.7,58.0,59.4,59.4
2017-05-31 21:45:00,59.4,57.0,58.3,58.3
2017-04-28 21:45:00,58.3,56.4,57.7,57.7
2017-03-31 21:45:00,57.7,56.9,57.4,57.4
2017-02-28 22:45:00,57.4,53.0,50.3,50.3
2017-01-31 22:45:00,50.3,55.0,54.6,54.6
2016-12-30 22:45:00,54.6,57.0,57.6,57.6
2016-11-30 22:45:00,57.6,52.0,50.6,50.6
2016-10-31 21:45:00,50.6,54.0,54.2,54.2
2016-09-30 21:45:00,54.2,52.0,51.5,51.5
2016-08-31 21:45:00,51.5,54.0,55.8,55.8
2016-07-29 21:45:00,55.8,54.0,56.8,56.8
2016-06-30 21:45:00,56.8,50.7,49.3,49.3
2016-05-31 21:45:00,49.3,50.9,50.4,50.4
2016-04-29 21:45:00,50.4,53.0,53.6,53.6
2016-03-31 21:45:00,53.6,50.0,47.6,47.6
2016-02-29 22:45:00,47.6,53.0,55.6,55.6
2016-01-29 22:45:00,55.6,45.0,42.9,42.9
2015-12-31 22:45:00,42.9,49.8,48.7,48.7
2015-11-30 22:45:00,48.7,54.0,56.2,56.2
2015-10-30 21:45:00,56.2,49.0,48.7,48.7
2015-09-30 21:45:00,48.7,53.0,54.4,54.4
2015-08-31 21:45:00,54.4,54.7,54.7,54.7
2015-07-31 21:45:00,54.7,50.5,49.4,49.4
2015-06-30 21:45:00,49.4,50.0,46.2,46.2
2015-05-29 21:45:00,46.2,53.0,52.3,52.3
2015-04-30 21:45:00,52.3,50.0,46.3,46.3
2015-03-31 21:45:00,46.3,51.5,45.8,45.8
2015-02-27 22:45:00,45.8,58.0,59.4,59.4
2015-01-30 22:45:00,59.4,57.5,58.8,58.3
2014-12-31 22:45:00,58.3,60.2,60.8,60.8
2014-11-26 22:45:00,60.8,63.1,66.2,66.2
2014-10-31 21:45:00,66.2,60.0,60.5,60.5
2014-09-30 21:45:00,60.5,61.9,64.3,64.3
2014-08-29 21:45:00,64.3,56.0,52.6,52.6
2014-07-31 21:45:00,52.6,63.0,62.6,62.6
2014-06-30 21:45:00,62.6,63.0,65.5,65.5
2014-05-30 21:45:00,65.5,61.0,63.0,63.0
2014-04-30 21:45:00,63.0,56.7,55.9,55.9
2014-03-31 21:45:00,55.9,59.0,59.8,59.8
2014-02-28 22:45:00,59.8,57.0,59.6,59.6
2014-01-31 22:45:00,59.6,59.0,60.8,59.1
2013-12-31 22:45:00,59.1,61.0,63.0,63.0
2013-11-27 22:45:00,63.0,60.0,65.9,65.9
2013-10-31 21:45:00,65.9,55.0,55.7,55.7
2013-09-30 21:45:00,55.7,54.0,53.0,53.0
2013-08-30 21:45:00,53.0,53.0,52.3,52.3
2013-07-31 21:45:00,52.3,54.0,51.6,51.6
2013-06-28 21:45:00,51.6,56.0,58.7,58.7
2013-05-31 21:45:00,58.7,50.0,49.0,49.0
2013-04-30 21:45:00,49.0,52.5,52.4,52.4
2013-03-28 21:45:00,52.4,56.5,56.8,56.8
2013-02-28 22:45:00,56.8,54.3,55.6,55.6
2013-01-31 22:45:00,55.6,50.5,50.0,51.6
2012-12-28 22:45:00,51.6,51.0,50.4,50.4
2012-11-30 22:45:00,50.4,50.5,49.9,49.9
2012-10-31 21:45:00,49.9,51.0,49.7,49.7
2012-09-28 21:45:00,49.7,53.0,53.0,53.0
2012-08-31 21:45:00,53.0,53.5,53.7,53.7
2012-07-31 21:45:00,53.7,52.4,52.9,52.9
2012-06-29 21:45:00,52.9,52.5,52.7,52.7
2012-05-31 21:45:00,52.7,56.5,56.2,56.2
2012-04-30 21:45:00,56.2,61.0,62.2,62.2
2012-03-30 21:45:00,62.2,63.1,64.0,64.0
2012-02-29 22:45:00,64.0,61.8,60.2,60.2
2012-01-31 22:45:00,60.2,63.0,62.5,62.5
2011-12-29 22:45:00,62.5,60.8,62.6,62.6
2011-11-30 22:45:00,62.6,58.6,58.4,58.4
2011-10-31 21:45:00,58.4,59.0,60.4,60.4
2011-09-30 21:45:00,60.4,56.0,56.5,56.5
2011-08-31 21:45:00,56.5,54.8,58.8,58.8
2011-07-29 21:45:00,58.8,60.0,61.1,61.1
2011-06-30 21:45:00,61.1,54.0,56.6,56.6
2011-05-31 21:45:00,56.6,62.5,67.6,67.6
2011-04-29 21:45:00,67.6,67.1,70.6,70.6
2011-03-31 21:45:00,70.6,69.5,71.2,71.2
2011-02-28 22:45:00,71.2,67.5,68.8,68.8
2011-01-31 22:45:00,68.8,65.0,66.8,68.6
2010-12-30 22:45:00,68.6,61.5,62.5,62.5
2010-11-30 22:45:00,62.5,59.8,60.6,60.6
2010-10-29 21:45:00,60.6,57.5,60.4,60.4
2010-09-30 21:45:00,60.4,56.0,56.7,56.7
2010-08-31 21:45:00,56.7,57.5,62.3,62.3
2010-07-30 21:45:00,62.3,56.5,59.1,59.1
2010-06-30 21:45:00,59.1,59.0,59.7,59.7
2010-05-28 21:45:00,59.7,60.0,63.8,63.8
2010-04-30 21:45:00,63.8,59.8,58.8,58.8
2010-03-31 21:45:00,58.8,61.0,62.6,62.6
2010-02-26 22:45:00,62.6,59.0,61.5,61.5
2010-01-29 22:45:00,61.5,57.3,58.7,60.0
2009-12-30 22:45:00,60.0,55.2,56.1,56.1
2009-11-30 22:45:00,56.1,53.0,54.2,54.2
2009-10-30 21:45:00,54.2,48.5,46.1,46.1
2009-09-30 21:45:00,46.1,53.0,50.0,50.0
2009-08-31 21:45:00,50.0,47.5,43.4,43.4
2009-07-31 21:45:00,43.4,42.1,39.9,39.9
2009-06-30 21:45:00,39.9,38.6,34.9,34.9
2009-05-29 21:45:00,34.9,42.3,40.1,40.1
2009-04-30 21:45:00,40.1,34.3,31.4,31.4
2009-03-31 21:45:00,31.4,34.3,34.2,34.2
2009-02-27 22:45:00,34.2,33.0,33.3,33.3
2009-01-30 22:45:00,33.3,34.3,35.1,34.1
2008-12-30 22:45:00,34.1,33.0,33.8,33.8
2008-11-26 22:45:00,33.8,36.5,37.8,37.8
2008-10-31 21:45:00,37.8,48.5,56.7,56.7
2008-09-30 21:45:00,56.7,53.5,57.9,57.9
2008-08-29 21:45:00,57.9,50.1,50.8,50.8
2008-07-31 21:45:00,50.8,49.0,49.6,49.6
2008-06-30 21:45:00,49.6,48.2,49.1,49.1
2008-05-30 22:45:00,49.1,48.5,48.3,48.3
2008-04-30 22:45:00,48.3,47.5,48.2,48.2
2008-03-31 21:45:00,48.2,46.0,44.5,44.5
2008-02-29 22:45:00,44.5,49.4,51.5,55.90
2008-01-01 17:00:00,55.90,,53.4,53.40
2007-12-01 17:00:00,53.40,,50.8,50.80
2007-11-01 17:00:00,50.80,,52.7,52.70
2007-10-01 17:00:00,52.70,,52.2,52.20
2007-09-01 17:00:00,52.20,,52.8,52.80
2007-08-01 17:00:00,52.80,,58.3,58.30
2007-07-01 17:00:00,58.30,,60.6,60.60
2007-06-01 17:00:00,60.60,,54.2,54.20
2007-05-01 17:00:00,54.20,,58.6,58.60
2007-04-01 17:00:00,58.60,,51.2,51.20
2007-03-01 17:00:00,51.20,,52.1,52.10
2007-02-01 17:00:00,52.10,,51.6,51.60
2007-01-01 17:00:00,51.60,,51.1,51.10
2006-12-01 17:00:00,51.10,,53.9,53.90
2006-11-01 17:00:00,53.90,,58.7,58.70
2006-10-01 17:00:00,58.70,,56.9,56.90
2006-09-01 17:00:00,56.90,,56.7,56.70
2006-08-01 17:00:00,56.70,,56.5,56.50
2006-07-01 17:00:00,56.50,,58.8,58.80
2006-06-01 17:00:00,58.80,,57.6,57.60
2006-05-01 17:00:00,57.60,,59.4,59.40
2006-04-01 17:00:00,59.40,,59.5,59.50
2006-03-01 17:00:00,59.50,,61.1,61.10
2006-02-01 17:00:00,61.10,,60.2,60.20
2006-01-01 17:00:00,60.20,,62.3,62.30
2005-12-01 17:00:00,62.30,,61.7,61.70
2005-11-01 17:00:00,61.70,,58.3,58.30
2005-10-01 17:00:00,58.30,,52.3,52.30
2005-09-01 17:00:00,52.30,,61.2,61.20
2005-08-01 17:00:00,61.20,,57.0,57.00
2005-07-01 17:00:00,57.00,,53.4,53.40
2005-06-01 17:00:00,53.40,,65.4,65.40
2005-05-01 17:00:00,65.40,,65.0,65.00
2005-04-01 17:00:00,65.00,,65.9,65.90
2005-03-01 17:00:00,65.90,,62.7,62.70
2005-02-01 17:00:00,62.70,,61.7,61.70
2005-01-01 17:00:00,61.70,,64.2,64.20
2004-12-01 17:00:00,64.20,,66.8,66.80
2004-11-01 17:00:00,66.80,,63.2,63.20
2004-10-01 17:00:00,63.20,,59.8,59.80
2004-09-01 17:00:00,59.80,,63.1,63.10
2004-08-01 17:00:00,63.10,,60.9,60.90
2004-07-01 17:00:00,60.90,,65.4,65.40
2004-06-01 17:00:00,65.40,,64.1,64.10
2004-05-01 17:00:00,64.10,,57.9,57.90
2004-04-01 17:00:00,57.90,,62.3,62.30
2004-03-01 17:00:00,62.30,,64.7,
