datetime,FR_GDP_QoQ_Actual,FR_GDP_QoQ_Srv_Med,FR_GDP_QoQ_Revised,FR_GDP_QoQ_Prior,Is_P
2012-11-15 14:30:00,0.2,0.0,-0.1,0.0,1.0
2012-09-28 13:30:00,0.0,0.0,0.0,0.0,0.0
2012-08-14 13:30:00,0.0,-0.1,0.0,0.0,1.0
2012-06-29 13:30:00,0.0,0.0,0.0,0.2,0.0
2012-05-15 13:30:00,0.0,0.0,0.1,0.2,1.0
2012-03-28 13:30:00,0.2,0.2,0.2,0.3,0.0
2012-02-15 14:30:00,0.2,-0.2,0.3,0.4,1.0
2011-12-23 14:30:00,0.3,0.4,0.4,0.3,0.0
2011-11-15 14:30:00,0.4,0.3,-0.1,0.0,1.0
2011-08-12 13:30:00,0.0,0.3,0.9,1.0,1.0
2011-05-13 13:30:00,1.0,0.6,0.4,0.3,1.0
2011-02-15 14:30:00,0.3,0.6,0.3,0.4,1.0
2010-12-28 14:30:00,0.3,0.4,0.4,0.1,0.0
2010-11-12 14:30:00,0.4,0.5,0.7,0.6,1.0
2010-08-13 14:45:00,0.6,0.4,0.2,0.1,1.0
2010-05-12 14:45:00,0.1,0.3,0.5,0.6,1.0
2010-02-12 15:45:00,0.6,0.5,0.2,0.3,1.0
2009-11-13 15:50:00,0.3,0.6,0.3,0.3,1.0
2009-08-13 14:45:00,0.3,-0.5,-1.3,-1.2,1.0
2009-05-15 14:45:00,-1.2,-1.3,-1.5,-1.2,1.0
2009-02-13 14:45:00,-1.2,-1.1,0.1,,1.0
2008-11-14 15:50:00,0.1,-0.1,-0.3,-0.3,0.0
2008-08-14 14:45:00,-0.3,0.1,0.5,0.6,0.0
2008-05-15 15:45:00,0.6,0.5,0.4,0.3,0.0
2008-02-14 10:45:00,0.3,0.3,0.8,,0.0
