datetime,GE_GDP_QoQ_Actual,GE_GDP_QoQ_Srv_Med,GE_GDP_QoQ_Revised,GE_GDP_QoQ_Prior,Is_P
2018-02-14 15:00:00,0.6,0.6,0.7,0.8,1.0
2017-11-23 15:00:00,0.8,0.8,0.8,0.6,0.0
2017-11-14 15:00:00,0.8,0.6,0.6,0.6,1.0
2017-08-25 14:00:00,0.6,0.6,0.6,0.6,0.0
2017-08-15 14:00:00,0.6,0.7,0.7,0.6,1.0
2017-05-23 14:00:00,0.6,0.6,0.6,0.4,0.0
2017-05-12 14:00:00,0.6,0.6,0.4,0.4,1.0
2017-02-23 15:00:00,0.4,0.4,0.4,0.2,0.0
2017-02-14 15:00:00,0.4,0.5,0.1,0.2,1.0
2016-11-24 15:00:00,0.2,0.2,0.2,0.4,0.0
2016-11-15 15:00:00,0.2,0.3,0.4,0.4,1.0
2016-08-24 14:00:00,0.4,0.4,0.4,0.7,0.0
2016-08-12 14:00:00,0.4,0.2,0.7,0.7,1.0
2016-05-24 14:00:00,0.7,0.7,0.7,0.3,0.0
2016-05-13 14:00:00,0.7,0.6,0.3,0.3,1.0
2016-02-23 15:00:00,0.3,0.3,0.3,0.3,0.0
2016-02-12 15:00:00,0.3,0.3,0.3,0.3,1.0
2015-11-24 15:00:00,0.3,0.3,0.3,0.4,0.0
2015-11-13 15:00:00,0.3,0.3,0.4,0.4,1.0
2015-08-25 14:00:00,0.4,0.4,0.4,0.3,0.0
2015-08-14 14:00:00,0.4,0.5,0.3,0.3,1.0
2015-05-22 14:00:00,0.3,0.3,0.3,0.7,0.0
2015-05-13 14:00:00,0.3,0.5,0.7,0.7,1.0
2015-02-24 15:00:00,0.7,0.7,0.7,0.1,0.0
2015-02-13 15:00:00,0.7,0.3,0.1,0.1,1.0
2014-11-25 15:00:00,0.1,0.1,0.1,-0.2,0.0
2014-11-14 15:00:00,0.1,0.1,-0.1,-0.2,1.0
2014-09-01 14:00:00,-0.2,-0.2,-0.2,0.8,0.0
2014-08-14 14:00:00,-0.2,-0.1,0.7,0.8,1.0
2014-05-23 14:00:00,0.8,0.8,0.8,0.4,0.0
2014-05-15 14:00:00,0.8,0.7,0.4,0.4,1.0
2014-02-25 15:00:00,0.4,0.4,0.4,0.3,0.0
2014-02-14 15:00:00,0.4,0.3,0.3,0.3,1.0
2013-11-22 15:00:00,0.3,0.3,0.3,0.7,0.0
2013-11-14 15:00:00,0.3,0.3,0.7,0.7,1.0
2013-08-23 14:00:00,0.7,0.7,0.7,0.1,0.0
2013-08-14 14:00:00,0.7,0.6,0.1,0.1,1.0
2013-05-24 14:00:00,0.1,0.1,0.1,-0.6,0.0
2013-05-15 14:00:00,0.1,0.3,-0.7,-0.6,1.0
2013-02-22 15:00:00,-0.6,-0.6,-0.6,0.2,0.0
2013-02-14 15:00:00,-0.6,-0.5,0.2,0.2,1.0
2012-11-23 15:00:00,0.2,0.2,0.2,0.3,0.0
2012-11-15 15:00:00,0.2,0.2,0.3,0.3,1.0
2012-08-23 14:00:00,0.3,0.3,0.3,0.5,0.0
2012-08-14 14:00:00,0.3,0.2,0.5,0.5,1.0
2012-05-24 14:00:00,0.5,0.5,0.5,-0.2,0.0
2012-05-15 14:00:00,0.5,0.1,-0.2,-0.2,1.0
2012-02-24 15:00:00,-0.2,-0.2,-0.2,0.5,0.0
2012-02-15 15:00:00,-0.2,-0.3,0.6,0.5,1.0
2011-11-24 15:00:00,0.5,0.5,0.5,0.1,0.0
2011-11-15 15:00:00,0.5,0.5,0.3,0.1,1.0
2011-09-01 14:00:00,0.1,0.1,0.1,1.5,0.0
2011-08-16 14:00:00,0.1,0.5,1.3,1.5,1.0
2011-05-24 14:00:00,1.5,1.5,1.5,0.4,0.0
2011-05-13 14:00:00,1.5,0.9,0.4,0.4,1.0
2011-02-24 15:00:00,0.4,0.4,0.4,0.7,0.0
2011-02-15 15:00:00,0.4,0.5,0.7,0.7,1.0
2010-11-23 15:00:00,0.7,0.7,0.7,2.2,0.0
2010-11-12 15:00:00,0.7,0.8,2.3,2.2,1.0
2010-08-24 14:00:00,2.2,2.2,2.2,0.2,0.0
2010-08-13 14:00:00,2.2,1.3,0.5,0.2,1.0
2010-05-21 14:00:00,0.2,0.2,0.2,0.0,0.0
2010-05-12 14:00:00,0.2,0.0,0.2,0.0,1.0
2010-02-24 15:00:00,0.0,0.0,0.0,0.7,0.0
2010-02-12 15:00:00,0.0,0.1,0.7,0.7,1.0
2009-11-24 15:00:00,0.7,0.7,0.7,0.3,0.0
2009-11-13 15:00:00,0.7,0.8,0.4,0.3,1.0
2009-08-25 14:00:00,0.3,0.3,0.3,-3.8,0.0
2009-08-13 14:00:00,0.3,-0.3,-3.5,-3.8,1.0
2009-05-26 14:00:00,-3.8,-3.8,-3.8,-2.1,0.0
2009-05-15 14:00:00,-3.8,-3.0,-2.2,,1.0
2009-02-25 15:00:00,-2.1,-2.1,-2.1,-2.1,0.0
2009-02-13 15:00:00,-2.1,-1.8,-0.5,-0.5,0.0
2008-11-25 15:00:00,-0.5,-0.5,-0.5,-0.5,0.0
2008-08-26 14:00:00,-0.5,-0.5,-0.5,-0.5,0.0
2008-08-14 14:00:00,-0.5,-0.8,1.5,1.5,0.0
2008-05-15 15:00:00,1.5,0.7,0.3,0.3,0.0
2008-02-26 15:00:00,0.3,0.3,0.3,0.3,0.0
2008-02-14 10:00:00,0.3,0.3,0.7,,0.0
