datetime,Swiss_RS_YoY_Actual,Swiss_RS_YoY_Srv_Med,Swiss_RS_YoY_Revised,Swiss_RS_YoY_Prior
2018-12-03 16:15:00,0.8,-0.7,-2.5,-2.7
2018-11-02 16:15:00,-2.7,-0.2,0.5,0.4
2018-10-01 15:15:00,0.4,0.4,-0.9,-0.3
2018-09-03 15:15:00,-0.3,1.2,0.2,0.3
2018-08-02 15:15:00,0.3,0.0,0.4,-0.1
2018-07-02 15:15:00,-0.1,2.6,2.9,2.2
2018-05-31 15:15:00,2.2,-1.4,-1.1,-1.8
2018-05-02 15:15:00,-1.8,0.3,-0.2,-0.2
2018-04-03 15:15:00,-0.2,-0.7,-0.4,-1.4
2018-03-01 16:15:00,-1.4,1.1,0.7,0.6
2018-02-01 16:15:00,0.6,1.5,0.3,-0.2
2018-01-09 16:15:00,-0.2,-2.5,-2.6,-3.0
2017-11-30 16:15:00,-3.0,0.3,0.5,-0.4
2017-11-02 16:15:00,-0.4,0.4,-1.0,-0.2
2017-10-02 15:15:00,-0.2,0.5,-0.7,-0.7
2017-09-01 15:15:00,-0.7,1.7,1.7,1.5
2017-08-02 15:15:00,1.5,1.3,-0.8,-0.3
2017-07-03 15:15:00,-0.3,-0.8,-0.9,-1.2
2017-06-01 15:15:00,-1.2,2.4,2.1,2.1
2017-05-01 15:15:00,2.1,0.5,0.7,0.6
2017-04-03 15:15:00,0.6,-0.8,-1.2,-1.4
2017-03-02 16:15:00,-1.4,-2.0,-4.1,-3.5
2017-02-02 16:15:00,-3.5,0.5,0.8,0.9
2017-01-09 16:15:00,0.9,0.4,-0.7,-0.5
2016-12-01 16:15:00,-0.5,-2.0,-2.1,-2.3
2016-11-01 16:15:00,-2.3,-2.3,-2.8,-3.0
2016-10-03 15:15:00,-3.0,-1.6,-2.7,-2.2
2016-09-01 15:15:00,-2.2,-3.1,-3.5,-3.9
2016-08-02 15:15:00,-3.9,-2.0,-1.7,-1.6
2016-07-01 15:15:00,-1.6,None,-2.2,-1.9
2016-06-01 15:15:00,-1.9,-0.8,-1.6,-1.3
2016-05-02 15:15:00,-1.3,0.3,-0.4,-0.2
2016-04-01 15:15:00,-0.2,0.5,-0.1,0.2
2016-03-01 16:15:00,0.2,-1.2,-1.7,-1.6
2016-02-02 16:15:00,-1.6,-1.3,-1.7,-3.1
2016-01-11 16:15:00,-3.1,0.3,-0.6,-0.8
2015-12-01 16:15:00,-0.8,0.4,0.2,0.2
2015-11-02 16:15:00,0.2,0.2,-0.6,-0.3
2015-10-01 15:15:00,-0.3,0.3,0.1,-0.1
2015-09-14 15:15:00,-0.1,1.5,-0.9,-0.9
2015-08-17 15:15:00,-0.9,-0.6,-1.8,-1.8
2015-07-16 15:15:00,-1.8,1.9,1.6,1.6
2015-06-15 15:15:00,1.6,-2.2,-2.8,-2.8
2015-05-18 15:15:00,-2.8,-2.0,-3.1,-2.7
2015-04-17 15:15:00,-2.7,0.7,-0.3,-0.3
2015-03-16 16:15:00,-0.3,2.6,1.9,2.2
2015-02-06 16:15:00,2.2,0.4,-0.6,-1.2
2015-01-16 16:15:00,-1.2,1.1,0.3,0.3
2014-12-08 16:15:00,0.3,0.9,0.5,0.3
2014-11-07 16:15:00,0.3,1.0,1.4,1.9
2014-10-07 15:15:00,1.9,0.7,-0.3,-0.6
2014-09-08 15:15:00,-0.6,2.6,3.3,3.4
2014-08-11 15:15:00,3.4,0.3,-0.5,-0.6
2014-07-08 15:15:00,-0.6,1.8,0.8,0.4
2014-06-10 15:15:00,0.4,3.5,3.4,3.0
2014-05-12 15:15:00,3.0,2.3,1.2,1.0
2014-04-08 15:15:00,1.0,0.9,-0.1,0.3
2014-03-10 16:15:00,0.3,3.3,2.5,2.3
2014-02-07 16:15:00,2.3,3.9,4.2,4.2
2014-01-15 16:15:00,4.2,1.6,1.6,1.2
2013-12-09 16:15:00,1.2,2.1,1.0,1.0
2013-11-08 16:15:00,1.0,2.5,2.5,2.4
2013-10-08 15:15:00,2.4,1.0,0.6,0.8
2013-09-09 15:15:00,0.8,3.2,2.3,2.3
2013-08-12 15:15:00,2.3,1.8,1.5,1.8
2013-07-09 15:15:00,1.8,1.9,3.1,3.3
2013-06-10 15:15:00,3.3,2.4,-0.8,-0.9
2013-05-13 15:15:00,-0.9,0.8,2.3,2.4
2013-04-09 15:15:00,2.4,2.0,2.0,1.9
2013-03-11 16:15:00,1.9,2.8,4.7,5.1
2013-02-08 16:15:00,5.1,2.0,3.0,2.9
2013-01-16 16:15:00,2.9,3.2,2.7,2.7
2012-12-03 16:15:00,2.7,4.1,5.4,5.4
2012-11-01 16:15:00,5.4,4.2,6.0,5.9
2012-10-01 15:15:00,5.9,4.5,2.9,3.2
2012-09-03 15:15:00,3.2,4.3,3.3,3.7
2012-08-02 15:15:00,3.7,2.0,6.2,6.2
2012-07-02 15:15:00,6.2,5.0,0.2,0.1
2012-06-01 15:15:00,0.1,2.0,4.7,4.2
2012-05-04 15:15:00,4.2,1.2,0.8,0.8
2012-04-02 15:15:00,0.8,3.2,4.7,4.4
2012-03-05 16:15:00,4.4,2.0,1.7,0.6
2012-02-01 16:15:00,0.6,1.6,1.8,1.8
2012-01-09 16:15:00,1.8,0.5,0.1,-0.2
2011-12-02 16:15:00,-0.2,1.2,-1.4,-0.9
2011-10-31 17:15:00,-0.9,2.3,-0.8,-1.9
2011-10-03 15:15:00,-1.9,4.5,2.9,1.9
2011-09-01 15:15:00,1.9,4.6,7.9,7.4
2011-08-02 15:15:00,7.4,1.6,-3.9,-4.1
2011-07-04 15:15:00,-4.1,4.6,7.8,7.5
2011-06-01 15:15:00,7.5,1.9,-0.2,-0.2
2011-05-02 15:15:00,-0.2,2.3,1.8,1.5
2011-04-01 15:15:00,1.5,-1.3,-2.6,-2.6
2011-03-03 16:15:00,-2.6,1.7,-0.8,-0.4
2011-02-01 16:15:00,-0.4,2.6,1.8,2.5
2011-01-10 16:15:00,2.5,0.9,3.5,3.5
2010-12-02 16:15:00,3.5,4.9,4.1,3.8
2010-11-03 16:15:00,3.8,1.4,0.1,0.5
2010-10-01 15:15:00,0.5,3.2,4.7,4.8
2010-09-02 15:15:00,4.8,2.3,1.0,0.9
2010-08-02 15:15:00,0.9,4.1,3.9,3.8
2010-07-05 15:15:00,3.8,2.7,1.3,1.3
2010-06-02 15:15:00,1.3,3.7,4.0,4.5
2010-05-07 15:15:00,4.5,2.9,2.7,3.1
2010-04-07 15:15:00,3.1,3.8,3.7,4.4
2010-03-08 16:15:00,4.4,2.5,4.4,4.7
2010-02-08 16:15:00,4.7,1.3,-0.1,0.6
2010-01-11 16:15:00,0.6,2.0,3.6,3.1
2009-12-07 16:15:00,3.1,1.0,-2.1,-1.6
2009-11-17 16:15:00,-1.6,1.0,-1.0,-1.0
2009-10-16 15:15:00,-1.0,1.4,1.0,1.0
2009-09-16 15:15:00,1.0,1.1,0.9,0.9
2009-08-17 15:15:00,0.9,0.8,-1.4,-1.4
2009-07-15 15:15:00,-1.4,0.8,1.2,1.2
2009-06-17 15:15:00,1.2,0.5,1.2,1.2
2009-05-15 15:15:00,1.2,0.2,-3.8,-3.8
2009-04-17 15:15:00,-3.8,-0.2,1.2,1.2
2009-03-18 16:15:00,1.2,1.8,3.6,3.6
2009-02-17 16:15:00,3.6,2.0,-1.4,-1.4
2009-01-19 16:15:00,-1.4,1.4,2.9,2.9
2008-12-18 16:15:00,2.9,1.9,6.4,6.4
2008-11-18 16:15:00,6.4,,0.0,0.0
2008-10-16 15:15:00,0.0,0.9,6.2,6.2
2008-09-15 15:15:00,6.2,2.3,0.7,0.7
2008-08-18 15:15:00,0.7,3.2,7.4,7.4
2008-07-16 15:15:00,7.4,3.8,-9.4,-9.4
2008-06-16 15:15:00,-9.4,4.1,9.7,9.7
2008-05-16 16:15:00,9.7,3.0,3.3,7.6
2008-04-17 15:15:00,7.6,1.6,1.3,1.3
2008-03-17 16:15:00,1.3,2.7,1.2,1.2
2008-02-18 16:15:00,1.2,5.1,2.9,2.80
2008-01-01 17:00:00,2.80,,3.4,3.40
2007-12-01 17:00:00,3.40,,4.5,4.50
2007-11-01 17:00:00,4.50,,5.1,5.10
2007-10-01 17:00:00,5.10,,4.0,4.00
2007-09-01 17:00:00,4.00,,4.3,4.30
2007-08-01 17:00:00,4.30,,3.4,3.40
2007-07-01 17:00:00,3.40,,4.2,4.20
2007-06-01 17:00:00,4.20,,5.2,5.20
2007-05-01 17:00:00,5.20,,6.6,6.60
2007-04-01 17:00:00,6.60,,4.5,4.50
2007-03-01 17:00:00,4.50,,4.8,4.80
2007-02-01 17:00:00,4.80,,5.4,5.40
2007-01-01 17:00:00,5.40,,3.3,3.30
2006-12-01 17:00:00,3.30,,1.8,1.80
2006-11-01 17:00:00,1.80,,2.3,2.30
2006-10-01 17:00:00,2.30,,4.9,4.90
2006-09-01 17:00:00,4.90,,3.6,3.60
2006-08-01 17:00:00,3.60,,2.6,2.60
2006-07-01 17:00:00,2.60,,3.3,3.30
2006-06-01 17:00:00,3.30,,1.7,1.70
2006-05-01 17:00:00,1.70,,0.8,0.80
2006-04-01 17:00:00,0.80,,0.8,0.80
2006-03-01 17:00:00,0.80,,2.4,2.40
2006-02-01 17:00:00,2.40,,1.7,1.70
2006-01-01 17:00:00,1.70,,1.9,1.90
2005-12-01 17:00:00,1.90,,3.8,3.80
2005-11-01 17:00:00,3.80,,1.9,1.90
2005-10-01 17:00:00,1.90,,4.2,4.20
2005-09-01 17:00:00,4.20,,3.9,3.90
2005-08-01 17:00:00,3.90,,3.0,3.00
2005-07-01 17:00:00,3.00,,-0.2,-0.20
2005-06-01 17:00:00,-0.20,,2.4,2.40
2005-05-01 17:00:00,2.40,,2.5,2.50
2005-04-01 17:00:00,2.50,,1.3,1.30
2005-03-01 17:00:00,1.30,,-0.8,-0.80
2005-02-01 17:00:00,-0.80,,-1.6,-1.60
2005-01-01 17:00:00,-1.60,,3.0,3.00
2004-12-01 17:00:00,3.00,,-1.0,-1.00
2004-11-01 17:00:00,-1.00,,-0.8,-0.80
2004-10-01 17:00:00,-0.80,,3.9,
