datetime,FED_RATE_Actual,FED_RATE_Srv_Med,FED_RATE_Revised,FED_RATE_Prior
2014-12-18 03:00:00,0.25,0.25,0.25,0.25
2014-10-30 02:00:00,0.25,0.25,0.25,0.25
2014-09-18 02:00:00,0.25,0.25,0.25,0.25
2014-07-31 02:00:00,0.25,0.25,0.25,0.25
2014-06-19 02:00:00,0.25,0.25,0.25,0.25
2014-05-01 02:00:00,0.25,0.25,0.25,0.25
2014-03-20 02:00:00,0.25,0.25,0.25,0.25
2014-01-30 03:00:00,0.25,0.25,0.25,0.25
2013-12-19 03:00:00,0.25,0.25,0.25,0.25
2013-10-31 02:00:00,0.25,0.25,0.25,0.25
2013-09-19 02:00:00,0.25,0.25,0.25,0.25
2013-08-01 02:00:00,0.25,0.25,0.25,0.25
2013-06-20 02:00:00,0.25,0.25,0.25,0.25
2013-05-02 02:00:00,0.25,0.25,0.25,0.25
2013-03-21 02:00:00,0.25,0.25,0.25,0.25
2013-01-31 03:15:00,0.25,0.25,0.25,0.25
2012-12-13 01:30:00,0.25,0.25,0.25,0.25
2012-10-25 02:15:00,0.25,0.25,0.25,0.25
2012-09-14 00:30:00,0.25,0.25,0.25,0.25
2012-08-02 02:15:00,0.25,0.25,0.25,0.25
2012-06-21 00:30:00,0.25,0.25,0.25,0.25
2012-04-26 00:30:00,0.25,0.25,0.25,0.25
2012-03-14 02:15:00,0.25,0.25,0.25,0.25
2012-01-26 01:30:00,0.25,0.25,0.25,0.25
2011-12-14 03:15:00,0.25,0.25,0.25,0.25
2011-11-03 00:30:00,0.25,0.25,0.25,0.25
2011-09-22 02:15:00,0.25,0.25,0.25,0.25
2011-08-10 02:15:00,0.25,0.25,0.25,0.25
2011-06-23 00:30:00,0.25,0.25,0.25,0.25
2011-04-28 00:30:00,0.25,0.25,0.25,0.25
2011-03-16 02:15:00,0.25,0.25,0.25,0.25
2011-01-27 03:15:00,0.25,0.25,0.25,0.25
2010-12-15 03:15:00,0.25,0.25,0.25,0.25
2010-11-04 02:15:00,0.25,0.25,0.25,0.25
2010-09-22 02:15:00,0.25,0.25,0.25,0.25
2010-08-11 02:15:00,0.25,0.25,0.25,0.25
2010-06-24 02:15:00,0.25,0.25,0.25,0.25
2010-04-29 02:15:00,0.25,0.25,0.25,0.25
2010-03-17 02:15:00,0.25,0.25,0.25,0.25
2010-01-28 03:15:00,0.25,0.25,0.25,0.25
2009-12-17 03:15:00,0.25,0.25,0.25,0.25
2009-11-05 03:15:00,0.25,0.25,0.25,0.25
2009-09-24 02:15:00,0.25,0.25,0.25,0.25
2009-08-13 02:15:00,0.25,0.25,0.25,0.25
2009-06-25 02:15:00,0.25,0.25,0.25,0.25
2009-04-30 02:15:00,0.25,0.25,0.25,0.25
2009-03-19 02:15:00,0.25,0.25,0.25,0.25
2009-01-29 03:15:00,0.25,0.25,0.25,0.25
2008-12-17 03:15:00,0.25,0.5,1,1
2008-10-30 02:15:00,1,1,1.5,1.5
2008-10-08 19:00:00,1.5,,2,2
2008-09-17 02:15:00,2,2,2,2
2008-08-06 02:15:00,2,,2,2
2008-06-26 02:15:00,2,2,2,2
2008-05-01 02:15:00,2,2,2.25,2.25
2008-03-19 02:15:00,2.25,2.5,3,3
2008-01-31 02:15:00,3,,3.5,3.5
2008-01-23 02:15:00,3.5,,4.25,4.25
2007-12-12 02:00:00,4.25,,4.5,4.5
2007-11-01 02:00:00,4.5,,4.75,4.75
2007-09-19 02:00:00,4.75,,5.25,5.25
2006-06-30 02:00:00,5.25,,5,5
2006-05-11 02:00:00,5,,4.75,4.75
2006-03-29 02:00:00,4.75,,4.5,4.5
2006-02-01 02:00:00,4.5,,4.25,4.25
2005-12-14 02:00:00,4.25,,4,4
2005-11-02 02:00:00,4,,3.75,3.75
2005-09-21 02:00:00,3.75,,3.5,3.5
2005-08-10 02:00:00,3.5,,3.25,3.25
2005-07-01 02:00:00,3.25,,3,3
2005-05-04 02:00:00,3,,2.75,2.75
2005-03-23 02:00:00,2.75,,2.5,2.5
2005-02-03 02:00:00,2.5,,2.25,2.25
2004-12-15 02:00:00,2.25,,2,2
2004-11-11 02:00:00,2,,1.75,1.75
2004-09-22 02:00:00,1.75,,1.5,1.5
2004-08-11 02:00:00,1.5,,1.25,1.25
2004-07-01 02:00:00,1.25,,1,1
2003-06-26 02:00:00,1,,1.25,1.25
2002-11-07 02:00:00,1.25,,1.75,1.75
2001-12-12 02:00:00,1.75,,2,2
2001-11-07 02:00:00,2,,2.5,2.5
2001-10-03 02:00:00,2.5,,3,3
2001-09-18 02:00:00,3,,3.5,3.5
2001-08-22 02:00:00,3.5,,3.75,3.75
2001-06-28 02:00:00,3.75,,4,4
2001-05-16 02:00:00,4,,4.5,4.5
2001-04-19 02:00:00,4.5,,5,5
2001-03-21 02:00:00,5,,5.5,5.5
2001-02-01 02:00:00,5.5,,6,6
2001-01-04 02:00:00,6,,6.5,6.5
2000-05-17 02:00:00,6.5,,6,6
2000-03-22 02:00:00,6,,5.75,5.75
2000-02-03 02:00:00,5.75,,5.5,5.5
1999-11-17 02:00:00,5.5,,5.25,5.25
1999-08-25 02:00:00,5.25,,5,5
1999-07-01 02:00:00,5,,4.75,4.75
1998-11-18 02:00:00,4.75,,5,5
1998-10-16 02:00:00,5,,5.25,5.25
1998-09-30 02:00:00,5.25,,5.5,5.5
1997-03-26 02:00:00,5.5,,5.25,5.25
1996-02-01 02:00:00,5.25,,5.5,5.5
1995-12-20 02:00:00,5.5,,5.75,5.75
1995-07-07 02:00:00,5.75,,6,6
1995-02-02 02:00:00,6,,5.5,5.5
1994-11-16 02:00:00,5.5,,4.75,4.75
1994-08-17 02:00:00,4.75,,4.25,4.25
1994-05-18 02:00:00,4.25,,3.75,3.75
1994-04-19 02:00:00,3.75,,3.5,3.5
1994-03-23 02:00:00,3.5,,3.25,3.25
1994-02-05 02:00:00,3.25,,3,3
1992-09-05 02:00:00,3,,3.25,3.25
1992-07-03 02:00:00,3.25,,3.75,3.75
1992-04-10 02:00:00,3.75,,4,4
1991-12-21 02:00:00,4,,4.5,4.5
1991-12-07 02:00:00,4.5,,4.75,4.75
1991-11-07 02:00:00,4.75,,5,5
1991-11-01 02:00:00,5,,5.25,5.25
1991-09-14 02:00:00,5.25,,5.5,5.5
1991-08-07 02:00:00,5.5,,5.75,5.75
1991-05-01 02:00:00,5.75,,6,6
1991-03-09 02:00:00,6,,6.25,6.25
1991-02-02 02:00:00,6.25,,6.75,6.75
1991-01-10 02:00:00,6.75,,7,7
1990-12-20 02:00:00,7,,7.25,7.25
1990-12-08 02:00:00,7.25,,7.5,7.5
1990-11-15 02:00:00,7.5,,7.75,7.75
1990-10-30 02:00:00,7.75,,8,8
1990-07-14 02:00:00,8,,8.25,8.25
1989-12-21 02:00:00,8.25,,8.5,8.5
1989-11-07 02:00:00,8.5,,8.75,8.75
1989-10-20 02:00:00,8.75,,9.06,9.06
1989-07-28 02:00:00,9.06,,9.31,9.31
1989-07-08 02:00:00,9.31,,9.56,9.56
1989-06-07 02:00:00,9.56,,9.81,9.81
1989-05-18 02:00:00,9.81,,9.75,9.75
1989-02-25 02:00:00,9.75,,9.31,9.31
1989-02-15 02:00:00,9.31,,9.12,9.12
1989-02-10 02:00:00,9.12,,9,9
1989-01-06 02:00:00,9,,8.68,8.68
1988-12-16 02:00:00,8.68,,8.37,8.37
1988-11-23 02:00:00,8.37,,8.31,8.31
1988-11-18 02:00:00,8.31,,8.12,8.12
1988-08-10 02:00:00,8.12,,7.75,7.75
1988-08-09 02:00:00,7.75,,7.68,7.68
1988-07-20 02:00:00,7.68,,7.5,7.5
1988-07-02 02:00:00,7.5,,7.43,7.43
1988-06-23 02:00:00,7.43,,7.25,7.25
1988-05-26 02:00:00,7.25,,7,7
1988-05-10 02:00:00,7,,6.75,6.75
1988-03-31 02:00:00,6.75,,6.5,6.5
1988-02-12 02:00:00,6.5,,6.62,6.62
1988-01-29 02:00:00,6.62,,6.81,6.81
1987-11-05 02:00:00,6.81,,7.31,7.31
1987-09-25 02:00:00,7.31,,7.25,7.25
1987-09-05 02:00:00,7.25,,6.87,6.87
1987-09-04 02:00:00,6.87,,6.75,6.75
1987-08-28 02:00:00,6.75,,6.62,6.62
1987-07-03 02:00:00,6.62,,6.75,6.75
1987-05-23 02:00:00,6.75,,6.5,6.5
1987-05-01 02:00:00,6.5,,6,6
1987-01-06 02:00:00,6,,5.87,5.87
1986-08-22 02:00:00,5.87,,6.37,6.37
1986-07-12 02:00:00,6.37,,6.87,6.87
1986-06-06 02:00:00,6.87,,6.81,6.81
1986-05-23 02:00:00,6.81,,6.75,6.75
1986-04-22 02:00:00,6.75,,7.31,7.31
1986-04-03 02:00:00,7.31,,7.25,7.25
1986-03-08 02:00:00,7.25,,7.75,7.75
1985-12-19 02:00:00,7.75,,8,8
1985-09-07 02:00:00,8,,7.81,7.81
1985-08-22 02:00:00,7.81,,7.75,7.75
1985-07-26 02:00:00,7.75,,7.68,7.68
1985-07-12 02:00:00,7.68,,7.75,7.75
1985-05-21 02:00:00,7.75,,8.25,8.25
1985-04-26 02:00:00,8.25,,8.5,8.5
1985-03-29 02:00:00,8.5,,8.37,8.37
1985-02-15 02:00:00,8.37,,8.25,8.25
1985-01-25 02:00:00,8.25,,8.12,8.12
1984-12-25 02:00:00,8.12,,8.5,8.5
1984-12-20 02:00:00,8.5,,8.75,8.75
1984-12-07 02:00:00,8.75,,9,9
1984-11-24 02:00:00,9,,9.5,9.5
1984-11-09 02:00:00,9.5,,10,10
1984-10-19 02:00:00,10,,10.5,10.5
1984-10-12 02:00:00,10.5,,11,11
1984-09-28 02:00:00,11,,11.25,11.25
1984-09-21 02:00:00,11.25,,11.5,11.5
1984-08-10 02:00:00,11.5,,11.25,11.25
1984-07-20 02:00:00,11.25,,11,11
1984-07-06 02:00:00,11,,10.5,10.5
1984-03-30 02:00:00,10.5,,9.37,9.37
1983-09-16 02:00:00,9.37,,9.5,9.5
1983-08-18 02:00:00,9.5,,9.56,9.56
1983-08-12 02:00:00,9.56,,9.43,9.43
1983-07-21 02:00:00,9.43,,9.25,9.25
1983-07-15 02:00:00,9.25,,9,9
1983-06-25 02:00:00,9,,8.75,8.75
1983-05-26 02:00:00,8.75,,8.62,8.62
1983-04-01 02:00:00,8.62,,8.5,8.5
1982-12-15 02:00:00,8.5,,9,9
1982-11-20 02:00:00,9,,9.5,9.5
1982-10-08 02:00:00,9.5,,10,10
1982-10-02 02:00:00,10,,10.25,
