datetime,CAD_RS_MoM_Actual,CAD_RS_MoM_Srv_Med,CAD_RS_MoM_Revised,CAD_RS_MoM_Prior
2008-04-23 20:30:00,-0.7,0.1,1.5,1.5
2008-03-25 20:30:00,1.5,1.4,0.6,0.6
2008-02-22 21:30:00,0.6,0.8,0.7,1.9
2008-01-01 17:00:00,1.9,,1.9,1.9
2007-12-01 17:00:00,1.9,,-0.1,-0.1
2007-11-01 17:00:00,-0.1,,-1.1,-1.1
2007-10-01 17:00:00,-1.1,,0.9,0.9
2007-09-01 17:00:00,0.9,,0.0,0
2007-08-01 17:00:00,0,,-1.0,-1
2007-07-01 17:00:00,-1,,1.2,1.2
2007-06-01 17:00:00,1.2,,1.4,1.4
2007-05-01 17:00:00,1.4,,1.3,1.3
2007-04-01 17:00:00,1.3,,0.7,0.7
2007-03-01 17:00:00,0.7,,-0.9,-0.9
2007-02-01 17:00:00,-0.9,,2.1,2.1
2007-01-01 17:00:00,2.1,,0.7,0.7
2006-12-01 17:00:00,0.7,,0.3,0.3
2006-11-01 17:00:00,0.3,,-1.6,-1.6
2006-10-01 17:00:00,-1.6,,-0.1,-0.1
2006-09-01 17:00:00,-0.1,,2.5,2.5
2006-08-01 17:00:00,2.5,,0.6,0.6
2006-07-01 17:00:00,0.6,,-0.9,-0.9
2006-06-01 17:00:00,-0.9,,1.5,1.5
2006-05-01 17:00:00,1.5,,0.4,0.4
2006-04-01 17:00:00,0.4,,0.0,0
2006-03-01 17:00:00,0,,1.7,1.7
2006-02-01 17:00:00,1.7,,0.7,0.7
2006-01-01 17:00:00,0.7,,0.4,0.4
2005-12-01 17:00:00,0.4,,0.9,0.9
2005-11-01 17:00:00,0.9,,-0.2,-0.2
2005-10-01 17:00:00,-0.2,,-0.5,-0.5
2005-09-01 17:00:00,-0.5,,0.7,0.7
2005-08-01 17:00:00,0.7,,2.2,2.2
2005-07-01 17:00:00,2.2,,0.0,0
2005-06-01 17:00:00,0,,-0.2,-0.2
2005-05-01 17:00:00,-0.2,,-1.5,-1.5
2005-04-01 17:00:00,-1.5,,1.9,1.9
2005-03-01 17:00:00,1.9,,1.0,1
2005-02-01 17:00:00,1,,-1.0,-1
2005-01-01 17:00:00,-1,,1.1,1.1
2004-12-01 17:00:00,1.1,,1.1,1.1
2004-11-01 17:00:00,1.1,,1.4,1.4
2004-10-01 17:00:00,1.4,,0.8,0.8
2004-09-01 17:00:00,0.8,,0.2,0.2
2004-08-01 17:00:00,0.2,,0.0,0
2004-07-01 17:00:00,0,,1.1,1.1
2004-06-01 17:00:00,1.1,,-1.5,-1.5
2004-05-01 17:00:00,-1.5,,-0.1,-0.1
2004-04-01 17:00:00,-0.1,,2.8,2.8
2004-03-01 17:00:00,2.8,,0.8,0.8
2004-02-01 17:00:00,0.8,,-0.3,-0.3
2004-01-01 17:00:00,-0.3,,-0.2,-0.2
2003-12-01 17:00:00,-0.2,,-0.1,-0.1
2003-11-01 17:00:00,-0.1,,-0.6,-0.6
2003-10-01 17:00:00,-0.6,,1.1,1.1
2003-09-01 17:00:00,1.1,,0.5,0.5
2003-08-01 17:00:00,0.5,,0.3,0.3
2003-07-01 17:00:00,0.3,,1.1,1.1
2003-06-01 17:00:00,1.1,,-0.4,-0.4
2003-05-01 17:00:00,-0.4,,-1.3,-1.3
2003-04-01 17:00:00,-1.3,,1.8,1.8
2003-03-01 17:00:00,1.8,,-0.1,-0.1
2003-02-01 17:00:00,-0.1,,0.6,0.6
2003-01-01 17:00:00,0.6,,-0.2,-0.2
2002-12-01 17:00:00,-0.2,,1.7,1.7
2002-11-01 17:00:00,1.7,,-0.5,-0.5
2002-10-01 17:00:00,-0.5,,0.6,0.6
2002-09-01 17:00:00,0.6,,-0.6,-0.6
2002-08-01 17:00:00,-0.6,,2.3,2.3
2002-07-01 17:00:00,2.3,,-1.8,-1.8
2002-06-01 17:00:00,-1.8,,2.2,2.2
2002-05-01 17:00:00,2.2,,-0.1,-0.1
2002-04-01 17:00:00,-0.1,,-1.5,-1.5
2002-03-01 17:00:00,-1.5,,1.4,1.4
2002-02-01 17:00:00,1.4,,1.8,1.8
2002-01-01 17:00:00,1.8,,2.0,2
2001-12-01 17:00:00,2,,1.8,1.8
2001-11-01 17:00:00,1.8,,-1.3,-1.3
2001-10-01 17:00:00,-1.3,,0.8,0.8
2001-09-01 17:00:00,0.8,,-1.5,-1.5
2001-08-01 17:00:00,-1.5,,0.2,0.2
2001-07-01 17:00:00,0.2,,0.8,0.8
2001-06-01 17:00:00,0.8,,1.5,1.5
2001-05-01 17:00:00,1.5,,0.4,0.4
2001-04-01 17:00:00,0.4,,-0.7,-0.7
2001-03-01 17:00:00,-0.7,,0.5,0.5
2001-02-01 17:00:00,0.5,,0.6,0.6
2001-01-01 17:00:00,0.6,,0.2,0.2
2000-12-01 17:00:00,0.2,,-0.7,-0.7
2000-11-01 17:00:00,-0.7,,0.9,0.9
2000-10-01 17:00:00,0.9,,0.3,0.3
2000-09-01 17:00:00,0.3,,1.5,1.5
2000-08-01 17:00:00,1.5,,0.8,0.8
2000-07-01 17:00:00,0.8,,0.5,0.5
2000-06-01 17:00:00,0.5,,-1.2,-1.2
2000-05-01 17:00:00,-1.2,,1.9,1.9
2000-04-01 17:00:00,1.9,,-0.2,-0.2
2000-03-01 17:00:00,-0.2,,0.2,0.2
2000-02-01 17:00:00,0.2,,1.5,1.5
2000-01-01 17:00:00,1.5,,0.3,0.3
1999-12-01 17:00:00,0.3,,0.7,0.7
1999-11-01 17:00:00,0.7,,0.0,0
1999-10-01 17:00:00,0,,0.8,0.8
1999-09-01 17:00:00,0.8,,0.7,0.7
1999-08-01 17:00:00,0.7,,0.7,0.7
1999-07-01 17:00:00,0.7,,-0.4,-0.4
1999-06-01 17:00:00,-0.4,,-0.1,-0.1
1999-05-01 17:00:00,-0.1,,0.5,0.5
1999-04-01 17:00:00,0.5,,1.0,1
1999-03-01 17:00:00,1,,2.2,2.2
1999-02-01 17:00:00,2.2,,-0.5,-0.5
1999-01-01 17:00:00,-0.5,,0.7,0.7
1998-12-01 17:00:00,0.7,,-0.4,-0.4
1998-11-01 17:00:00,-0.4,,1.5,1.5
1998-10-01 17:00:00,1.5,,-0.2,-0.2
1998-09-01 17:00:00,-0.2,,0.7,0.7
1998-08-01 17:00:00,0.7,,-1.2,-1.2
1998-07-01 17:00:00,-1.2,,0.0,0
1998-06-01 17:00:00,0,,2.2,2.2
1998-05-01 17:00:00,2.2,,-0.5,-0.5
1998-04-01 17:00:00,-0.5,,1.8,1.8
1998-03-01 17:00:00,1.8,,-4.5,-4.5
1998-02-01 17:00:00,-4.5,,3.7,3.7
1998-01-01 17:00:00,3.7,,-0.3,-0.3
1997-12-01 17:00:00,-0.3,,1.9,1.9
1997-11-01 17:00:00,1.9,,0.2,0.2
1997-10-01 17:00:00,0.2,,-0.4,-0.4
1997-09-01 17:00:00,-0.4,,1.0,1
1997-08-01 17:00:00,1,,0.4,0.4
1997-07-01 17:00:00,0.4,,0.8,0.8
1997-06-01 17:00:00,0.8,,0.8,0.8
1997-05-01 17:00:00,0.8,,-0.4,-0.4
1997-04-01 17:00:00,-0.4,,1.4,1.4
1997-03-01 17:00:00,1.4,,0.9,0.9
1997-02-01 17:00:00,0.9,,-0.7,-0.7
1997-01-01 17:00:00,-0.7,,1.7,1.7
1996-12-01 17:00:00,1.7,,2.5,2.5
1996-11-01 17:00:00,2.5,,-0.3,-0.3
1996-10-01 17:00:00,-0.3,,0.8,0.8
1996-09-01 17:00:00,0.8,,-0.3,-0.3
1996-08-01 17:00:00,-0.3,,1.2,1.2
1996-07-01 17:00:00,1.2,,0.1,0.1
1996-06-01 17:00:00,0.1,,-0.2,-0.2
1996-05-01 17:00:00,-0.2,,0.6,0.6
1996-04-01 17:00:00,0.6,,0.7,0.7
1996-03-01 17:00:00,0.7,,0.0,0
1996-02-01 17:00:00,0,,0.1,0.1
1996-01-01 17:00:00,0.1,,0.5,0.5
1995-12-01 17:00:00,0.5,,-1.2,-1.2
1995-11-01 17:00:00,-1.2,,-0.5,-0.5
1995-10-01 17:00:00,-0.5,,1.7,1.7
1995-09-01 17:00:00,1.7,,-0.5,-0.5
1995-08-01 17:00:00,-0.5,,0.9,0.9
1995-07-01 17:00:00,0.9,,0.6,0.6
1995-06-01 17:00:00,0.6,,0.0,0
1995-05-01 17:00:00,0,,-0.2,-0.2
1995-04-01 17:00:00,-0.2,,-0.4,-0.4
1995-03-01 17:00:00,-0.4,,-0.3,-0.3
1995-02-01 17:00:00,-0.3,,0.7,0.7
1995-01-01 17:00:00,0.7,,0.4,0.4
1994-12-01 17:00:00,0.4,,1.3,1.3
1994-11-01 17:00:00,1.3,,0.4,0.4
1994-10-01 17:00:00,0.4,,0.5,0.5
1994-09-01 17:00:00,0.5,,-0.5,-0.5
1994-08-01 17:00:00,-0.5,,0.6,0.6
1994-07-01 17:00:00,0.6,,1.5,1.5
1994-06-01 17:00:00,1.5,,-2.1,-2.1
1994-05-01 17:00:00,-2.1,,2.9,2.9
1994-04-01 17:00:00,2.9,,1.9,1.9
1994-03-01 17:00:00,1.9,,0.3,0.3
1994-02-01 17:00:00,0.3,,0.4,0.4
1994-01-01 17:00:00,0.4,,0.8,0.8
1993-12-01 17:00:00,0.8,,0.4,0.4
1993-11-01 17:00:00,0.4,,0.3,0.3
1993-10-01 17:00:00,0.3,,-0.1,-0.1
1993-09-01 17:00:00,-0.1,,2.2,2.2
1993-08-01 17:00:00,2.2,,-0.7,-0.7
1993-07-01 17:00:00,-0.7,,-0.6,-0.6
1993-06-01 17:00:00,-0.6,,1.6,1.6
1993-05-01 17:00:00,1.6,,0.5,0.5
1993-04-01 17:00:00,0.5,,-1.0,-1
1993-03-01 17:00:00,-1,,1.9,1.9
1993-02-01 17:00:00,1.9,,0.3,0.3
1993-01-01 17:00:00,0.3,,-0.5,-0.5
1992-12-01 17:00:00,-0.5,,0.9,0.9
1992-11-01 17:00:00,0.9,,0.9,0.9
1992-10-01 17:00:00,0.9,,-0.2,-0.2
1992-09-01 17:00:00,-0.2,,0.3,0.3
1992-08-01 17:00:00,0.3,,1.2,1.2
1992-07-01 17:00:00,1.2,,-0.4,-0.4
1992-06-01 17:00:00,-0.4,,1.2,1.2
1992-05-01 17:00:00,1.2,,0.1,0.1
1992-04-01 17:00:00,0.1,,0.2,0.2
1992-03-01 17:00:00,0.2,,0.8,0.8
1992-02-01 17:00:00,0.8,,-2.0,-2
1992-01-01 17:00:00,-2,,1.6,1.6
1991-12-01 17:00:00,1.6,,-0.1,-0.1
1991-11-01 17:00:00,-0.1,,0.0,0
1991-10-01 17:00:00,0,,-0.8,-0.8
1991-09-01 17:00:00,-0.8,,0.3,0.3
1991-08-01 17:00:00,0.3,,-1.1,-1.1
1991-07-01 17:00:00,-1.1,,2.5,2.5
1991-06-01 17:00:00,2.5,,-0.8,-0.8
1991-05-01 17:00:00,-0.8,,0.7,0.7
1991-04-01 17:00:00,0.7,,1.8,
