datetime,JP_RS_YoY_Actual,JP_RS_YoY_Srv_Med,JP_RS_YoY_Revised,JP_RS_YoY_Prior
2014-06-27 07:50:00,-0.4,-1.8,-4.4,-4.4
2014-05-29 07:50:00,-4.4,-3.3,11.0,11.0
2014-04-28 07:50:00,11.0,11.0,3.6,3.6
2014-03-28 07:50:00,3.6,3.2,4.4,4.4
2014-02-28 07:50:00,4.4,3.8,2.6,2.6
2014-01-30 07:50:00,2.6,3.8,4.1,4.0
2013-12-27 07:50:00,4.0,2.9,2.3,2.3
2013-11-28 07:50:00,2.3,2.1,3.1,3.1
2013-10-29 07:50:00,3.1,1.9,1.1,1.1
2013-09-30 07:50:00,1.1,1.0,-0.3,-0.3
2013-08-29 07:50:00,-0.3,0.6,1.6,1.6
2013-07-29 07:50:00,1.6,1.9,0.8,0.8
2013-06-28 07:50:00,0.8,0.1,-0.2,-0.1
2013-05-29 07:50:00,-0.1,-0.4,-0.3,-0.3
2013-04-30 07:50:00,-0.3,0.6,-2.3,-2.3
2013-03-28 07:50:00,-2.3,-1.2,-1.1,-1.1
2013-02-27 07:50:00,-1.1,-1.3,0.4,0.4
2013-01-30 07:50:00,0.4,0.3,1.3,1.3
2012-12-28 07:50:00,1.3,1.1,-1.2,-1.2
2012-11-29 07:50:00,-1.2,-0.7,0.4,0.4
2012-10-29 07:50:00,0.4,1.0,1.7,1.8
2012-09-28 07:50:00,1.8,-0.2,-0.8,-0.8
2012-08-30 07:50:00,-0.8,-0.2,0.2,0.2
2012-07-27 07:50:00,0.2,1.2,3.6,3.6
2012-06-28 07:50:00,3.6,3.0,5.7,5.8
2012-05-29 07:50:00,5.8,6.3,10.3,10.3
2012-04-27 07:50:00,10.3,9.8,3.4,3.5
2012-03-29 07:50:00,3.5,1.4,1.8,1.9
2012-02-28 07:50:00,1.9,-0.1,2.5,2.5
2012-01-27 07:50:00,2.5,2.0,-2.2,-2.3
2011-12-28 07:50:00,-2.3,0.1,1.9,1.9
2011-11-29 07:50:00,1.9,0.7,-1.1,-1.2
2011-10-27 07:50:00,-1.2,-0.1,-2.6,-2.6
2011-09-29 07:50:00,-2.6,-0.8,0.6,0.7
2011-08-30 07:50:00,0.7,1.5,1.2,1.1
2011-07-28 07:50:00,1.1,-0.5,-1.3,-1.3
2011-06-28 07:50:00,-1.3,-2.2,-4.8,-4.8
2011-05-27 07:50:00,-4.8,-6.2,-8.3,-8.5
2011-04-27 07:50:00,-8.5,-5.8,0.1,0.1
2011-03-29 07:50:00,0.1,-0.5,0.1,0.1
2011-02-28 07:50:00,0.1,-1.5,-2.1,-2.0
2011-01-28 07:50:00,-2.0,0.6,1.5,1.3
2010-12-28 07:50:00,1.3,0.4,-0.2,-0.2
2010-11-29 07:50:00,-0.2,0.7,1.4,1.2
2010-10-28 07:50:00,1.2,3.3,4.3,4.3
2010-09-30 07:50:00,4.3,4.6,3.8,3.9
2010-08-31 07:50:00,3.9,3.1,3.3,3.2
2010-07-29 07:50:00,3.2,3.3,2.9,2.8
2010-06-28 07:50:00,2.8,4.7,4.9,4.9
2010-05-28 07:50:00,4.9,3.7,4.7,4.7
2010-04-28 07:50:00,4.7,3.7,4.2,4.2
2010-03-29 07:50:00,4.2,1.7,2.3,2.6
2010-02-26 07:50:00,2.6,-0.1,-0.2,-0.3
2010-01-28 07:50:00,-0.3,0.3,-1.1,-1.0
2009-12-28 07:50:00,-1.0,-1.0,-1.0,-0.9
2009-11-27 07:50:00,-0.9,-1.5,-1.3,-1.4
2009-10-28 07:50:00,-1.4,-1.5,-1.8,-1.8
2009-10-01 07:50:00,-1.8,-2.4,-2.4,-2.5
2009-08-31 07:50:00,-2.5,-3.3,-2.9,-3.0
2009-07-29 07:50:00,-3.0,-2.5,-2.7,-2.8
2009-06-29 07:50:00,-2.8,-2.6,-2.8,-2.9
2009-05-28 07:50:00,-2.9,-3.2,-3.9,-3.9
2009-04-28 07:50:00,-3.9,-4.8,-5.8,-5.8
2009-03-27 07:50:00,-5.8,-3.6,-2.4,-2.4
2009-02-27 07:50:00,-2.4,-3.0,-2.7,-2.7
2009-01-29 07:50:00,-2.7,-1.6,-0.9,-0.9
2008-12-26 07:50:00,-0.9,-1.4,-0.7,-0.6
2008-11-28 07:50:00,-0.6,-0.9,-0.3,-0.4
2008-10-28 07:50:00,-0.4,0.0,0.7,0.7
2008-09-29 07:50:00,0.7,0.2,2.0,1.9
2008-08-29 07:50:00,1.9,1.3,0.3,0.3
2008-07-29 07:50:00,0.3,-0.2,0.3,0.2
2008-06-27 07:50:00,0.2,-0.1,0.1,0.1
2008-05-29 08:50:00,0.1,0.5,1.0,1.1
2008-04-28 07:50:00,1.1,0.0,3.2,3.1
2008-03-28 07:50:00,3.1,2.1,1.3,1.5
2008-02-28 07:50:00,1.5,0.0,0.2,0.80
2008-01-01 17:00:00,0.80,,2.1,2.10
2007-12-01 17:00:00,2.10,,1.5,1.50
2007-11-01 17:00:00,1.50,,1.2,1.20
2007-10-01 17:00:00,1.20,,1.2,1.20
2007-09-01 17:00:00,1.20,,-1.5,-1.50
2007-08-01 17:00:00,-1.50,,0.3,0.30
2007-07-01 17:00:00,0.30,,0.8,0.80
2007-06-01 17:00:00,0.80,,0.1,0.10
2007-05-01 17:00:00,0.10,,-0.6,-0.60
2007-04-01 17:00:00,-0.60,,-0.2,-0.20
2007-03-01 17:00:00,-0.20,,-1.0,-1.00
2007-02-01 17:00:00,-1.00,,-0.3,-0.30
2007-01-01 17:00:00,-0.30,,-0.4,-0.40
2006-12-01 17:00:00,-0.40,,-0.2,-0.20
2006-11-01 17:00:00,-0.20,,0.4,0.40
2006-10-01 17:00:00,0.40,,0.8,0.80
2006-09-01 17:00:00,0.80,,-0.2,-0.20
2006-08-01 17:00:00,-0.20,,0.1,0.10
2006-07-01 17:00:00,0.10,,0.0,0.00
2006-06-01 17:00:00,0.00,,-1.0,-1.00
2006-05-01 17:00:00,-1.00,,1.0,1.00
2006-04-01 17:00:00,1.00,,1.0,1.00
2006-03-01 17:00:00,1.00,,-0.5,-0.50
2006-02-01 17:00:00,-0.50,,1.1,1.10
2006-01-01 17:00:00,1.10,,0.4,0.40
2005-12-01 17:00:00,0.40,,-0.6,-0.60
2005-11-01 17:00:00,-0.60,,-0.1,-0.10
2005-10-01 17:00:00,-0.10,,1.3,1.30
2005-09-01 17:00:00,1.30,,0.3,0.30
2005-08-01 17:00:00,0.30,,2.8,2.80
2005-07-01 17:00:00,2.80,,2.5,2.50
2005-06-01 17:00:00,2.50,,3.5,3.50
2005-05-01 17:00:00,3.50,,-0.2,-0.20
2005-04-01 17:00:00,-0.20,,-3.0,-3.00
2005-03-01 17:00:00,-3.00,,2.6,2.60
2005-02-01 17:00:00,2.60,,-0.5,-0.50
2005-01-01 17:00:00,-0.50,,1.2,1.20
2004-12-01 17:00:00,1.20,,-0.1,-0.10
2004-11-01 17:00:00,-0.10,,0.7,0.70
2004-10-01 17:00:00,0.70,,-0.4,-0.40
2004-09-01 17:00:00,-0.40,,2.6,2.60
2004-08-01 17:00:00,2.60,,-0.9,-0.90
2004-07-01 17:00:00,-0.90,,-0.4,-0.40
2004-06-01 17:00:00,-0.40,,1.1,1.10
2004-05-01 17:00:00,1.10,,0.6,0.60
2004-04-01 17:00:00,0.60,,4.1,4.10
2004-03-01 17:00:00,4.10,,3.3,3.30
2004-02-01 17:00:00,3.30,,1.7,1.70
2004-01-01 17:00:00,1.70,,-1.1,-1.10
2003-12-01 17:00:00,-1.10,,2.4,2.40
2003-11-01 17:00:00,2.40,,0.3,0.30
2003-10-01 17:00:00,0.30,,0.2,0.20
2003-09-01 17:00:00,0.20,,-0.7,-0.70
2003-08-01 17:00:00,-0.70,,-0.1,-0.10
2003-07-01 17:00:00,-0.10,,-0.3,-0.30
2003-06-01 17:00:00,-0.30,,-1.1,-1.10
2003-05-01 17:00:00,-1.10,,0.4,0.40
2003-04-01 17:00:00,0.40,,1.0,1.00
2003-03-01 17:00:00,1.00,,-1.3,-1.30
2003-02-01 17:00:00,-1.30,,-2.2,-2.20
2003-01-01 17:00:00,-2.20,,-1.2,-1.20
2002-12-01 17:00:00,-1.20,,-2.1,-2.10
2002-11-01 17:00:00,-2.10,,-2.3,-2.30
2002-10-01 17:00:00,-2.30,,-1.6,-1.60
2002-09-01 17:00:00,-1.60,,-5.1,-5.10
2002-08-01 17:00:00,-5.10,,-3.1,-3.10
2002-07-01 17:00:00,-3.10,,-2.8,-2.80
2002-06-01 17:00:00,-2.80,,-4.1,-4.10
2002-05-01 17:00:00,-4.10,,-4.9,-4.90
2002-04-01 17:00:00,-4.90,,-5.9,-5.90
2002-03-01 17:00:00,-5.90,,-4.2,-4.20
2002-02-01 17:00:00,-4.20,,-5.2,-5.20
2002-01-01 17:00:00,-5.20,,-2.4,-2.40
2001-12-01 17:00:00,-2.40,,-4.3,-4.30
2001-11-01 17:00:00,-4.30,,-2.1,-2.10
2001-10-01 17:00:00,-2.10,,-3.4,-3.40
2001-09-01 17:00:00,-3.40,,-2.6,-2.60
2001-08-01 17:00:00,-2.60,,-2.1,-2.10
2001-07-01 17:00:00,-2.10,,-1.3,-1.30
2001-06-01 17:00:00,-1.30,,-1.2,-1.20
2001-05-01 17:00:00,-1.20,,1.7,1.70
2001-04-01 17:00:00,1.70,,-0.5,-0.50
2001-03-01 17:00:00,-0.50,,1.4,1.40
2001-02-01 17:00:00,1.40,,-0.8,-0.80
2001-01-01 17:00:00,-0.80,,-0.8,-0.80
2000-12-01 17:00:00,-0.80,,-2.1,-2.10
2000-11-01 17:00:00,-2.10,,-1.2,-1.20
2000-10-01 17:00:00,-1.20,,-0.9,-0.90
2000-09-01 17:00:00,-0.90,,-0.4,-0.40
2000-08-01 17:00:00,-0.40,,-0.9,-0.90
2000-07-01 17:00:00,-0.90,,-2.3,-2.30
2000-06-01 17:00:00,-2.30,,-3.3,-3.30
2000-05-01 17:00:00,-3.30,,-3.3,-3.30
2000-04-01 17:00:00,-3.30,,0.1,0.10
2000-03-01 17:00:00,0.10,,-1.7,-1.70
2000-02-01 17:00:00,-1.70,,-1.4,-1.40
2000-01-01 17:00:00,-1.40,,-3.0,-3.00
1999-12-01 17:00:00,-3.00,,-0.4,-0.40
1999-11-01 17:00:00,-0.40,,-1.9,-1.90
1999-10-01 17:00:00,-1.90,,-1.7,-1.70
1999-09-01 17:00:00,-1.70,,-2.6,-2.60
1999-08-01 17:00:00,-2.60,,-2.2,-2.20
1999-07-01 17:00:00,-2.20,,-3.5,-3.50
1999-06-01 17:00:00,-3.50,,-2.3,-2.30
1999-05-01 17:00:00,-2.30,,1.8,1.80
1999-04-01 17:00:00,1.80,,1.8,1.80
1999-03-01 17:00:00,1.80,,-0.6,-0.60
1999-02-01 17:00:00,-0.60,,0.7,0.70
1999-01-01 17:00:00,0.70,,2.7,2.70
1998-12-01 17:00:00,2.70,,-1.0,-1.00
1998-11-01 17:00:00,-1.00,,0.9,0.90
1998-10-01 17:00:00,0.90,,0.6,0.60
1998-09-01 17:00:00,0.60,,1.0,1.00
1998-08-01 17:00:00,1.00,,1.1,1.10
1998-07-01 17:00:00,1.10,,2.7,2.70
1998-06-01 17:00:00,2.70,,4.2,4.20
1998-05-01 17:00:00,4.20,,-14.3,-14.30
1998-04-01 17:00:00,-14.30,,-7.4,-7.40
1998-03-01 17:00:00,-7.40,,-3.5,-3.50
1998-02-01 17:00:00,-3.50,,-4.9,-4.90
1998-01-01 17:00:00,-4.90,,-5.1,-5.10
1997-12-01 17:00:00,-5.10,,-1.4,-1.40
1997-11-01 17:00:00,-1.40,,-2.6,-2.60
1997-10-01 17:00:00,-2.60,,-0.7,-0.70
1997-09-01 17:00:00,-0.70,,-2.2,-2.20
1997-08-01 17:00:00,-2.20,,-2.1,-2.10
1997-07-01 17:00:00,-2.10,,-1.3,-1.30
1997-06-01 17:00:00,-1.30,,-3.8,-3.80
1997-05-01 17:00:00,-3.80,,12.4,12.40
1997-04-01 17:00:00,12.40,,1.9,1.90
1997-03-01 17:00:00,1.90,,2.1,2.10
1997-02-01 17:00:00,2.10,,0.6,0.60
1997-01-01 17:00:00,0.60,,2.9,2.90
1996-12-01 17:00:00,2.90,,2.0,2.00
1996-11-01 17:00:00,2.00,,0.4,0.40
1996-10-01 17:00:00,0.40,,-0.8,-0.80
1996-09-01 17:00:00,-0.80,,-0.8,-0.80
1996-08-01 17:00:00,-0.80,,0.3,0.30
1996-07-01 17:00:00,0.30,,0.9,0.90
1996-06-01 17:00:00,0.90,,1.0,1.00
1996-05-01 17:00:00,1.00,,1.2,1.20
1996-04-01 17:00:00,1.20,,3.7,3.70
1996-03-01 17:00:00,3.70,,1.5,1.50
1996-02-01 17:00:00,1.50,,-0.5,-0.50
1996-01-01 17:00:00,-0.50,,0.0,0.00
1995-12-01 17:00:00,0.00,,-0.7,-0.70
1995-11-01 17:00:00,-0.70,,0.4,0.40
1995-10-01 17:00:00,0.40,,-0.7,-0.70
1995-09-01 17:00:00,-0.70,,-1.8,-1.80
1995-08-01 17:00:00,-1.80,,0.4,0.40
1995-07-01 17:00:00,0.40,,0.3,0.30
1995-06-01 17:00:00,0.30,,0.3,0.30
1995-05-01 17:00:00,0.30,,0.9,0.90
1995-04-01 17:00:00,0.90,,1.7,1.70
1995-03-01 17:00:00,1.70,,-0.1,-0.10
1995-02-01 17:00:00,-0.10,,1.8,1.80
1995-01-01 17:00:00,1.80,,2.1,2.10
1994-12-01 17:00:00,2.10,,0.7,0.70
1994-11-01 17:00:00,0.70,,1.2,1.20
1994-10-01 17:00:00,1.20,,3.1,3.10
1994-09-01 17:00:00,3.10,,3.4,3.40
1994-08-01 17:00:00,3.40,,0.5,0.50
1994-07-01 17:00:00,0.50,,0.2,0.20
1994-06-01 17:00:00,0.20,,-1.3,-1.30
1994-05-01 17:00:00,-1.30,,0.1,0.10
1994-04-01 17:00:00,0.10,,-0.8,-0.80
1994-03-01 17:00:00,-0.80,,1.3,1.30
1994-02-01 17:00:00,1.30,,-2.7,-2.70
1994-01-01 17:00:00,-2.70,,-1.0,-1.00
1993-12-01 17:00:00,-1.00,,-0.8,-0.80
1993-11-01 17:00:00,-0.80,,-0.7,-0.70
1993-10-01 17:00:00,-0.70,,-1.5,-1.50
1993-09-01 17:00:00,-1.50,,-3.0,-3.00
1993-08-01 17:00:00,-3.00,,-2.3,-2.30
1993-07-01 17:00:00,-2.30,,-2.8,-2.80
1993-06-01 17:00:00,-2.80,,-2.3,-2.30
1993-05-01 17:00:00,-2.30,,-0.6,-0.60
1993-04-01 17:00:00,-0.60,,-2.7,-2.70
1993-03-01 17:00:00,-2.70,,-2.7,-2.70
1993-02-01 17:00:00,-2.70,,-1.9,-1.90
1993-01-01 17:00:00,-1.90,,-3.4,-3.40
1992-12-01 17:00:00,-3.40,,-1.9,-1.90
1992-11-01 17:00:00,-1.90,,0.1,0.10
1992-10-01 17:00:00,0.10,,-0.6,-0.60
1992-09-01 17:00:00,-0.60,,0.6,0.60
1992-08-01 17:00:00,0.60,,0.4,0.40
1992-07-01 17:00:00,0.40,,0.9,0.90
1992-06-01 17:00:00,0.90,,2.4,2.40
1992-05-01 17:00:00,2.40,,-0.3,-0.30
1992-04-01 17:00:00,-0.30,,4.7,4.70
1992-03-01 17:00:00,4.70,,4.5,4.50
1992-02-01 17:00:00,4.50,,2.5,2.50
1992-01-01 17:00:00,2.50,,4.7,4.70
1991-12-01 17:00:00,4.70,,4.1,4.10
1991-11-01 17:00:00,4.10,,4.9,4.90
1991-10-01 17:00:00,4.90,,6.1,6.10
1991-09-01 17:00:00,6.10,,6.8,6.80
1991-08-01 17:00:00,6.80,,6.9,6.90
1991-07-01 17:00:00,6.90,,7.2,7.20
1991-06-01 17:00:00,7.20,,6.0,6.00
1991-05-01 17:00:00,6.00,,6.2,6.20
1991-04-01 17:00:00,6.20,,5.9,5.90
1991-03-01 17:00:00,5.90,,7.5,7.50
1991-02-01 17:00:00,7.50,,6.3,6.30
1991-01-01 17:00:00,6.30,,7.1,7.10
1990-12-01 17:00:00,7.10,,7.6,7.60
1990-11-01 17:00:00,7.60,,8.1,8.10
1990-10-01 17:00:00,8.10,,8.2,8.20
1990-09-01 17:00:00,8.20,,8.6,8.60
1990-08-01 17:00:00,8.60,,10.6,10.60
1990-07-01 17:00:00,10.60,,8.8,8.80
1990-06-01 17:00:00,8.80,,11.8,11.80
1990-05-01 17:00:00,11.80,,3.9,3.90
1990-04-01 17:00:00,3.90,,10.2,10.20
1990-03-01 17:00:00,10.20,,10.8,10.80
1990-02-01 17:00:00,10.80,,9.8,9.80
1990-01-01 17:00:00,9.80,,8.5,8.50
1989-12-01 17:00:00,8.50,,9.6,9.60
1989-11-01 17:00:00,9.60,,8.0,8.00
1989-10-01 17:00:00,8.00,,7.7,7.70
1989-09-01 17:00:00,7.70,,7.8,7.80
1989-08-01 17:00:00,7.80,,5.8,5.80
1989-07-01 17:00:00,5.80,,6.5,6.50
1989-06-01 17:00:00,6.50,,4.2,4.20
1989-05-01 17:00:00,4.20,,13.1,13.10
1989-04-01 17:00:00,13.10,,2.8,2.80
1989-03-01 17:00:00,2.80,,5.0,5.00
1989-02-01 17:00:00,5.00,,4.9,4.90
1989-01-01 17:00:00,4.90,,5.8,5.80
1988-12-01 17:00:00,5.80,,5.5,5.50
1988-11-01 17:00:00,5.50,,3.5,3.50
1988-10-01 17:00:00,3.50,,3.9,3.90
1988-09-01 17:00:00,3.90,,6.4,6.40
1988-08-01 17:00:00,6.40,,6.3,6.30
1988-07-01 17:00:00,6.30,,4.3,4.30
1988-06-01 17:00:00,4.30,,4.6,4.60
1988-05-01 17:00:00,4.60,,7.1,7.10
1988-04-01 17:00:00,7.10,,9.4,9.40
1988-03-01 17:00:00,9.40,,4.1,4.10
1988-02-01 17:00:00,4.10,,7.4,7.40
1988-01-01 17:00:00,7.40,,7.7,7.70
1987-12-01 17:00:00,7.70,,5.5,5.50
1987-11-01 17:00:00,5.50,,7.9,7.90
1987-10-01 17:00:00,7.90,,4.4,4.40
1987-09-01 17:00:00,4.40,,5.5,5.50
1987-08-01 17:00:00,5.50,,5.6,5.60
1987-07-01 17:00:00,5.60,,6.7,6.70
1987-06-01 17:00:00,6.70,,3.3,3.30
1987-05-01 17:00:00,3.30,,2.3,2.30
1987-04-01 17:00:00,2.30,,2.6,2.60
1987-03-01 17:00:00,2.60,,3.9,3.90
1987-02-01 17:00:00,3.90,,-0.6,-0.60
1987-01-01 17:00:00,-0.60,,0.4,0.40
1986-12-01 17:00:00,0.40,,1.5,1.50
1986-11-01 17:00:00,1.50,,1.5,1.50
1986-10-01 17:00:00,1.50,,3.0,3.00
1986-09-01 17:00:00,3.00,,-0.1,-0.10
1986-08-01 17:00:00,-0.10,,2.6,2.60
1986-07-01 17:00:00,2.60,,1.7,1.70
1986-06-01 17:00:00,1.70,,5.5,5.50
1986-05-01 17:00:00,5.50,,2.9,2.90
1986-04-01 17:00:00,2.90,,3.8,3.80
1986-03-01 17:00:00,3.80,,2.9,2.90
1986-02-01 17:00:00,2.90,,5.2,5.20
1986-01-01 17:00:00,5.20,,3.5,3.50
1985-12-01 17:00:00,3.50,,4.9,4.90
1985-11-01 17:00:00,4.90,,2.9,2.90
1985-10-01 17:00:00,2.90,,4.9,4.90
1985-09-01 17:00:00,4.90,,5.4,5.40
1985-08-01 17:00:00,5.40,,3.7,3.70
1985-07-01 17:00:00,3.70,,2.0,2.00
1985-06-01 17:00:00,2.00,,1.1,1.10
1985-05-01 17:00:00,1.10,,2.6,2.60
1985-04-01 17:00:00,2.60,,0.9,0.90
1985-03-01 17:00:00,0.90,,5.5,5.50
1985-02-01 17:00:00,5.50,,3.9,3.90
1985-01-01 17:00:00,3.90,,0.9,0.90
1984-12-01 17:00:00,0.90,,0.3,0.30
1984-11-01 17:00:00,0.30,,2.8,2.80
1984-10-01 17:00:00,2.80,,0.0,0.00
1984-09-01 17:00:00,0.00,,3.0,3.00
1984-08-01 17:00:00,3.00,,1.8,1.80
1984-07-01 17:00:00,1.80,,3.3,3.30
1984-06-01 17:00:00,3.30,,2.8,2.80
1984-05-01 17:00:00,2.80,,4.9,4.90
1984-04-01 17:00:00,4.90,,3.9,3.90
1984-03-01 17:00:00,3.90,,0.2,0.20
1984-02-01 17:00:00,0.20,,1.7,1.70
1984-01-01 17:00:00,1.70,,2.6,2.60
1983-12-01 17:00:00,2.60,,4.0,4.00
1983-11-01 17:00:00,4.00,,2.8,2.80
1983-10-01 17:00:00,2.80,,5.7,5.70
1983-09-01 17:00:00,5.70,,5.1,5.10
1983-08-01 17:00:00,5.10,,1.2,1.20
1983-07-01 17:00:00,1.20,,2.6,2.60
1983-06-01 17:00:00,2.60,,4.8,4.80
1983-05-01 17:00:00,4.80,,2.2,2.20
1983-04-01 17:00:00,2.20,,3.4,3.40
1983-03-01 17:00:00,3.40,,4.2,4.20
1983-02-01 17:00:00,4.20,,1.8,1.80
1983-01-01 17:00:00,1.80,,4.0,4.00
1982-12-01 17:00:00,4.00,,3.1,3.10
