datetime,UK_RS_MoM_Actual,UK_RS_MoM_Srv_Med,UK_RS_MoM_Revised,UK_RS_MoM_Prior
2018-05-24 16:30:00,1.6,0.8,-1.1,-1.2
2018-04-19 16:30:00,-1.2,-0.5,0.8,0.8
2018-03-22 17:30:00,0.8,0.4,-0.2,0.1
2018-02-16 17:30:00,0.1,0.5,-1.4,-1.5
2018-01-19 17:30:00,-1.5,-0.6,1.0,1.1
2017-12-14 17:30:00,1.1,0.4,0.5,0.3
2017-11-16 17:30:00,0.3,0.1,-0.7,-0.8
2017-10-19 16:30:00,-0.8,-0.1,0.9,1.0
2017-09-20 16:30:00,1.0,0.2,0.6,0.3
2017-08-17 16:30:00,0.3,0.2,0.3,0.6
2017-07-20 16:30:00,0.6,0.4,-1.1,-1.2
2017-06-15 16:30:00,-1.2,-0.8,2.5,2.3
2017-05-18 16:30:00,2.3,1.0,-1.4,-1.8
2017-04-21 16:30:00,-1.8,-0.2,1.7,1.4
2017-03-23 17:30:00,1.4,0.4,-0.5,-0.3
2017-02-17 17:30:00,-0.3,0.9,-2.1,-1.9
2017-01-20 17:30:00,-1.9,-0.1,-0.1,0.2
2016-12-15 17:30:00,0.2,0.2,1.8,1.9
2016-11-17 17:30:00,1.9,0.4,0.1,0.0
2016-10-20 16:30:00,0.0,0.4,-0.2,-0.2
2016-09-15 16:30:00,-0.2,-0.4,1.9,1.4
2016-08-18 16:30:00,1.4,0.2,-0.9,-0.9
2016-07-21 16:30:00,-0.9,-0.6,0.9,0.9
2016-06-16 16:30:00,0.9,0.2,1.9,1.3
2016-05-19 16:30:00,1.3,0.5,-0.5,-1.3
2016-04-21 16:30:00,-1.3,-0.1,-0.5,-0.4
2016-03-24 17:30:00,-0.4,-0.7,2.3,2.3
2016-02-19 17:30:00,2.3,0.8,-1.4,-1.0
2016-01-22 17:30:00,-1.0,-0.3,1.3,1.7
2015-12-17 17:30:00,1.7,0.5,-0.5,-0.6
2015-11-19 17:30:00,-0.6,-0.5,1.7,1.9
2015-10-22 16:30:00,1.9,0.3,-0.4,0.2
2015-09-17 16:30:00,0.2,0.2,0.1,0.1
2015-08-20 16:30:00,0.1,0.4,-0.1,-0.2
2015-07-23 16:30:00,-0.2,0.3,0.3,0.2
2015-06-18 16:30:00,0.2,0.2,0.9,1.2
2015-05-21 16:30:00,1.2,0.4,-0.7,-0.5
2015-04-23 16:30:00,-0.5,0.4,0.6,0.7
2015-03-26 17:30:00,0.7,0.4,0.1,-0.3
2015-02-20 17:30:00,-0.3,-0.2,0.2,0.4
2015-01-23 17:30:00,0.4,-0.6,1.6,1.6
2014-12-18 17:30:00,1.6,0.3,1.0,0.8
2014-11-20 17:30:00,0.8,0.4,-0.4,-0.3
2014-10-23 16:30:00,-0.3,-0.1,0.4,0.4
2014-09-18 16:30:00,0.4,0.4,0.0,0.1
2014-08-21 16:30:00,0.1,0.4,0.2,0.1
2014-07-24 16:30:00,0.1,0.3,-0.5,-0.5
2014-06-19 16:30:00,-0.5,-0.5,1.0,1.3
2014-05-21 16:30:00,1.3,0.5,0.5,0.1
2014-04-25 16:30:00,0.1,-0.4,1.3,1.7
2014-03-27 17:30:00,1.7,0.5,-2.0,-1.5
2014-02-21 17:30:00,-1.5,-1.0,2.5,2.6
2014-01-17 17:30:00,2.6,0.4,0.1,0.3
2013-12-19 17:30:00,0.3,0.3,-0.9,-0.7
2013-11-14 17:30:00,-0.7,0.1,0.6,0.6
2013-10-17 16:30:00,0.6,0.4,-0.8,-0.9
2013-09-19 16:30:00,-0.9,0.4,1.1,1.1
2013-08-15 16:30:00,1.1,0.6,0.2,0.2
2013-07-18 16:30:00,0.2,0.2,2.1,2.1
2013-06-20 16:30:00,2.1,0.8,-1.1,-1.3
2013-05-22 16:30:00,-1.3,0.0,-0.6,-0.7
2013-04-18 16:30:00,-0.7,-0.8,2.1,2.1
2013-03-21 17:30:00,2.1,0.5,-0.7,-0.6
2013-02-15 17:30:00,-0.6,0.4,-0.3,-0.1
2013-01-18 17:30:00,-0.1,0.2,0.0,0.0
2012-12-20 17:30:00,0.0,0.3,-0.7,-0.8
2012-11-15 17:30:00,-0.8,-0.1,0.5,0.6
2012-10-18 16:30:00,0.6,0.4,-0.1,-0.2
2012-09-20 16:30:00,-0.2,-0.4,0.3,0.3
2012-08-16 16:30:00,0.3,-0.1,0.8,0.1
2012-07-19 16:30:00,0.1,0.6,1.5,1.4
2012-06-21 16:30:00,1.4,1.2,-2.4,-2.3
2012-05-23 16:30:00,-2.3,-0.8,2.0,1.8
2012-04-20 16:30:00,1.8,0.5,-0.8,-0.8
2012-03-22 17:30:00,-0.8,-0.5,0.3,0.9
2012-02-17 17:30:00,0.9,-0.2,0.6,0.6
2012-01-20 17:30:00,0.6,0.6,-0.5,-0.4
2011-12-15 17:30:00,-0.4,-0.2,1.0,0.6
2011-11-17 17:30:00,0.6,-0.2,0.5,0.6
2011-10-20 16:30:00,0.6,0.1,-0.4,-0.2
2011-09-15 16:30:00,-0.2,-0.2,0.2,0.2
2011-08-18 16:30:00,0.2,0.3,0.8,0.7
2011-07-21 16:30:00,0.7,0.6,-1.3,-1.4
2011-06-16 16:30:00,-1.4,-0.5,1.1,1.1
2011-05-19 16:30:00,1.1,1.0,0.3,0.2
2011-04-21 16:30:00,0.2,-0.5,-0.9,-0.8
2011-03-24 17:30:00,-0.8,-0.4,1.5,1.9
2011-02-18 17:30:00,1.9,0.5,-1.4,-0.8
2011-01-21 17:30:00,-0.8,-0.1,0.4,0.3
2010-12-16 17:30:00,0.3,0.5,0.7,0.5
2010-11-18 17:30:00,0.5,0.2,-0.5,-0.2
2010-10-21 16:30:00,-0.2,0.4,-0.7,-0.5
2010-09-16 16:30:00,-0.5,0.3,0.8,1.1
2010-08-19 16:30:00,1.1,0.4,0.7,0.7
2010-07-22 16:30:00,0.7,0.5,0.8,0.6
2010-06-17 16:30:00,0.6,0.1,0.0,0.3
2010-05-20 16:30:00,0.3,0.3,0.5,0.4
2010-04-22 16:30:00,0.4,0.7,2.5,2.1
2010-03-25 17:30:00,2.1,0.6,-3.0,-1.8
2010-02-19 17:30:00,-1.8,-0.5,0.3,0.3
2010-01-22 17:30:00,0.3,1.3,-0.3,-0.3
2009-12-17 17:30:00,-0.3,0.5,0.6,0.4
2009-11-19 17:30:00,0.4,0.6,0.4,0.0
2009-10-22 16:30:00,0.0,0.5,0.0,0.0
2009-09-17 16:30:00,0.0,0.3,0.2,0.4
2009-08-20 16:30:00,0.4,0.4,1.3,1.2
2009-07-23 16:30:00,1.2,0.4,-0.9,-0.6
2009-06-18 16:30:00,-0.6,0.3,0.9,0.9
2009-05-21 16:30:00,0.9,0.5,1.1,0.3
2009-04-24 16:30:00,0.3,-0.3,-2.0,-1.9
2009-03-26 17:30:00,-1.9,-0.3,0.7,0.7
2009-02-20 17:30:00,0.7,0.0,1.6,1.6
2009-01-23 17:30:00,1.6,-0.7,0.3,0.3
2008-12-18 17:30:00,0.3,-0.6,-0.1,-0.1
2008-11-20 17:30:00,-0.1,-0.9,-0.4,-0.4
2008-10-23 16:30:00,-0.4,-0.8,1.2,1.2
2008-09-18 16:30:00,1.2,-0.4,0.8,0.8
2008-08-21 16:30:00,0.8,-0.3,-3.9,-3.9
2008-07-24 16:30:00,-3.9,-2.5,3.5,3.5
2008-06-19 16:30:00,3.5,-0.1,-0.2,-0.2
2008-05-22 17:30:00,-0.2,-0.5,-0.4,-0.4
2008-04-24 16:30:00,-0.4,-0.2,1.0,1.0
2008-03-20 17:30:00,1.0,-0.1,0.8,0.8
2008-02-21 17:30:00,0.8,0.3,-0.4,-0.4
2008-01-01 17:00:00,-0.4,,0.5,0.5
2007-12-01 17:00:00,0.5,,-1.0,-1.0
2007-11-01 17:00:00,-1.0,,0.2,0.2
2007-10-01 17:00:00,0.2,,0.3,0.3
2007-09-01 17:00:00,0.3,,0.5,0.5
2007-08-01 17:00:00,0.5,,0.1,0.1
2007-07-01 17:00:00,0.1,,-0.5,-0.5
2007-06-01 17:00:00,-0.5,,0.4,0.4
2007-05-01 17:00:00,0.4,,1.0,1.0
2007-04-01 17:00:00,1.0,,1.0,1.0
2007-03-01 17:00:00,1.0,,-0.3,-0.3
2007-02-01 17:00:00,-0.3,,0.2,0.2
2007-01-01 17:00:00,0.2,,0.2,0.2
2006-12-01 17:00:00,0.2,,0.8,0.8
2006-11-01 17:00:00,0.8,,-0.4,-0.4
2006-10-01 17:00:00,-0.4,,-0.1,-0.1
2006-09-01 17:00:00,-0.1,,0.2,0.2
2006-08-01 17:00:00,0.2,,0.2,0.2
2006-07-01 17:00:00,0.2,,0.7,0.7
2006-06-01 17:00:00,0.7,,0.1,0.1
2006-05-01 17:00:00,0.1,,0.9,0.9
2006-04-01 17:00:00,0.9,,-0.2,-0.2
2006-03-01 17:00:00,-0.2,,1.1,1.1
2006-02-01 17:00:00,1.1,,-0.3,-0.3
2006-01-01 17:00:00,-0.3,,0.9,0.9
2005-12-01 17:00:00,0.9,,0.2,0.2
2005-11-01 17:00:00,0.2,,0.2,0.2
2005-10-01 17:00:00,0.2,,-0.7,-0.7
2005-09-01 17:00:00,-0.7,,0.0,0.0
2005-08-01 17:00:00,0.0,,0.8,0.8
2005-07-01 17:00:00,0.8,,-0.4,-0.4
2005-06-01 17:00:00,-0.4,,0.7,0.7
2005-05-01 17:00:00,0.7,,-0.6,-0.6
2005-04-01 17:00:00,-0.6,,0.0,0.0
2005-03-01 17:00:00,0.0,,0.0,0.0
2005-02-01 17:00:00,0.0,,-0.4,-0.4
2005-01-01 17:00:00,-0.4,,-0.3,-0.3
2004-12-01 17:00:00,-0.3,,0.1,0.1
2004-11-01 17:00:00,0.1,,0.5,0.5
2004-10-01 17:00:00,0.5,,0.5,0.5
2004-09-01 17:00:00,0.5,,0.1,0.1
2004-08-01 17:00:00,0.1,,0.6,0.6
2004-07-01 17:00:00,0.6,,0.4,0.4
2004-06-01 17:00:00,0.4,,0.7,0.7
2004-05-01 17:00:00,0.7,,0.6,0.6
2004-04-01 17:00:00,0.6,,-0.1,-0.1
2004-03-01 17:00:00,-0.1,,1.5,1.5
2004-02-01 17:00:00,1.5,,0.4,0.4
2004-01-01 17:00:00,0.4,,-0.2,-0.2
2003-12-01 17:00:00,-0.2,,0.4,0.4
2003-11-01 17:00:00,0.4,,1.1,1.1
2003-10-01 17:00:00,1.1,,-0.2,-0.2
2003-09-01 17:00:00,-0.2,,0.3,
