datetime,US_IMS_ORD_Actual,US_IMS_ORD_Srv_Med,US_IMS_ORD_Revised,US_IMS_ORD_Prior
2007-02-01 17:00:00,52.2,,51.4,51.4
2007-01-01 17:00:00,51.4,,50.8,50.8
2006-12-01 17:00:00,50.8,,54.1,54.1
2006-11-01 17:00:00,54.1,,54.8,54.8
2006-10-01 17:00:00,54.8,,55.3,55.3
2006-09-01 17:00:00,55.3,,55.8,55.8
2006-08-01 17:00:00,55.8,,55.0,55.0
2006-07-01 17:00:00,55.0,,54.9,54.9
2006-06-01 17:00:00,54.9,,55.7,55.7
2006-05-01 17:00:00,55.7,,57.0,57.0
2006-04-01 17:00:00,57.0,,61.0,61.0
2006-03-01 17:00:00,61.0,,58.9,58.9
2006-02-01 17:00:00,58.9,,60.1,60.1
2006-01-01 17:00:00,60.1,,61.2,61.2
2005-12-01 17:00:00,61.2,,61.4,61.4
2005-11-01 17:00:00,61.4,,60.9,60.9
2005-10-01 17:00:00,60.9,,57.8,57.8
2005-09-01 17:00:00,57.8,,57.2,57.2
2005-08-01 17:00:00,57.2,,55.7,55.7
2005-07-01 17:00:00,55.7,,51.8,51.8
2005-06-01 17:00:00,51.8,,53.4,53.4
2005-05-01 17:00:00,53.4,,57.7,57.7
2005-04-01 17:00:00,57.7,,55.9,55.9
2005-03-01 17:00:00,55.9,,57.9,57.9
2005-02-01 17:00:00,57.9,,66.3,66.3
2005-01-01 17:00:00,66.3,,60.1,60.1
2004-12-01 17:00:00,60.1,,58.4,58.4
2004-11-01 17:00:00,58.4,,57.7,57.7
2004-10-01 17:00:00,57.7,,62.1,62.1
2004-09-01 17:00:00,62.1,,62.8,62.8
2004-08-01 17:00:00,62.8,,60.9,60.9
2004-07-01 17:00:00,60.9,,64.5,64.5
2004-06-01 17:00:00,64.5,,67.1,67.1
2004-05-01 17:00:00,67.1,,64.6,64.6
2004-04-01 17:00:00,64.6,,66.5,66.5
2004-03-01 17:00:00,66.5,,70.6,70.6
2004-02-01 17:00:00,70.6,,71.3,71.3
2004-01-01 17:00:00,71.3,,69.1,69.1
2003-12-01 17:00:00,69.1,,64.4,64.4
2003-11-01 17:00:00,64.4,,60.8,60.8
2003-10-01 17:00:00,60.8,,61.1,61.1
2003-09-01 17:00:00,61.1,,56.8,56.8
2003-08-01 17:00:00,56.8,,53.6,53.6
2003-07-01 17:00:00,53.6,,53.4,53.4
2003-06-01 17:00:00,53.4,,47.2,47.2
2003-05-01 17:00:00,47.2,,47.2,47.2
2003-04-01 17:00:00,47.2,,51.9,51.9
2003-03-01 17:00:00,51.9,,58.2,58.2
2003-02-01 17:00:00,58.2,,58.7,58.7
2003-01-01 17:00:00,58.7,,49.9,49.9
2002-12-01 17:00:00,49.9,,52.1,52.1
2002-11-01 17:00:00,52.1,,52.9,52.9
2002-10-01 17:00:00,52.9,,50.6,50.6
2002-09-01 17:00:00,50.6,,51.9,51.9
2002-08-01 17:00:00,51.9,,61.2,61.2
2002-07-01 17:00:00,61.2,,61.8,61.8
2002-06-01 17:00:00,61.8,,59.9,59.9
2002-05-01 17:00:00,59.9,,63.8,63.8
2002-04-01 17:00:00,63.8,,60.7,60.7
2002-03-01 17:00:00,60.7,,55.2,55.2
2002-02-01 17:00:00,55.2,,51.4,51.4
2002-01-01 17:00:00,51.4,,49.1,49.1
2001-12-01 17:00:00,49.1,,38.9,38.9
2001-11-01 17:00:00,38.9,,51.3,51.3
2001-10-01 17:00:00,51.3,,54.3,54.3
2001-09-01 17:00:00,54.3,,49.2,49.2
2001-08-01 17:00:00,49.2,,47.8,47.8
2001-07-01 17:00:00,47.8,,44.9,44.9
2001-06-01 17:00:00,44.9,,45.5,45.5
2001-05-01 17:00:00,45.5,,41.5,41.5
2001-04-01 17:00:00,41.5,,39.9,39.9
2001-03-01 17:00:00,39.9,,38.4,38.4
2001-02-01 17:00:00,38.4,,42.1,42.1
2001-01-01 17:00:00,42.1,,49.1,49.1
2000-12-01 17:00:00,49.1,,48.4,48.4
2000-11-01 17:00:00,48.4,,48.9,48.9
2000-10-01 17:00:00,48.9,,50.0,50.0
2000-09-01 17:00:00,50.0,,52.0,52.0
2000-08-01 17:00:00,52.0,,50.0,50.0
2000-07-01 17:00:00,50.0,,51.5,51.5
2000-06-01 17:00:00,51.5,,55.4,55.4
2000-05-01 17:00:00,55.4,,56.2,56.2
2000-04-01 17:00:00,56.2,,58.7,58.7
2000-03-01 17:00:00,58.7,,60.4,60.4
2000-02-01 17:00:00,60.4,,60.3,60.3
2000-01-01 17:00:00,60.3,,63.1,63.1
1999-12-01 17:00:00,63.1,,61.3,61.3
1999-11-01 17:00:00,61.3,,63.5,63.5
1999-10-01 17:00:00,63.5,,57.5,57.5
1999-09-01 17:00:00,57.5,,54.6,54.6
1999-08-01 17:00:00,54.6,,59.4,59.4
1999-07-01 17:00:00,59.4,,57.8,57.8
1999-06-01 17:00:00,57.8,,54.0,54.0
1999-05-01 17:00:00,54.0,,55.9,55.9
1999-04-01 17:00:00,55.9,,55.0,55.0
1999-03-01 17:00:00,55.0,,52.4,52.4
1999-02-01 17:00:00,52.4,,49.7,49.7
1999-01-01 17:00:00,49.7,,48.3,48.3
1998-12-01 17:00:00,48.3,,48.0,48.0
1998-11-01 17:00:00,48.0,,49.4,49.4
1998-10-01 17:00:00,49.4,,50.9,50.9
1998-09-01 17:00:00,50.9,,51.8,51.8
1998-08-01 17:00:00,51.8,,50.2,50.2
1998-07-01 17:00:00,50.2,,51.5,51.5
1998-06-01 17:00:00,51.5,,55.3,55.3
1998-05-01 17:00:00,55.3,,54.9,54.9
1998-04-01 17:00:00,54.9,,54.6,54.6
1998-03-01 17:00:00,54.6,,57.1,57.1
1998-02-01 17:00:00,57.1,,57.2,57.2
1998-01-01 17:00:00,57.2,,57.4,57.4
1997-12-01 17:00:00,57.4,,60.9,60.9
1997-11-01 17:00:00,60.9,,55.4,55.4
1997-10-01 17:00:00,55.4,,60.3,60.3
1997-09-01 17:00:00,60.3,,61.3,61.3
1997-08-01 17:00:00,61.3,,59.4,59.4
1997-07-01 17:00:00,59.4,,62.3,62.3
1997-06-01 17:00:00,62.3,,56.6,56.6
1997-05-01 17:00:00,56.6,,58.6,58.6
1997-04-01 17:00:00,58.6,,57.6,57.6
1997-03-01 17:00:00,57.6,,57.0,57.0
1997-02-01 17:00:00,57.0,,61.7,61.7
1997-01-01 17:00:00,61.7,,56.9,56.9
1996-12-01 17:00:00,56.9,,52.9,52.9
1996-11-01 17:00:00,52.9,,54.6,54.6
1996-10-01 17:00:00,54.6,,54.6,54.6
1996-09-01 17:00:00,54.6,,51.9,51.9
1996-08-01 17:00:00,51.9,,59.4,59.4
1996-07-01 17:00:00,59.4,,51.7,51.7
1996-06-01 17:00:00,51.7,,52.3,52.3
1996-05-01 17:00:00,52.3,,49.1,49.1
1996-04-01 17:00:00,49.1,,46.1,46.1
1996-03-01 17:00:00,46.1,,44.1,44.1
1996-02-01 17:00:00,44.1,,45.9,45.9
1996-01-01 17:00:00,45.9,,48.6,48.6
1995-12-01 17:00:00,48.6,,47.5,47.5
1995-11-01 17:00:00,47.5,,49.4,49.4
1995-10-01 17:00:00,49.4,,46.5,46.5
1995-09-01 17:00:00,46.5,,52.7,52.7
1995-08-01 17:00:00,52.7,,43.5,43.5
1995-07-01 17:00:00,43.5,,44.0,44.0
1995-06-01 17:00:00,44.0,,52.2,52.2
1995-05-01 17:00:00,52.2,,51.9,51.9
1995-04-01 17:00:00,51.9,,56.6,56.6
1995-03-01 17:00:00,56.6,,59.7,59.7
1995-02-01 17:00:00,59.7,,58.9,58.9
1995-01-01 17:00:00,58.9,,61.5,61.5
1994-12-01 17:00:00,61.5,,63.0,63.0
1994-11-01 17:00:00,63.0,,62.7,62.7
1994-10-01 17:00:00,62.7,,63.0,63.0
1994-09-01 17:00:00,63.0,,64.2,64.2
1994-08-01 17:00:00,64.2,,65.0,65.0
1994-07-01 17:00:00,65.0,,61.6,61.6
1994-06-01 17:00:00,61.6,,62.7,62.7
1994-05-01 17:00:00,62.7,,62.8,62.8
1994-04-01 17:00:00,62.8,,62.2,62.2
1994-03-01 17:00:00,62.2,,63.5,63.5
1994-02-01 17:00:00,63.5,,62.4,62.4
1994-01-01 17:00:00,62.4,,60.4,60.4
1993-12-01 17:00:00,60.4,,58.9,58.9
1993-11-01 17:00:00,58.9,,52.6,52.6
1993-10-01 17:00:00,52.6,,55.3,55.3
1993-09-01 17:00:00,55.3,,53.8,53.8
1993-08-01 17:00:00,53.8,,51.6,51.6
1993-07-01 17:00:00,51.6,,55.2,55.2
1993-06-01 17:00:00,55.2,,53.0,53.0
1993-05-01 17:00:00,53.0,,58.1,58.1
1993-04-01 17:00:00,58.1,,59.7,55.9
