datetime,EUR_PPI_MoM_Actual,EUR_PPI_MoM_Srv_Med,EUR_PPI_MoM_Revised,EUR_PPI_MoM_Prior
2013-02-04 18:00:00,-0.2,-0.2,-0.2,-0.2
2013-01-07 18:00:00,-0.2,0.1,0.1,0.1
2012-12-04 18:00:00,0.1,-0.1,0.2,0.2
2012-11-06 18:00:00,0.2,0.2,0.9,0.9
2012-10-02 17:00:00,0.9,0.5,0.3,0.4
2012-09-04 17:00:00,0.4,0.2,-0.5,-0.5
2012-08-02 17:00:00,-0.5,-0.4,-0.5,-0.5
2012-07-03 17:00:00,-0.5,-0.3,0.1,0.0
2012-06-04 17:00:00,0.0,0.2,0.5,0.5
2012-05-03 17:00:00,0.5,0.6,0.6,0.6
2012-04-03 17:00:00,0.6,0.5,0.8,0.7
2012-03-02 18:00:00,0.7,0.5,-0.2,-0.2
2012-02-02 18:00:00,-0.2,-0.1,0.2,0.2
2012-01-05 18:00:00,0.2,0.1,0.1,0.1
2011-12-02 18:00:00,0.1,0.2,0.3,0.3
2011-11-04 18:00:00,0.3,0.2,-0.2,-0.1
2011-10-04 17:00:00,-0.1,-0.2,0.5,0.5
2011-09-02 17:00:00,0.5,0.5,0.0,0.0
2011-08-02 17:00:00,0.0,0.1,-0.2,-0.2
2011-07-04 17:00:00,-0.2,-0.1,0.9,0.9
2011-06-06 17:00:00,0.9,0.8,0.8,0.7
2011-05-03 17:00:00,0.7,0.7,0.8,0.8
2011-04-04 17:00:00,0.8,0.9,1.3,1.5
2011-03-02 18:00:00,1.5,1.0,0.8,0.8
2011-02-02 18:00:00,0.8,0.8,0.3,0.3
2011-01-05 18:00:00,0.3,0.3,0.4,0.4
2010-12-02 18:00:00,0.4,0.3,0.3,0.3
2010-11-04 18:00:00,0.3,0.3,0.1,0.1
2010-10-04 17:00:00,0.1,0.2,0.2,0.2
2010-09-02 17:00:00,0.2,0.2,0.3,0.3
2010-08-03 17:00:00,0.3,0.4,0.3,0.3
2010-07-02 17:00:00,0.3,0.3,1.0,0.9
2010-06-02 17:00:00,0.9,0.7,0.6,0.6
2010-05-04 17:00:00,0.6,0.9,0.1,0.1
2010-04-07 17:00:00,0.1,0.2,0.7,0.7
2010-03-02 18:00:00,0.7,0.7,0.1,0.1
2010-02-02 18:00:00,0.1,0.0,0.2,0.1
2010-01-06 18:00:00,0.1,0.2,0.3,0.2
2009-12-02 18:00:00,0.2,0.1,-0.4,-0.4
2009-11-04 18:00:00,-0.4,-0.3,0.5,0.4
2009-10-02 17:00:00,0.4,0.5,-0.7,-0.8
2009-09-02 17:00:00,-0.8,-0.5,0.4,0.3
2009-08-04 17:00:00,0.3,0.2,0.0,-0.2
2009-07-02 17:00:00,-0.2,0.1,-0.9,-1.0
2009-06-03 17:00:00,-1.0,-0.9,-0.7,-0.7
2009-05-05 17:00:00,-0.7,-0.5,-0.5,-0.5
2009-04-06 17:00:00,-0.5,-0.5,-0.8,-0.8
2009-03-12 18:00:00,-0.8,-0.1,-1.5,-1.3
2009-02-03 18:00:00,-1.3,-1.1,-2.0,-1.9
2009-01-07 18:00:00,-1.9,-1.1,-0.8,-0.8
2008-12-02 18:00:00,-0.8,-0.3,-0.2,-0.2
2008-11-04 18:00:00,-0.2,-0.1,-0.5,-0.5
2008-10-02 17:00:00,-0.5,-0.5,1.3,1.1
2008-09-02 17:00:00,1.1,1.3,0.9,0.9
2008-08-04 17:00:00,0.9,0.8,1.2,1.2
2008-07-02 17:00:00,1.2,0.9,0.8,0.8
2008-06-03 18:00:00,0.8,0.8,0.7,0.7
2008-05-06 17:00:00,0.7,0.6,0.6,0.6
2008-04-02 17:00:00,0.6,0.5,0.8,0.8
2008-03-04 18:00:00,0.8,0.8,0.1,0.8
2008-02-01 17:00:00,0.8,,0.1,0.1
2008-01-01 17:00:00,0.1,,0.9,0.9
2007-12-01 17:00:00,0.9,,0.6,0.6
2007-11-01 17:00:00,0.6,,0.4,0.4
2007-10-01 17:00:00,0.4,,0.1,0.1
2007-09-01 17:00:00,0.1,,0.3,0.3
2007-08-01 17:00:00,0.3,,0.1,0.1
2007-07-01 17:00:00,0.1,,0.5,0.5
2007-06-01 17:00:00,0.5,,0.4,0.4
2007-05-01 17:00:00,0.4,,0.3,0.3
2007-04-01 17:00:00,0.3,,0.3,0.3
2007-03-01 17:00:00,0.3,,0.3,0.3
2007-02-01 17:00:00,0.3,,-0.1,-0.1
2007-01-01 17:00:00,-0.1,,-0.1,-0.1
2006-12-01 17:00:00,-0.1,,-0.1,-0.1
2006-11-01 17:00:00,-0.1,,-0.6,-0.6
2006-10-01 17:00:00,-0.6,,0.1,0.1
2006-09-01 17:00:00,0.1,,0.7,0.7
2006-08-01 17:00:00,0.7,,0.2,0.2
2006-07-01 17:00:00,0.2,,0.3,0.3
2006-06-01 17:00:00,0.3,,0.7,0.7
2006-05-01 17:00:00,0.7,,0.5,0.5
2006-04-01 17:00:00,0.5,,0.5,0.5
2006-03-01 17:00:00,0.5,,1.4,1.4
2006-02-01 17:00:00,1.4,,0.2,0.2
2006-01-01 17:00:00,0.2,,-0.3,-0.3
2005-12-01 17:00:00,-0.3,,0.6,0.6
2005-11-01 17:00:00,0.6,,0.5,0.5
2005-10-01 17:00:00,0.5,,0.4,0.4
2005-09-01 17:00:00,0.4,,0.5,0.5
2005-08-01 17:00:00,0.5,,0.6,0.6
2005-07-01 17:00:00,0.6,,-0.1,-0.1
2005-06-01 17:00:00,-0.1,,0.5,0.5
2005-05-01 17:00:00,0.5,,0.7,0.7
2005-04-01 17:00:00,0.7,,0.2,0.2
2005-03-01 17:00:00,0.2,,0.7,0.7
2005-02-01 17:00:00,0.7,,-0.2,-0.2
2005-01-01 17:00:00,-0.2,,-0.2,-0.2
2004-12-01 17:00:00,-0.2,,0.8,0.8
2004-11-01 17:00:00,0.8,,0.2,0.2
2004-10-01 17:00:00,0.2,,0.5,0.5
2004-09-01 17:00:00,0.5,,0.5,0.5
2004-08-01 17:00:00,0.5,,0.0,0.0
2004-07-01 17:00:00,0.0,,0.6,0.6
2004-06-01 17:00:00,0.6,,0.5,0.5
2004-05-01 17:00:00,0.5,,0.6,0.6
2004-04-01 17:00:00,0.6,,0.2,0.2
2004-03-01 17:00:00,0.2,,0.2,0.2
2004-02-01 17:00:00,0.2,,-0.1,-0.1
2004-01-01 17:00:00,-0.1,,0.1,0.1
2003-12-01 17:00:00,0.1,,0.0,0.0
2003-11-01 17:00:00,0.0,,0.0,0.0
2003-10-01 17:00:00,0.0,,0.2,0.2
2003-09-01 17:00:00,0.2,,0.0,0.0
2003-08-01 17:00:00,0.0,,0.0,0.0
2003-07-01 17:00:00,0.0,,-0.4,-0.4
2003-06-01 17:00:00,-0.4,,-0.6,-0.6
2003-05-01 17:00:00,-0.6,,0.2,0.2
2003-04-01 17:00:00,0.2,,0.6,
