datetime,US_IMS_PMI_Actual,US_IMS_PMI_Srv_Med,US_IMS_PMI_Revised,US_IMS_PMI_Prior
2020-07-01 22:00:00,52.6,49.5,43.1,43.1
2020-06-01 22:00:00,43.1,43.0,41.5,41.5
2020-05-01 22:00:00,41.5,36.9,49.1,49.1
2020-04-01 22:00:00,49.1,45.0,50.1,50.1
2020-03-02 23:00:00,50.1,50.5,50.9,50.9
2020-02-03 23:00:00,50.9,48.5,47.8,47.2
2020-01-03 23:00:00,47.2,49.0,48.1,48.1
2019-12-02 23:00:00,48.1,49.2,48.3,48.3
2019-11-01 22:00:00,48.3,48.9,47.8,47.8
2019-10-01 22:00:00,47.8,50.4,49.1,49.1
2019-09-03 22:00:00,49.1,51.1,51.2,51.2
2019-08-01 22:00:00,51.2,52.0,51.7,51.7
2019-07-01 22:00:00,51.7,51.0,52.1,52.1
2019-06-03 22:00:00,52.1,53.0,52.8,52.8
2019-05-01 22:00:00,52.8,55.0,55.3,55.3
2019-04-01 22:00:00,55.3,54.5,54.2,54.2
2019-03-01 23:00:00,54.2,55.5,56.6,56.6
2019-02-01 23:00:00,56.6,54.2,54.3,54.1
2019-01-03 23:00:00,54.1,57.7,59.3,59.3
2018-12-03 23:00:00,59.3,57.6,57.7,57.7
2018-11-01 22:00:00,57.7,59.0,59.8,59.8
2018-10-01 22:00:00,59.8,60.1,61.3,61.3
2018-09-04 22:00:00,61.3,57.6,58.1,58.1
2018-08-01 22:00:00,58.1,59.4,60.2,60.2
2018-07-02 22:00:00,60.2,58.4,58.7,58.7
2018-06-01 22:00:00,58.7,58.2,57.3,57.3
2018-05-01 22:00:00,57.3,58.6,59.3,59.3
2018-04-02 22:00:00,59.3,60.1,60.8,60.8
2018-03-01 23:00:00,60.8,58.7,59.1,59.1
2018-02-01 23:00:00,59.1,58.8,59.7,59.7
2018-01-03 23:00:00,59.7,58.1,58.2,58.2
2017-12-01 23:00:00,58.2,58.4,58.7,58.7
2017-11-01 22:00:00,58.7,59.5,60.8,60.8
2017-10-02 22:00:00,60.8,58.0,58.8,58.8
2017-09-01 22:00:00,58.8,56.5,56.3,56.3
2017-08-01 22:00:00,56.3,56.5,57.8,57.8
2017-07-03 22:00:00,57.8,55.2,54.9,54.9
2017-06-01 22:00:00,54.9,54.5,54.8,54.8
2017-05-01 22:00:00,54.8,56.5,57.2,57.2
2017-04-03 22:00:00,57.2,57.0,57.7,57.7
2017-03-01 23:00:00,57.7,56.0,56.0,56.0
2017-02-01 23:00:00,56.0,55.0,54.5,54.7
2017-01-03 23:00:00,54.7,53.6,53.2,53.2
2016-12-01 23:00:00,53.2,52.2,51.9,51.9
2016-11-01 22:00:00,51.9,51.7,51.5,51.5
2016-10-03 22:00:00,51.5,50.3,49.4,49.4
2016-09-01 22:00:00,49.4,52.0,52.6,52.6
2016-08-01 22:00:00,52.6,53.0,53.2,53.2
2016-07-01 22:00:00,53.2,51.4,51.3,51.3
2016-06-01 22:00:00,51.3,50.4,50.8,50.8
2016-05-02 22:00:00,50.8,51.4,51.8,51.8
2016-04-01 22:00:00,51.8,50.7,49.5,49.5
2016-03-01 23:00:00,49.5,48.5,48.2,48.2
2016-02-01 23:00:00,48.2,48.1,48.0,48.2
2016-01-04 23:00:00,48.2,49.0,48.6,48.6
2015-12-01 23:00:00,48.6,50.5,50.1,50.1
2015-11-02 23:00:00,50.1,50.0,50.2,50.2
2015-10-01 22:00:00,50.2,50.6,51.1,51.1
2015-09-01 22:00:00,51.1,52.6,52.7,52.7
2015-08-03 21:25:00,52.7,53.5,53.5,53.5
2015-07-01 22:00:00,53.5,53.1,52.8,52.8
2015-06-01 22:00:00,52.8,52.0,51.5,51.5
2015-05-01 22:00:00,51.5,52.0,51.5,51.5
2015-04-01 22:00:00,51.5,52.5,52.9,52.9
2015-03-02 23:00:00,52.9,53.0,53.5,53.5
2015-02-02 23:00:00,53.5,54.5,55.5,55.5
2015-01-02 23:00:00,55.5,57.6,58.7,58.7
2014-12-01 23:00:00,58.7,57.9,59.0,59.0
2014-11-03 23:00:00,59.0,56.2,56.6,56.6
2014-10-01 22:00:00,56.6,58.5,59.0,59.0
2014-09-02 22:00:00,59.0,56.8,57.1,57.1
2014-08-01 22:00:00,57.1,56.0,55.3,55.3
2014-07-01 22:00:00,55.3,55.8,55.4,55.4
2014-06-02 22:00:00,55.4,55.5,54.9,54.9
2014-05-01 22:00:00,54.9,54.3,53.7,53.7
2014-04-01 22:00:00,53.7,54.0,53.2,53.2
2014-03-03 23:00:00,53.2,52.0,51.3,51.3
2014-02-03 23:00:00,51.3,56.4,57.0,57.0
2014-01-02 23:00:00,57.0,57.0,57.3,57.3
2013-12-02 23:00:00,57.3,55.0,56.4,56.4
2013-11-01 22:00:00,56.4,55.0,56.2,56.2
2013-10-01 22:00:00,56.2,55.0,55.7,55.7
2013-09-03 22:00:00,55.7,54.0,55.4,55.4
2013-08-01 22:00:00,55.4,52.0,50.9,50.9
2013-07-01 22:00:00,50.9,50.5,49.0,49.0
2013-06-03 22:00:00,49.0,50.7,50.7,50.7
2013-05-01 22:00:00,50.7,50.9,51.3,51.3
2013-04-01 22:00:00,51.3,54.2,54.2,54.2
2013-03-01 23:00:00,54.2,52.5,53.1,53.1
2013-02-01 23:00:00,53.1,50.6,50.2,50.7
2013-01-02 23:00:00,50.7,50.3,49.5,49.5
2012-12-03 23:00:00,49.5,51.3,51.7,51.7
2012-11-01 22:00:00,51.7,51.2,51.5,51.5
2012-10-01 22:00:00,51.5,49.7,49.6,49.6
2012-09-04 22:00:00,49.6,50.0,49.8,49.8
2012-08-01 22:00:00,49.8,50.2,49.7,49.7
2012-07-02 22:00:00,49.7,52.0,53.5,53.5
2012-06-01 22:00:00,53.5,53.9,54.8,54.8
2012-05-01 22:00:00,54.8,53.0,53.4,53.4
2012-04-02 22:00:00,53.4,53.0,52.4,52.4
2012-03-01 23:00:00,52.4,54.6,54.1,54.1
2012-02-01 23:00:00,54.1,54.5,53.9,53.9
2012-01-03 23:00:00,53.9,53.2,52.7,52.7
2011-12-01 23:00:00,52.7,51.5,50.8,50.8
2011-11-01 22:00:00,50.8,52.1,51.6,51.6
2011-10-03 22:00:00,51.6,50.5,50.6,50.6
2011-09-01 22:00:00,50.6,48.5,50.9,50.9
2011-08-01 22:00:00,50.9,54.8,55.3,55.3
2011-07-01 22:00:00,55.3,51.5,53.5,53.5
2011-06-01 22:00:00,53.5,57.5,60.4,60.4
2011-05-02 22:00:00,60.4,59.7,61.2,61.2
2011-04-01 22:00:00,61.2,61.0,61.4,61.4
2011-03-01 23:00:00,61.4,60.9,60.8,60.8
2011-02-01 23:00:00,60.8,58.2,58.5,57.0
2011-01-03 23:00:00,57.0,57.3,56.6,56.6
2010-12-01 23:00:00,56.6,56.4,56.9,56.9
2010-11-01 22:00:00,56.9,53.6,54.4,54.4
2010-10-01 22:00:00,54.4,54.5,56.3,56.3
2010-09-01 22:00:00,56.3,53.0,55.5,55.5
2010-08-02 22:00:00,55.5,54.2,56.2,56.2
2010-07-01 22:00:00,56.2,59.0,59.7,59.7
2010-06-01 22:00:00,59.7,58.9,60.4,60.4
2010-05-03 22:00:00,60.4,60.0,59.6,59.6
2010-04-01 22:00:00,59.6,57.0,56.5,56.5
2010-03-01 23:00:00,56.5,58.0,58.4,58.4
2010-02-01 23:00:00,58.4,55.2,54.9,55.9
2010-01-04 23:00:00,55.9,54.0,53.6,53.6
2009-12-01 23:00:00,53.6,54.8,55.7,55.7
2009-11-02 23:00:00,55.7,53.0,52.6,52.6
2009-10-01 22:00:00,52.6,54.5,52.9,52.9
2009-09-01 22:00:00,52.9,50.5,48.9,48.9
2009-08-03 22:00:00,48.9,46.5,44.8,44.8
2009-07-01 22:00:00,44.8,44.0,42.8,42.8
2009-06-01 22:00:00,42.8,42.0,40.1,40.1
2009-05-01 22:00:00,40.1,38.0,36.3,36.3
2009-04-01 22:00:00,36.3,35.7,35.8,35.8
2009-03-02 23:00:00,35.8,34.0,35.6,35.6
2009-02-02 23:00:00,35.6,32.4,32.9,32.4
2009-01-02 23:00:00,32.4,35.5,36.2,36.2
2008-12-01 23:00:00,36.2,37.2,38.9,38.9
2008-11-03 23:00:00,38.9,41.6,43.5,43.5
2008-10-01 22:00:00,43.5,49.5,49.9,49.9
2008-09-02 22:00:00,49.9,49.9,50.0,50.0
2008-08-01 22:00:00,50.0,49.4,50.2,50.2
2008-07-01 22:00:00,50.2,48.6,49.6,49.6
2008-06-02 23:00:00,49.6,48.6,48.6,48.6
2008-05-01 22:00:00,48.6,48.0,48.6,48.6
2008-04-01 22:00:00,48.6,47.5,48.3,48.3
2008-03-03 23:00:00,48.3,48.0,50.7,50.30
2008-02-01 17:00:00,50.30,,49.0,49.00
2008-01-01 17:00:00,49.00,,50.5,50.50
2007-12-01 17:00:00,50.50,,51.1,51.10
2007-11-01 17:00:00,51.10,,51.0,51.00
2007-10-01 17:00:00,51.00,,50.9,50.90
2007-09-01 17:00:00,50.90,,52.4,52.40
2007-08-01 17:00:00,52.40,,52.6,52.60
2007-07-01 17:00:00,52.60,,52.5,52.50
2007-06-01 17:00:00,52.50,,52.6,52.60
2007-05-01 17:00:00,52.60,,50.7,50.70
2007-04-01 17:00:00,50.70,,51.9,51.90
2007-03-01 17:00:00,51.90,,49.5,49.50
2007-02-01 17:00:00,49.50,,51.4,51.40
2007-01-01 17:00:00,51.40,,50.3,50.30
2006-12-01 17:00:00,50.30,,51.4,51.40
2006-11-01 17:00:00,51.40,,52.2,52.20
2006-10-01 17:00:00,52.20,,53.7,53.7
2006-09-01 17:00:00,53.7,,53.0,53.0
2006-08-01 17:00:00,53.0,,52.0,52.0
2006-07-01 17:00:00,52.0,,53.7,53.7
2006-06-01 17:00:00,53.7,,55.2,55.2
2006-05-01 17:00:00,55.2,,54.3,54.3
2006-04-01 17:00:00,54.3,,55.8,55.8
2006-03-01 17:00:00,55.8,,55.0,55.0
2006-02-01 17:00:00,55.0,,55.1,55.1
2006-01-01 17:00:00,55.1,,56.7,56.7
2005-12-01 17:00:00,56.7,,57.2,57.2
2005-11-01 17:00:00,57.2,,56.8,56.8
2005-10-01 17:00:00,56.8,,52.4,52.4
2005-09-01 17:00:00,52.4,,52.8,52.8
2005-08-01 17:00:00,52.8,,52.4,52.4
2005-07-01 17:00:00,52.4,,50.8,50.8
2005-06-01 17:00:00,50.8,,52.2,52.2
2005-05-01 17:00:00,52.2,,55.2,55.2
2005-04-01 17:00:00,55.2,,55.5,55.5
2005-03-01 17:00:00,55.5,,56.8,56.8
2005-02-01 17:00:00,56.8,,57.2,57.2
2005-01-01 17:00:00,57.2,,56.2,56.2
2004-12-01 17:00:00,56.2,,56.3,56.3
2004-11-01 17:00:00,56.3,,57.4,57.4
2004-10-01 17:00:00,57.4,,58.5,58.5
2004-09-01 17:00:00,58.5,,59.9,59.9
2004-08-01 17:00:00,59.9,,60.5,60.5
2004-07-01 17:00:00,60.5,,61.4,61.4
2004-06-01 17:00:00,61.4,,60.6,60.6
2004-05-01 17:00:00,60.6,,60.6,60.6
2004-04-01 17:00:00,60.6,,59.9,59.9
2004-03-01 17:00:00,59.9,,60.8,60.8
2004-02-01 17:00:00,60.8,,60.1,60.1
2004-01-01 17:00:00,60.1,,58.4,58.4
2003-12-01 17:00:00,58.4,,55.2,55.2
2003-11-01 17:00:00,55.2,,52.4,52.4
2003-10-01 17:00:00,52.4,,53.2,53.2
2003-09-01 17:00:00,53.2,,51.0,51.0
2003-08-01 17:00:00,51.0,,49.0,49.0
2003-07-01 17:00:00,49.0,,49.0,49.0
2003-06-01 17:00:00,49.0,,46.1,46.1
2003-05-01 17:00:00,46.1,,46.3,46.3
2003-04-01 17:00:00,46.3,,48.8,48.8
2003-03-01 17:00:00,48.8,,51.3,51.3
2003-02-01 17:00:00,51.3,,51.6,51.6
2003-01-01 17:00:00,51.6,,48.5,48.5
2002-12-01 17:00:00,48.5,,49.0,49.0
2002-11-01 17:00:00,49.0,,50.5,50.5
2002-10-01 17:00:00,50.5,,50.3,50.3
2002-09-01 17:00:00,50.3,,50.2,50.2
2002-08-01 17:00:00,50.2,,53.6,53.6
2002-07-01 17:00:00,53.6,,53.1,53.1
2002-06-01 17:00:00,53.1,,52.4,52.4
2002-05-01 17:00:00,52.4,,52.4,52.4
2002-04-01 17:00:00,52.4,,50.7,50.7
2002-03-01 17:00:00,50.7,,47.5,47.5
2002-02-01 17:00:00,47.5,,45.3,45.3
2002-01-01 17:00:00,45.3,,44.1,44.1
2001-12-01 17:00:00,44.1,,40.8,40.8
2001-11-01 17:00:00,40.8,,46.2,46.2
2001-10-01 17:00:00,46.2,,46.3,46.3
2001-09-01 17:00:00,46.3,,43.5,43.5
2001-08-01 17:00:00,43.5,,43.2,43.2
2001-07-01 17:00:00,43.2,,41.3,41.3
2001-06-01 17:00:00,41.3,,42.7,42.7
2001-05-01 17:00:00,42.7,,43.1,43.1
2001-04-01 17:00:00,43.1,,42.1,42.1
2001-03-01 17:00:00,42.1,,42.3,42.3
2001-02-01 17:00:00,42.3,,43.9,43.9
2001-01-01 17:00:00,43.9,,48.5,48.5
2000-12-01 17:00:00,48.5,,48.7,48.7
2000-11-01 17:00:00,48.7,,49.7,49.7
2000-10-01 17:00:00,49.7,,49.9,49.9
2000-09-01 17:00:00,49.9,,52.5,52.5
2000-08-01 17:00:00,52.5,,51.4,51.4
2000-07-01 17:00:00,51.4,,53.2,53.2
2000-06-01 17:00:00,53.2,,54.7,54.7
2000-05-01 17:00:00,54.7,,54.9,54.9
2000-04-01 17:00:00,54.9,,55.8,55.8
2000-03-01 17:00:00,55.8,,56.7,56.7
2000-02-01 17:00:00,56.7,,57.8,57.8
2000-01-01 17:00:00,57.8,,58.1,58.1
1999-12-01 17:00:00,58.1,,57.2,57.2
1999-11-01 17:00:00,57.2,,57.0,57.0
1999-10-01 17:00:00,57.0,,54.8,54.8
1999-09-01 17:00:00,54.8,,53.6,53.6
1999-08-01 17:00:00,53.6,,55.8,55.8
1999-07-01 17:00:00,55.8,,54.3,54.3
1999-06-01 17:00:00,54.3,,52.3,52.3
1999-05-01 17:00:00,52.3,,52.4,52.4
1999-04-01 17:00:00,52.4,,51.7,51.7
1999-03-01 17:00:00,51.7,,50.6,50.6
1999-02-01 17:00:00,50.6,,46.8,46.8
1999-01-01 17:00:00,46.8,,48.2,48.2
1998-12-01 17:00:00,48.2,,48.7,48.7
1998-11-01 17:00:00,48.7,,48.7,48.7
1998-10-01 17:00:00,48.7,,49.3,49.3
1998-09-01 17:00:00,49.3,,49.2,49.2
1998-08-01 17:00:00,49.2,,48.9,48.9
1998-07-01 17:00:00,48.9,,50.9,50.9
1998-06-01 17:00:00,50.9,,52.2,52.2
1998-05-01 17:00:00,52.2,,52.9,52.9
1998-04-01 17:00:00,52.9,,52.9,52.9
1998-03-01 17:00:00,52.9,,53.8,53.8
1998-02-01 17:00:00,53.8,,54.5,54.5
1998-01-01 17:00:00,54.5,,55.7,55.7
1997-12-01 17:00:00,55.7,,56.4,56.4
1997-11-01 17:00:00,56.4,,53.9,53.9
1997-10-01 17:00:00,53.9,,56.3,56.3
1997-09-01 17:00:00,56.3,,57.7,57.7
1997-08-01 17:00:00,57.7,,54.9,54.9
1997-07-01 17:00:00,54.9,,56.1,56.1
1997-06-01 17:00:00,56.1,,53.7,53.7
1997-05-01 17:00:00,53.7,,53.8,53.8
1997-04-01 17:00:00,53.8,,53.1,53.1
1997-03-01 17:00:00,53.1,,53.8,53.8
1997-02-01 17:00:00,53.8,,55.2,55.2
1997-01-01 17:00:00,55.2,,53.0,53.0
1996-12-01 17:00:00,53.0,,50.5,50.5
1996-11-01 17:00:00,50.5,,51.1,51.1
1996-10-01 17:00:00,51.1,,51.6,51.6
1996-09-01 17:00:00,51.6,,49.7,49.7
1996-08-01 17:00:00,49.7,,53.6,53.6
1996-07-01 17:00:00,53.6,,49.1,49.1
1996-06-01 17:00:00,49.1,,49.3,49.3
1996-05-01 17:00:00,49.3,,46.9,46.9
1996-04-01 17:00:00,46.9,,45.9,45.9
1996-03-01 17:00:00,45.9,,45.5,45.5
1996-02-01 17:00:00,45.5,,46.2,46.2
1996-01-01 17:00:00,46.2,,45.9,45.9
1995-12-01 17:00:00,45.9,,46.7,46.7
1995-11-01 17:00:00,46.7,,48.1,48.1
1995-10-01 17:00:00,48.1,,47.1,47.1
1995-09-01 17:00:00,47.1,,50.7,50.7
1995-08-01 17:00:00,50.7,,45.9,45.9
1995-07-01 17:00:00,45.9,,46.7,46.7
1995-06-01 17:00:00,46.7,,51.5,51.5
1995-05-01 17:00:00,51.5,,52.1,52.1
1995-04-01 17:00:00,52.1,,55.1,55.1
1995-03-01 17:00:00,55.1,,57.4,57.4
1995-02-01 17:00:00,57.4,,56.1,56.1
1995-01-01 17:00:00,56.1,,59.2,59.2
1994-12-01 17:00:00,59.2,,59.4,59.4
1994-11-01 17:00:00,59.4,,59.0,59.0
1994-10-01 17:00:00,59.0,,58.0,58.0
1994-09-01 17:00:00,58.0,,58.5,58.5
1994-08-01 17:00:00,58.5,,58.8,58.8
1994-07-01 17:00:00,58.8,,58.2,58.2
1994-06-01 17:00:00,58.2,,57.4,57.4
1994-05-01 17:00:00,57.4,,56.9,56.9
1994-04-01 17:00:00,56.9,,56.5,56.5
1994-03-01 17:00:00,56.5,,56.0,56.0
1994-02-01 17:00:00,56.0,,55.6,55.6
1994-01-01 17:00:00,55.6,,53.8,53.8
1993-12-01 17:00:00,53.8,,53.4,53.4
1993-11-01 17:00:00,53.4,,50.8,50.8
1993-10-01 17:00:00,50.8,,50.7,50.7
1993-09-01 17:00:00,50.7,,50.2,50.2
1993-08-01 17:00:00,50.2,,49.6,49.6
1993-07-01 17:00:00,49.6,,51.2,51.2
1993-06-01 17:00:00,51.2,,50.2,50.2
1993-05-01 17:00:00,50.2,,53.5,53.5
1993-04-01 17:00:00,53.5,,55.2,
