datetime,US_IPI_Actual,US_IPI_Srv_Med,US_IPI_Revised,US_IPI_Prior
2020-05-14 20:30:00,-2.6,-3.1,-2.4,-2.3
2020-04-14 20:30:00,-2.3,-3.2,-0.7,-0.5
2020-03-13 20:30:00,-0.5,-0.8,0.1,0.0
2020-02-14 21:30:00,0.0,-0.2,0.2,0.3
2020-01-16 21:30:00,0.3,0.3,0.1,0.2
2019-12-13 21:30:00,0.2,0.2,-0.5,-0.5
2019-11-15 21:30:00,-0.5,-0.2,0.1,0.2
2019-10-11 20:30:00,0.2,-0.1,-0.2,-0.5
2019-09-13 20:30:00,-0.5,-0.4,0.1,0.2
2019-08-14 20:30:00,0.2,0.0,-1.1,-0.9
2019-07-16 20:30:00,-0.9,-0.7,-0.3,-0.3
2019-06-13 20:30:00,-0.3,-0.2,0.1,0.2
2019-05-14 20:30:00,0.2,0.7,0.6,0.6
2019-04-12 20:30:00,0.6,0.4,1.0,0.6
2019-03-14 20:30:00,0.6,0.3,0.1,-0.5
2019-02-15 21:30:00,-0.5,-0.1,-1.0,-1.0
2019-01-16 21:30:00,-1.0,-1.3,-1.9,-1.6
2018-12-13 21:30:00,-1.6,-1.0,0.5,0.5
2018-11-15 21:30:00,0.5,0.1,0.2,0.5
2018-10-12 20:30:00,0.5,0.2,-0.4,-0.6
2018-09-14 20:30:00,-0.6,-0.2,-0.1,0.0
2018-08-14 20:30:00,0.0,0.1,-0.1,-0.4
2018-07-13 20:30:00,-0.4,0.1,0.9,0.6
2018-06-14 20:30:00,0.6,0.5,0.6,0.3
2018-05-11 20:30:00,0.3,0.5,-0.2,0.0
2018-04-12 20:30:00,0.0,0.2,0.3,0.4
2018-03-15 20:30:00,0.4,0.3,0.8,1.0
2018-02-16 21:30:00,1.0,0.6,0.2,0.1
2018-01-10 21:30:00,0.1,0.4,0.8,0.7
2017-12-14 21:30:00,0.7,0.8,0.1,0.2
2017-11-16 21:30:00,0.2,0.4,0.8,0.7
2017-10-17 20:30:00,0.7,0.5,0.6,0.6
2017-09-19 20:30:00,0.6,0.4,-0.1,0.1
2017-08-15 20:30:00,0.1,0.1,-0.2,-0.2
2017-07-18 20:30:00,-0.2,-0.2,-0.1,-0.3
2017-06-15 20:30:00,-0.3,-0.1,0.2,0.5
2017-05-10 20:30:00,0.5,0.2,0.1,-0.2
2017-04-12 20:30:00,-0.2,-0.2,0.4,0.2
2017-03-09 21:30:00,0.2,0.1,0.6,0.4
2017-02-10 21:30:00,0.4,0.2,0.5,0.4
2017-01-12 21:30:00,0.4,0.7,-0.2,-0.3
2016-12-13 21:30:00,-0.3,-0.4,0.4,0.5
2016-11-15 21:30:00,0.5,0.4,0.2,0.1
2016-10-13 20:30:00,0.1,0.2,-0.2,-0.2
2016-09-14 20:30:00,-0.2,-0.1,0.1,0.1
2016-08-11 20:30:00,0.1,-0.3,0.6,0.2
2016-07-13 20:30:00,0.2,0.5,1.4,1.4
2016-06-14 20:30:00,1.4,0.7,0.7,0.3
2016-05-12 20:30:00,0.3,0.5,0.3,0.2
2016-04-12 20:30:00,0.2,1.0,-0.4,-0.3
2016-03-11 21:30:00,-0.3,-0.6,-1.0,-1.1
2016-02-12 21:30:00,-1.1,-1.4,-1.1,-1.2
2016-01-14 21:30:00,-1.2,-1.4,-0.5,-0.4
2015-12-10 21:30:00,-0.4,-0.7,-0.3,-0.5
2015-11-10 21:30:00,-0.5,-0.1,-0.6,-0.1
2015-10-09 20:30:00,-0.1,-0.5,-1.6,-1.8
2015-09-10 20:30:00,-1.8,-1.6,-0.9,-0.9
2015-08-13 20:30:00,-0.9,-1.1,-0.1,-0.1
2015-07-14 20:30:00,-0.1,0.1,1.2,1.3
2015-06-11 20:30:00,1.3,0.8,-0.2,-0.3
2015-05-13 20:30:00,-0.3,0.3,-0.2,-0.3
2015-04-10 20:30:00,-0.3,-0.3,0.2,0.4
2015-03-12 20:30:00,0.4,0.2,-3.1,-2.8
2015-02-13 21:30:00,-2.8,-3.2,-1.9,-2.5
2015-01-14 21:30:00,-2.5,-2.9,-1.8,-1.5
2014-12-11 21:30:00,-1.5,-1.7,-1.2,-1.3
2014-11-14 21:30:00,-1.3,-1.2,-0.6,-0.5
2014-10-10 20:30:00,-0.5,-0.7,-0.6,-0.9
2014-09-12 20:30:00,-0.9,-0.9,-0.3,-0.2
2014-08-14 20:30:00,-0.2,-0.3,0.1,0.1
2014-07-15 20:30:00,0.1,0.3,0.3,0.1
2014-06-12 20:30:00,0.1,0.2,-0.5,-0.4
2014-05-13 20:30:00,-0.4,0.3,0.4,0.6
2014-04-10 20:30:00,0.6,0.2,0.9,0.9
2014-03-13 20:30:00,0.9,0.4,0.4,0.1
2014-02-14 21:30:00,0.1,-0.1,0.2,0.0
2014-01-14 21:30:00,0.0,0.3,-0.9,-0.6
2013-12-12 21:30:00,-0.6,-0.6,-0.6,-0.7
2013-11-15 21:30:00,-0.7,-0.4,0.1,0.2
2013-10-23 20:30:00,0.2,0.2,0.2,0.0
2013-09-12 20:30:00,0.0,0.4,0.1,0.2
2013-08-13 20:30:00,0.2,0.6,-0.4,-0.2
2013-07-11 20:30:00,-0.2,0.1,-0.7,-0.6
2013-06-13 20:30:00,-0.6,0.1,-0.7,-0.5
2013-05-14 20:30:00,-0.5,-0.5,-0.2,-0.5
2013-04-11 20:30:00,-0.5,-0.5,0.6,1.1
2013-03-13 20:30:00,1.1,0.5,0.6,0.6
2013-02-13 21:30:00,0.6,0.7,-0.5,-0.1
2013-01-11 21:30:00,-0.1,0.1,-0.8,-0.9
2012-12-12 21:30:00,-0.9,-0.5,0.3,0.5
2012-11-09 21:30:00,0.5,0.0,1.1,1.1
2012-10-11 20:30:00,1.1,0.7,1.1,0.7
2012-09-12 20:30:00,0.7,1.4,-0.7,-0.6
2012-08-10 20:30:00,-0.6,0.1,-2.4,-2.7
2012-07-12 20:30:00,-2.7,-1.7,-1.2,-1.0
2012-06-12 20:30:00,-1.0,-1.0,0.0,-0.5
2012-05-10 20:30:00,-0.5,-0.2,1.5,1.3
2012-04-11 20:30:00,1.3,0.8,-0.1,0.4
2012-03-14 20:30:00,0.4,0.6,0.0,0.3
2012-02-14 21:30:00,0.3,0.3,-0.1,-0.1
2012-01-13 21:30:00,-0.1,-0.1,0.8,0.7
2011-12-14 21:30:00,0.7,1.1,-0.5,-0.6
2011-11-10 21:30:00,-0.6,0.2,0.0,0.3
2011-10-14 20:30:00,0.3,-0.4,-0.2,-0.4
2011-09-13 20:30:00,-0.4,-0.8,0.3,0.3
2011-08-16 20:30:00,0.3,-0.1,-0.6,-0.5
2011-07-13 20:30:00,-0.5,-0.6,0.1,0.2
2011-06-10 20:30:00,0.2,-0.7,2.1,2.2
2011-05-10 20:30:00,2.2,1.8,2.6,2.7
2011-04-12 20:30:00,2.7,2.2,1.4,1.4
2011-03-15 20:30:00,1.4,0.9,1.3,1.5
2011-02-15 21:30:00,1.5,0.9,1.2,1.1
2011-01-12 21:30:00,1.1,1.2,1.5,1.3
2010-12-10 21:30:00,1.3,0.8,1.0,0.9
2010-11-10 21:30:00,0.9,1.2,-0.1,-0.3
2010-10-13 20:30:00,-0.3,-0.1,0.6,0.6
2010-09-15 20:30:00,0.6,0.2,0.1,0.2
2010-08-12 20:30:00,0.2,0.4,-1.3,-1.3
2010-07-14 20:30:00,-1.3,-0.1,-0.5,-0.6
2010-06-15 20:30:00,-0.6,-1.1,1.1,0.9
2010-05-13 20:30:00,0.9,0.8,0.5,0.7
2010-04-13 20:30:00,0.7,0.9,-0.2,-0.3
2010-03-16 20:30:00,-0.3,-0.1,1.3,1.4
2010-02-17 21:30:00,1.4,0.9,0.2,0.0
2010-01-14 21:30:00,0.0,-0.1,1.6,1.7
2009-12-11 21:30:00,1.7,1.1,0.8,0.7
2009-11-13 21:30:00,0.7,1.1,0.2,0.1
2009-10-14 20:30:00,0.1,0.2,1.6,2.0
2009-09-11 20:30:00,2.0,1.0,-0.7,-0.7
2009-08-13 20:30:00,-0.7,-0.2,2.6,3.2
2009-07-10 20:30:00,3.2,1.8,1.4,1.3
2009-06-12 20:30:00,1.3,1.5,1.6,1.6
2009-05-13 20:30:00,1.6,0.4,0.2,0.5
2009-04-09 20:30:00,0.5,0.9,-0.2,-0.2
2009-03-13 20:30:00,-0.2,-0.7,-1.1,-1.1
2009-02-18 21:30:00,-1.1,-1.2,-4.2,-4.2
2009-01-14 21:30:00,-4.2,-5.4,-6.7,-6.7
2008-12-11 21:30:00,-6.7,-4.9,-4.7,-4.7
2008-11-14 21:30:00,-4.7,-4.3,-3.0,-3.0
2008-10-10 20:30:00,-3.0,-2.6,-3.7,-3.7
2008-09-11 20:30:00,-3.7,-1.5,1.7,1.7
2008-08-13 20:30:00,1.7,1.0,2.6,2.6
2008-07-11 20:30:00,2.6,2.0,2.3,2.3
2008-06-12 20:30:00,2.3,2.5,1.8,1.8
2008-05-13 21:30:00,1.8,1.7,2.8,2.8
2008-04-11 20:30:00,2.8,1.9,0.2,0.2
2008-03-13 20:30:00,0.2,0.8,1.7,1.5
2008-02-01 17:00:00,1.5,,-0.2,-0.2
2008-01-01 17:00:00,-0.2,,3.2,3.2
2007-12-01 17:00:00,3.2,,1.5,1.5
2007-11-01 17:00:00,1.5,,0.6,0.6
2007-10-01 17:00:00,0.6,,-0.3,-0.3
2007-09-01 17:00:00,-0.3,,1.2,1.2
2007-08-01 17:00:00,1.2,,1.2,1.2
2007-07-01 17:00:00,1.2,,0.9,0.9
2007-06-01 17:00:00,0.9,,1.4,1.4
2007-05-01 17:00:00,1.4,,1.6,1.6
2007-04-01 17:00:00,1.6,,0.4,0.4
2007-03-01 17:00:00,0.4,,-1.2,-1.2
2007-02-01 17:00:00,-1.2,,1.1,1.1
2007-01-01 17:00:00,1.1,,0.4,0.4
2006-12-01 17:00:00,0.4,,-2.5,-2.5
2006-11-01 17:00:00,-2.5,,-2.2,-2.2
2006-10-01 17:00:00,-2.2,,0.5,0.5
2006-09-01 17:00:00,0.5,,0.8,0.8
2006-08-01 17:00:00,0.8,,0.1,0.1
2006-07-01 17:00:00,0.1,,1.8,1.8
2006-06-01 17:00:00,1.8,,2.1,2.1
2006-05-01 17:00:00,2.1,,-0.1,-0.1
2006-04-01 17:00:00,-0.1,,-0.8,-0.8
2006-03-01 17:00:00,-0.8,,1.2,1.2
2006-02-01 17:00:00,1.2,,0.0,0.0
2006-01-01 17:00:00,0.0,,-1.9,-1.9
2005-12-01 17:00:00,-1.9,,0.1,0.1
2005-11-01 17:00:00,0.1,,2.1,2.1
2005-10-01 17:00:00,2.1,,1.4,1.4
2005-09-01 17:00:00,1.4,,1.2,1.2
2005-08-01 17:00:00,1.2,,1.2,1.2
2005-07-01 17:00:00,1.2,,-0.8,-0.8
2005-06-01 17:00:00,-0.8,,0.9,0.9
2005-05-01 17:00:00,0.9,,2.2,2.2
2005-04-01 17:00:00,2.2,,0.9,0.9
2005-03-01 17:00:00,0.9,,0.6,0.6
2005-02-01 17:00:00,0.6,,-1.4,-1.4
2005-01-01 17:00:00,-1.4,,-0.3,-0.3
2004-12-01 17:00:00,-0.3,,1.6,1.6
2004-11-01 17:00:00,1.6,,0.5,0.5
2004-10-01 17:00:00,0.5,,1.5,1.5
2004-09-01 17:00:00,1.5,,0.4,0.4
2004-08-01 17:00:00,0.4,,-0.2,-0.2
2004-07-01 17:00:00,-0.2,,1.5,1.5
2004-06-01 17:00:00,1.5,,0.2,0.2
2004-05-01 17:00:00,0.2,,0.8,0.8
2004-04-01 17:00:00,0.8,,0.4,0.4
2004-03-01 17:00:00,0.4,,1.5,1.5
2004-02-01 17:00:00,1.5,,0.7,0.7
2004-01-01 17:00:00,0.7,,0.5,0.5
2003-12-01 17:00:00,0.5,,0.1,0.1
2003-11-01 17:00:00,0.1,,-0.5,-0.5
2003-10-01 17:00:00,-0.5,,0.0,0.0
2003-09-01 17:00:00,0.0,,0.5,0.5
2003-08-01 17:00:00,0.5,,0.9,0.9
2003-07-01 17:00:00,0.9,,-0.7,-0.7
2003-06-01 17:00:00,-0.7,,-3.1,-3.1
2003-05-01 17:00:00,-3.1,,0.6,0.6
2003-04-01 17:00:00,0.6,,1.7,1.7
2003-03-01 17:00:00,1.7,,1.8,1.8
2003-02-01 17:00:00,1.8,,0.6,0.6
2003-01-01 17:00:00,0.6,,-0.9,-0.9
2002-12-01 17:00:00,-0.9,,0.0,0.0
2002-11-01 17:00:00,0.0,,0.7,0.7
2002-10-01 17:00:00,0.7,,0.3,0.3
2002-09-01 17:00:00,0.3,,0.4,0.4
2002-08-01 17:00:00,0.4,,-0.3,-0.3
2002-07-01 17:00:00,-0.3,,0.1,0.1
2002-06-01 17:00:00,0.1,,1.6,1.6
2002-05-01 17:00:00,1.6,,1.3,1.3
2002-04-01 17:00:00,1.3,,0.0,0.0
2002-03-01 17:00:00,0.0,,0.2,0.2
2002-02-01 17:00:00,0.2,,-1.0,-1.0
2002-01-01 17:00:00,-1.0,,-1.5,-1.5
2001-12-01 17:00:00,-1.5,,-2.3,-2.3
2001-11-01 17:00:00,-2.3,,-0.1,-0.1
2001-10-01 17:00:00,-0.1,,-0.1,-0.1
2001-09-01 17:00:00,-0.1,,-1.5,-1.5
2001-08-01 17:00:00,-1.5,,-0.4,-0.4
2001-07-01 17:00:00,-0.4,,0.2,0.2
2001-06-01 17:00:00,0.2,,-0.5,-0.5
2001-05-01 17:00:00,-0.5,,-1.6,-1.6
2001-04-01 17:00:00,-1.6,,-0.6,-0.6
2001-03-01 17:00:00,-0.6,,0.0,0.0
2001-02-01 17:00:00,0.0,,-0.7,-0.7
2001-01-01 17:00:00,-0.7,,0.0,0.0
2000-12-01 17:00:00,0.0,,-0.4,-0.4
2000-11-01 17:00:00,-0.4,,1.2,1.2
2000-10-01 17:00:00,1.2,,0.2,0.2
2000-09-01 17:00:00,0.2,,0.0,0.0
2000-08-01 17:00:00,0.0,,1.4,1.4
2000-07-01 17:00:00,1.4,,0.3,0.3
2000-06-01 17:00:00,0.3,,-1.4,-1.4
2000-05-01 17:00:00,-1.4,,0.2,0.2
2000-04-01 17:00:00,0.2,,1.9,1.9
2000-03-01 17:00:00,1.9,,0.4,0.4
2000-02-01 17:00:00,0.4,,0.7,0.7
2000-01-01 17:00:00,0.7,,0.7,0.7
1999-12-01 17:00:00,0.7,,0.2,0.2
1999-11-01 17:00:00,0.2,,1.1,1.1
1999-10-01 17:00:00,1.1,,1.1,1.1
1999-09-01 17:00:00,1.1,,1.0,1.0
1999-08-01 17:00:00,1.0,,-0.2,-0.2
1999-07-01 17:00:00,-0.2,,0.8,0.8
1999-06-01 17:00:00,0.8,,1.0,1.0
1999-05-01 17:00:00,1.0,,0.3,0.3
1999-04-01 17:00:00,0.3,,-0.1,-0.1
1999-03-01 17:00:00,-0.1,,0.3,0.3
1999-02-01 17:00:00,0.3,,-0.9,-0.9
1999-01-01 17:00:00,-0.9,,-0.5,-0.5
1998-12-01 17:00:00,-0.5,,0.1,0.1
1998-11-01 17:00:00,0.1,,0.2,0.2
1998-10-01 17:00:00,0.2,,-0.3,-0.3
1998-09-01 17:00:00,-0.3,,-0.9,-0.9
1998-08-01 17:00:00,-0.9,,-0.6,-0.6
1998-07-01 17:00:00,-0.6,,-0.2,-0.2
1998-06-01 17:00:00,-0.2,,-0.2,-0.2
1998-05-01 17:00:00,-0.2,,-0.9,-0.9
1998-04-01 17:00:00,-0.9,,-0.9,-0.9
1998-03-01 17:00:00,-0.9,,-1.3,-1.3
1998-02-01 17:00:00,-1.3,,-0.9,-0.9
1998-01-01 17:00:00,-0.9,,-0.5,-0.5
1997-12-01 17:00:00,-0.5,,0.2,0.2
1997-11-01 17:00:00,0.2,,0.0,0.0
1997-10-01 17:00:00,0.0,,-0.1,-0.1
1997-09-01 17:00:00,-0.1,,-0.3,-0.3
1997-08-01 17:00:00,-0.3,,0.0,0.0
1997-07-01 17:00:00,0.0,,0.0,0.0
1997-06-01 17:00:00,0.0,,-1.2,-1.2
1997-05-01 17:00:00,-1.2,,-1.2,-1.2
1997-04-01 17:00:00,-1.2,,-1.0,-1.0
1997-03-01 17:00:00,-1.0,,-0.3,-0.3
1997-02-01 17:00:00,-0.3,,0.3,0.3
1997-01-01 17:00:00,0.3,,-0.2,-0.2
1996-12-01 17:00:00,-0.2,,0.6,0.6
1996-11-01 17:00:00,0.6,,1.1,1.1
1996-10-01 17:00:00,1.1,,0.1,0.1
1996-09-01 17:00:00,0.1,,-0.1,-0.1
1996-08-01 17:00:00,-0.1,,-1.1,-1.1
1996-07-01 17:00:00,-1.1,,-0.7,-0.7
1996-06-01 17:00:00,-0.7,,0.9,0.9
1996-05-01 17:00:00,0.9,,0.6,0.6
1996-04-01 17:00:00,0.6,,-0.2,-0.2
1996-03-01 17:00:00,-0.2,,0.2,0.2
1996-02-01 17:00:00,0.2,,0.4,0.4
1996-01-01 17:00:00,0.4,,0.2,0.2
1995-12-01 17:00:00,0.2,,-0.4,-0.4
1995-11-01 17:00:00,-0.4,,0.0,0.0
1995-10-01 17:00:00,0.0,,-0.3,-0.3
1995-09-01 17:00:00,-0.3,,-0.3,-0.3
1995-08-01 17:00:00,-0.3,,-0.4,-0.4
1995-07-01 17:00:00,-0.4,,0.9,0.9
1995-06-01 17:00:00,0.9,,1.0,1.0
1995-05-01 17:00:00,1.0,,0.5,0.5
1995-04-01 17:00:00,0.5,,0.7,0.7
1995-03-01 17:00:00,0.7,,0.3,0.3
1995-02-01 17:00:00,0.3,,-0.1,-0.1
1995-01-01 17:00:00,-0.1,,0.6,0.6
1994-12-01 17:00:00,0.6,,0.7,0.7
1994-11-01 17:00:00,0.7,,-0.4,-0.4
1994-10-01 17:00:00,-0.4,,0.4,0.4
1994-09-01 17:00:00,0.4,,0.9,0.9
1994-08-01 17:00:00,0.9,,0.8,0.8
1994-07-01 17:00:00,0.8,,0.8,0.8
1994-06-01 17:00:00,0.8,,0.7,0.7
1994-05-01 17:00:00,0.7,,0.1,0.1
1994-04-01 17:00:00,0.1,,0.4,0.4
1994-03-01 17:00:00,0.4,,0.0,0.0
1994-02-01 17:00:00,0.0,,-1.0,-1.0
1994-01-01 17:00:00,-1.0,,-0.5,-0.5
1993-12-01 17:00:00,-0.5,,0.4,0.4
1993-11-01 17:00:00,0.4,,0.1,0.1
1993-10-01 17:00:00,0.1,,-0.1,-0.1
1993-09-01 17:00:00,-0.1,,-0.5,-0.5
1993-08-01 17:00:00,-0.5,,-0.5,-0.5
1993-07-01 17:00:00,-0.5,,0.3,0.3
1993-06-01 17:00:00,0.3,,0.5,0.5
1993-05-01 17:00:00,0.5,,0.5,0.5
1993-04-01 17:00:00,0.5,,-0.1,-0.1
1993-03-01 17:00:00,-0.1,,-0.1,
