datetime,US_EREURC_WoW_Actual,US_EREURC_WoW_Srv_Med,US_EREURC_WoW_Revised,US_EREURC_WoW_Prior
2023-01-11 23:30:00,4.5,6.1,-12.4,-12.4
2023-01-06 00:00:00,-12.4,-2.9,1.1,1.1
2022-12-30 00:00:00,1.1,-0.1,-1.3,-1.3
2022-12-21 23:30:00,-1.3,-0.1,-3.3,-3.3
2022-12-14 23:30:00,-3.3,-0.1,0.3,0.3
2022-12-07 23:30:00,0.3,0.1,1.3,1.3
2022-11-30 23:30:00,1.3,0.2,1.0,1.0
2022-11-23 23:30:00,1.0,0.3,0.8,0.8
2022-11-16 23:30:00,0.8,0.5,1.5,1.5
2022-11-09 23:30:00,1.5,0.5,1.7,1.7
2022-11-02 22:30:00,1.7,0.5,-0.6,-0.6
2022-10-26 22:30:00,-0.6,0.3,-0.4,-0.4
2022-10-19 22:30:00,-0.4,-0.3,-1.4,-1.4
2022-10-13 23:00:00,-1.4,-0.8,0.7,0.7
2022-10-05 22:30:00,0.7,-0.4,-3.0,-3.0
2022-09-28 22:30:00,-3.0,-0.8,2.1,2.1
2022-09-21 22:30:00,2.1,-0.1,0.6,0.6
2022-09-14 22:30:00,0.6,-0.8,-1.8,-1.8
2022-09-08 23:00:00,-1.8,-0.8,-1.1,-1.1
2022-08-31 22:30:00,-1.1,-0.4,0.3,0.3
2022-08-24 22:30:00,0.3,-0.1,-0.8,-0.8
2022-08-17 22:30:00,-0.8,-0.2,3.3,3.3
2022-08-10 22:30:00,3.3,0.7,-1.2,-1.2
2022-08-03 22:30:00,-1.2,0.6,-1.5,-1.5
2022-07-27 22:30:00,-1.5,0.4,-1.2,-1.2
2022-07-20 22:30:00,-1.2,0.2,0.4,0.4
2022-07-13 22:30:00,0.4,0.3,-0.5,-0.5
2022-07-07 23:00:00,-0.5,0.1,1.0,1.0
2022-06-29 22:30:00,1.0,,-0.5,-0.5
2022-06-15 22:30:00,-0.5,0.5,1.6,1.6
2022-06-08 22:30:00,1.6,0.5,-0.6,-0.6
2022-06-02 23:00:00,-0.6,0.4,1.4,1.4
2022-05-25 22:30:00,1.4,0.6,1.8,1.8
2022-05-18 22:30:00,1.8,0.6,1.6,1.6
2022-05-11 22:30:00,1.6,0.3,-1.9,-1.9
2022-05-04 22:30:00,-1.9,0.5,-0.7,-0.7
2022-04-27 22:30:00,-0.7,-0.2,1.0,1.0
2022-04-20 22:30:00,1.0,0.8,-2.5,-2.5
2022-04-13 22:30:00,-2.5,0.1,0.4,0.4
2022-04-06 22:30:00,0.4,0.3,1.0,1.0
2022-03-30 22:30:00,1.0,0.3,0.7,0.7
2022-03-23 22:30:00,0.7,-0.1,1.1,1.1
2022-03-16 22:30:00,1.1,0.3,1.6,1.6
2022-03-09 23:30:00,1.6,0.2,0.3,0.3
2022-03-02 23:30:00,0.3,-0.4,2.1,2.1
2022-02-25 00:00:00,2.1,-0.3,-2.9,-2.9
2022-02-16 23:30:00,-2.9,-0.4,1.5,1.5
2022-02-09 23:30:00,1.5,-0.3,-1.0,-1.0
2022-02-02 23:30:00,-1.0,-0.1,-0.4,-0.4
2022-01-26 23:30:00,-0.4,-0.4,-0.3,-0.3
2022-01-21 00:00:00,-0.3,-0.4,-1.4,-1.4
2022-01-12 23:30:00,-1.4,-0.1,0.1,0.1
2022-01-05 23:30:00,0.1,0.4,0.1,0.1
2021-12-29 23:30:00,0.1,0.1,-0.2,-0.2
2021-12-22 23:30:00,-0.2,0.6,1.0,0.0
2021-12-15 23:30:00,0.0,0.5,1.0,1.0
2021-12-08 23:30:00,1.0,0.4,0.2,0.2
2021-12-01 23:30:00,0.2,0.6,0.7,0.7
2021-11-24 23:30:00,0.7,0.6,1.2,1.2
2021-11-17 23:30:00,1.2,0.7,0.4,0.4
2021-11-10 23:30:00,0.4,0.8,1.2,1.2
2021-11-03 22:30:00,1.2,0.6,0.4,0.4
2021-10-27 22:30:00,0.4,0.3,-2.0,-2.0
2021-10-20 22:30:00,-2.0,-0.1,-2.9,-2.9
2021-10-14 23:00:00,-2.9,-1.0,1.5,1.5
2021-10-06 22:30:00,1.5,0.6,0.6,0.6
2021-09-29 22:30:00,0.6,0.5,5.4,5.4
2021-09-22 22:30:00,5.4,2.4,0.2,0.2
2021-09-15 22:30:00,0.2,1.7,-9.4,-9.4
2021-09-09 23:00:00,-9.4,-4.9,-1.1,-1.1
2021-09-01 22:30:00,-1.1,-0.3,0.2,0.2
2021-08-25 22:30:00,0.2,,0.4,0.4
2021-08-18 22:30:00,0.4,0.2,0.5,0.5
2021-08-11 22:30:00,0.5,0.4,0.2,0.2
2021-08-04 22:30:00,0.2,0.6,-0.3,-0.3
2021-07-28 22:30:00,-0.3,0.4,-0.4,-0.4
2021-07-21 22:30:00,-0.4,0.4,-0.4,-0.4
2021-07-14 22:30:00,-0.4,0.5,-0.7,-0.7
2021-07-08 23:00:00,-0.7,0.4,0.7,0.7
2021-06-30 22:30:00,0.7,0.5,-0.4,-0.4
2021-06-23 22:30:00,-0.4,0.5,1.3,1.3
2021-06-16 22:30:00,1.3,0.3,2.6,2.6
2021-06-09 22:30:00,2.6,0.6,1.7,1.7
2021-06-03 23:00:00,1.7,0.8,0.7,0.7
2021-05-26 22:30:00,0.7,0.2,0.2,0.2
2021-05-19 22:30:00,0.2,-0.7,-0.4,-0.4
2021-05-12 22:30:00,-0.4,0.5,1.1,1.1
2021-05-05 22:30:00,1.1,0.5,0.4,0.4
2021-04-28 22:30:00,0.4,0.6,1.0,0.0
2021-04-21 22:30:00,0.0,0.7,1.0,1.0
2021-04-14 22:30:00,1.0,0.4,0.1,0.1
2021-04-07 22:30:00,0.1,1.1,2.3,2.3
2021-03-31 22:30:00,2.3,1.8,5.5,5.5
2021-03-24 22:30:00,5.5,3.2,7.1,7.1
2021-03-17 22:30:00,7.1,5.4,13.0,13.0
2021-03-10 23:30:00,13.0,6.0,-12.6,-12.6
2021-03-03 23:30:00,-12.6,4.6,-14.5,-14.5
2021-02-24 23:30:00,-14.5,-6.7,0.1,0.1
2021-02-19 00:00:00,0.1,-0.2,0.7,0.7
2021-02-10 23:30:00,0.7,-0.1,0.6,0.6
2021-02-03 23:30:00,0.6,0.1,-0.8,-0.8
2021-01-27 23:30:00,-0.8,-0.5,0.5,0.5
2021-01-23 00:00:00,0.5,-0.4,1.3,1.3
2021-01-13 23:30:00,1.3,0.2,1.3,1.3
2021-01-06 23:30:00,1.3,0.6,1.4,1.4
2020-12-30 23:30:00,1.4,0.6,-1.1,-1.1
2020-12-23 23:30:00,-1.1,0.5,-0.8,-0.8
2020-12-16 23:30:00,-0.8,0.7,1.7,1.7
2020-12-09 23:30:00,1.7,0.6,-0.5,-0.5
2020-12-02 23:30:00,-0.5,0.9,1.3,1.3
2020-11-25 23:30:00,1.3,0.9,2.9,2.9
2020-11-18 23:30:00,2.9,0.6,-0.8,-0.8
2020-11-13 00:00:00,-0.8,0.5,0.7,0.7
2020-11-04 23:30:00,0.7,-0.4,1.7,1.7
2020-10-28 22:30:00,1.7,0.8,-2.2,-2.2
2020-10-21 22:30:00,-2.2,0.7,-2.0,-2.0
2020-10-15 23:00:00,-2.0,-0.9,1.3,1.3
2020-10-07 22:30:00,1.3,-0.1,1.0,1.0
2020-09-30 22:30:00,1.0,-0.3,-1.0,-1.0
2020-09-23 22:30:00,-1.0,0.5,4.0,4.0
2020-09-16 22:30:00,4.0,1.8,-4.9,-4.9
2020-09-10 23:00:00,-4.9,1.2,-5.3,-5.3
2020-09-02 22:30:00,-5.3,-5.2,1.1,1.1
2020-08-26 22:30:00,1.1,-0.1,-0.1,-0.1
2020-08-19 22:30:00,-0.1,0.3,1.4,1.4
2020-08-12 22:30:00,1.4,-0.1,0.1,0.1
2020-08-05 22:30:00,0.1,0.3,1.6,1.6
2020-07-29 22:30:00,1.6,0.5,-0.2,-0.2
2020-07-22 22:30:00,-0.2,,0.6,0.6
2020-07-15 22:30:00,0.6,,2.0,2.0
2020-07-08 22:30:00,2.0,0.6,0.9,0.9
2020-07-01 22:30:00,0.9,0.6,0.8,0.8
2020-06-24 22:30:00,0.8,0.8,0.7,0.7
2020-06-17 22:30:00,0.7,0.8,1.3,1.3
2020-06-10 22:30:00,1.3,0.8,0.5,0.5
2020-06-03 22:30:00,0.5,1.0,1.9,1.9
2020-05-28 23:00:00,1.9,1.0,1.5,1.5
2020-05-20 22:30:00,1.5,1.1,-2.6,-2.6
2020-05-13 22:30:00,-2.6,0.8,0.9,0.9
2020-05-06 22:30:00,0.9,0.6,2.0,2.0
2020-04-29 22:30:00,2.0,-0.7,-1.5,-1.5
2020-04-22 22:30:00,-1.5,-2.2,-6.5,-6.5
2020-04-15 22:30:00,-6.5,-2.0,-6.7,-6.7
2020-04-08 22:30:00,-6.7,-2.3,-5.0,-5.0
2020-04-01 22:30:00,-5.0,-1.2,0.9,0.9
2020-03-25 22:30:00,0.9,-0.3,0.0,0.0
2020-03-18 22:30:00,0.0,0.1,-0.5,-0.5
2020-03-11 22:30:00,-0.5,0.3,-1.0,-1.0
2020-03-04 23:30:00,-1.0,-0.5,-1.5,-1.5
2020-02-26 23:30:00,-1.5,-0.3,1.4,1.4
2020-02-21 00:00:00,1.4,-0.7,0.6,0.6
2020-02-12 23:30:00,0.6,-0.4,0.2,0.2
2020-02-05 23:30:00,0.2,0.1,-3.3,-3.3
2020-01-29 23:30:00,-3.3,-0.9,-1.7,-1.7
2020-01-24 00:00:00,-1.7,-0.6,-0.8,-0.8
2020-01-15 23:30:00,-0.8,-0.1,-1.5,-1.5
2020-01-08 23:30:00,-1.5,0.2,1.2,1.2
2020-01-04 00:00:00,1.2,0.7,2.7,2.7
2019-12-28 00:00:00,2.7,0.5,-1.3,0.0
2019-12-18 23:30:00,0.0,0.8,-1.3,-1.3
2019-12-11 23:30:00,-1.3,0.8,2.6,2.6
2019-12-04 23:30:00,2.6,0.9,-0.2,-0.2
2019-11-27 23:30:00,-0.2,1.0,1.7,1.7
2019-11-20 23:30:00,1.7,1.0,1.8,1.8
2019-11-15 00:00:00,1.8,1.1,-1.7,-1.7
2019-11-06 23:30:00,-1.7,0.8,2.5,2.5
2019-10-30 22:30:00,2.5,0.7,2.1,2.1
2019-10-23 22:30:00,2.1,1.0,-2.6,-2.6
2019-10-17 23:00:00,-2.6,0.4,-0.7,-0.7
2019-10-09 22:30:00,-0.7,0.3,-3.4,-3.4
2019-10-02 22:30:00,-3.4,-0.5,-1.4,-1.4
2019-09-25 22:30:00,-1.4,-0.6,-3.9,-3.9
2019-09-18 22:30:00,-3.9,-0.5,0.3,
