datetime,UK_PPI_MoM_Actual,UK_PPI_MoM_Srv_Med,UK_PPI_MoM_Revised,UK_PPI_MoM_Prior
2020-08-19 14:00:00,1.8,1.1,2.4,2.4
2020-07-15 14:00:00,2.4,3.0,0.9,0.3
2020-06-17 14:00:00,0.3,4.5,-5.5,-5.1
2020-05-20 14:00:00,-5.1,-4.0,-3.8,-3.6
2020-04-22 14:00:00,-3.6,-3.9,-0.9,-1.2
2020-03-25 15:00:00,-1.2,-2.0,0.3,0.9
2020-02-19 17:30:00,0.9,-0.4,0.9,0.1
2020-01-15 17:30:00,0.1,0.3,0.5,-0.3
2019-12-18 17:30:00,-0.3,0.1,-1.1,-1.3
2019-11-13 17:30:00,-1.3,-1.2,-0.9,-0.8
2019-10-16 16:30:00,-0.8,0.2,-0.3,-0.1
2019-09-18 16:30:00,-0.1,-0.4,0.6,0.9
2019-08-14 16:30:00,0.9,0.6,-0.8,-1.4
2019-07-17 16:30:00,-1.4,-1.0,0.0,0.0
2019-06-19 16:30:00,0.0,0.2,1.9,1.1
2019-05-22 16:30:00,1.1,1.3,-0.8,-0.2
2019-04-17 16:30:00,-0.2,0.3,1.0,0.6
2019-03-20 17:30:00,0.6,0.6,-0.3,-0.1
2019-02-13 17:30:00,-0.1,0.2,-1.6,-1.0
2019-01-16 17:30:00,-1.0,-1.7,-2.6,-2.3
2018-12-19 17:30:00,-2.3,-2.9,0.8,0.8
2018-11-14 17:30:00,0.8,0.6,1.4,1.3
2018-10-17 16:30:00,1.3,0.9,1.2,0.5
2018-09-19 16:30:00,0.5,0.4,0.5,0.5
2018-08-15 16:30:00,0.5,0.1,0.3,0.2
2018-07-18 16:30:00,0.2,0.4,3.3,2.8
2018-06-13 16:30:00,2.8,1.8,0.6,0.4
2018-05-23 16:30:00,0.4,1.0,0.1,-0.1
2018-04-18 16:30:00,-0.1,0.3,-0.4,-1.1
2018-03-20 17:30:00,-1.1,-0.9,0.4,0.7
2018-02-13 17:30:00,0.7,0.7,0.6,0.1
2018-01-16 17:30:00,0.1,0.4,1.6,1.8
2017-12-12 17:30:00,1.8,1.5,1.0,1.0
2017-11-14 17:30:00,1.0,1.1,0.2,0.4
2017-10-17 16:30:00,0.4,1.3,2.3,1.6
2017-09-12 16:30:00,1.6,1.3,-0.2,0.0
2017-08-15 16:30:00,0.0,0.5,-0.3,-0.4
2017-07-18 16:30:00,-0.4,-1.0,-0.7,-1.3
2017-06-13 16:30:00,-1.3,-0.5,-0.3,0.1
2017-05-16 16:30:00,0.1,0.1,0.4,0.4
2017-04-11 16:30:00,0.4,-0.2,-0.1,-0.4
2017-03-21 17:30:00,-0.4,0.1,1.6,1.7
2017-02-14 17:30:00,1.7,1.0,2.7,1.8
2017-01-17 17:30:00,1.8,2.5,-0.6,-1.1
2016-12-13 17:30:00,-1.1,-1.9,4.5,4.6
2016-11-15 17:30:00,4.6,2.1,0.1,0.0
2016-10-18 16:30:00,0.0,0.4,0.2,0.2
2016-09-13 16:30:00,0.2,0.6,3.1,3.3
2016-08-16 16:30:00,3.3,1.0,1.7,1.8
2016-07-19 16:30:00,1.8,1.3,2.2,2.6
2016-06-14 16:30:00,2.6,0.9,0.9,0.9
2016-05-17 16:30:00,0.9,1.1,2.2,2.0
2016-04-12 16:30:00,2.0,2.6,0.1,0.1
2016-03-22 17:30:00,0.1,0.5,-1.1,-0.7
2016-02-16 17:30:00,-0.7,-1.4,-0.3,-0.8
2016-01-19 17:30:00,-0.8,-1.7,-1.6,-1.6
2015-12-15 17:30:00,-1.6,-1.1,0.2,0.2
2015-11-17 17:30:00,0.2,0.2,0.5,0.6
2015-10-13 16:30:00,0.6,0.4,-3.0,-2.4
2015-09-15 16:30:00,-2.4,-2.4,-1.2,-0.9
2015-08-18 16:30:00,-0.9,-1.9,-1.8,-1.3
2015-07-14 16:30:00,-1.3,-0.7,-1.1,-0.9
2015-06-16 16:30:00,-0.9,0.4,1.4,0.4
2015-05-19 16:30:00,0.4,0.8,0.4,0.3
2015-04-14 16:30:00,0.3,-0.5,0.1,0.2
2015-03-24 17:30:00,0.2,1.6,-3.6,-3.7
2015-02-17 17:30:00,-3.7,-2.5,-3.3,-2.4
2015-01-13 17:30:00,-2.4,-0.3,-0.7,-1.0
2014-12-16 17:30:00,-1.0,-1.4,-1.5,-1.5
2014-11-18 17:30:00,-1.5,-1.4,-0.6,-0.6
2014-10-14 16:30:00,-0.6,-0.4,-1.2,-0.6
2014-09-16 16:30:00,-0.6,-0.4,-1.7,-1.6
2014-08-19 16:30:00,-1.6,-1.1,-0.9,-0.8
2014-07-15 16:30:00,-0.8,0.1,0.3,-0.9
2014-06-17 16:30:00,-0.9,0.2,-0.9,-1.1
2014-05-20 16:30:00,-1.1,-0.2,-0.4,-0.6
2014-04-15 16:30:00,-0.6,-0.2,-0.5,-0.4
2014-03-25 17:30:00,-0.4,0.3,-0.9,-0.9
2014-02-18 17:30:00,-0.9,-0.5,0.2,0.1
2014-01-14 17:30:00,0.1,-0.2,-0.7,-0.7
2013-12-17 17:30:00,-0.7,-0.5,-0.4,-0.6
2013-11-12 17:30:00,-0.6,-0.7,-1.0,-1.2
2013-10-15 16:30:00,-1.2,-0.4,-0.7,-0.2
2013-09-17 16:30:00,-0.2,0.2,1.2,1.1
2013-08-13 16:30:00,1.1,1.4,0.2,0.2
2013-07-16 16:30:00,0.2,-0.2,-0.6,-0.3
2013-06-18 16:30:00,-0.3,0.1,-2.3,-2.3
2013-05-21 16:30:00,-2.3,-1.1,0.1,-0.1
2013-04-16 16:30:00,-0.1,-0.2,2.8,3.2
2013-03-19 17:30:00,3.2,1.9,1.3,1.3
2013-02-12 17:30:00,1.3,0.9,0.0,-0.2
2013-01-15 17:30:00,-0.2,-0.1,0.1,0.1
2012-12-18 17:30:00,0.1,-0.1,0.1,0.4
2012-11-13 17:30:00,0.4,-0.1,-0.1,-0.2
2012-10-16 16:30:00,-0.2,-0.1,1.9,2.0
2012-09-07 16:30:00,2.0,1.7,0.4,1.3
2012-08-10 16:30:00,1.3,1.5,-2.9,-2.2
2012-07-06 16:30:00,-2.2,-2.1,-2.6,-2.5
2012-06-08 16:30:00,-2.5,-1.3,-1.4,-1.5
2012-05-11 16:30:00,-1.5,-1.0,1.7,1.9
2012-04-13 16:30:00,1.9,1.2,2.5,2.1
2012-03-09 17:30:00,2.1,0.7,0.1,0.5
2012-02-10 17:30:00,0.5,0.4,-0.6,-0.6
2012-01-13 17:30:00,-0.6,0.1,0.3,0.1
2011-12-09 17:30:00,0.1,-0.1,-0.8,-0.8
2011-11-11 17:30:00,-0.8,-0.3,1.8,1.7
2011-10-07 16:30:00,1.7,1.2,-1.8,-1.9
2011-09-09 16:30:00,-1.9,-1.5,0.5,0.6
2011-08-05 16:30:00,0.6,0.7,0.2,0.4
2011-07-08 16:30:00,0.4,-0.1,-1.7,-2.0
2011-06-10 16:30:00,-2.0,-1.0,2.8,2.6
2011-05-06 16:30:00,2.6,1.6,3.7,3.7
2011-04-08 16:30:00,3.7,2.7,1.4,1.1
2011-03-11 17:30:00,1.1,1.5,2.3,1.7
2011-02-11 17:30:00,1.7,1.3,3.9,3.4
2011-01-14 17:30:00,3.4,1.7,0.9,0.9
2010-12-13 17:30:00,0.9,0.5,2.2,2.1
2010-11-05 17:30:00,2.1,0.9,0.4,0.7
2010-10-08 16:30:00,0.7,0.3,0.1,-0.5
2010-09-10 16:30:00,-0.5,0.2,-1.0,-1.0
2010-08-06 16:30:00,-1.0,-0.4,-0.3,-0.2
2010-07-09 16:30:00,-0.2,0.2,-0.2,-0.6
2010-06-11 16:30:00,-0.6,-0.1,0.5,0.6
2010-05-07 16:30:00,0.6,1.0,3.8,3.6
2010-04-09 16:30:00,3.6,1.2,0.6,0.1
2010-03-05 17:30:00,0.1,0.1,1.3,2.0
2010-02-05 17:30:00,2.0,0.9,0.6,0.1
2010-01-08 17:30:00,0.1,-0.2,0.1,0.1
2009-12-11 17:30:00,0.1,0.6,2.9,2.6
2009-11-06 17:30:00,2.6,1.6,-0.2,0.5
2009-10-09 16:30:00,0.5,-0.9,2.0,2.2
2009-09-11 16:30:00,2.2,0.6,-1.1,-1.4
2009-08-07 16:30:00,-1.4,-0.8,0.5,1.5
2009-07-10 16:30:00,1.5,0.8,1.1,0.4
2009-06-05 16:30:00,0.4,0.8,-1.7,-1.0
2009-05-08 16:30:00,-1.0,0.7,1.3,1.0
2009-04-09 16:30:00,1.0,0.8,0.6,0.6
2009-03-06 17:30:00,0.6,0.1,1.5,1.5
2009-02-06 17:30:00,1.5,0.5,-2.0,-2.0
2009-01-09 17:30:00,-2.0,-2.0,-3.3,-3.3
2008-12-08 17:30:00,-3.3,-2.9,-5.6,-5.6
2008-11-10 17:30:00,-5.6,-2.6,-1.7,-1.2
2008-10-13 16:30:00,-1.2,-1.5,-2.0,-2.0
2008-09-08 16:30:00,-2.0,-1.2,-0.6,-0.6
2008-08-11 16:30:00,-0.6,1.0,2.1,2.1
2008-07-14 16:30:00,2.1,2.5,3.8,3.8
2008-06-09 17:30:00,3.8,2.6,2.4,2.4
2008-05-12 17:30:00,2.4,1.8,1.8,1.8
2008-04-14 16:30:00,1.8,1.8,1.7,1.7
2008-03-10 17:30:00,1.7,1.5,2.6,2.8
2008-02-01 17:00:00,2.8,,2.0,2.0
2008-01-01 17:00:00,2.0,,3.7,3.7
2007-12-01 17:00:00,3.7,,2.7,2.7
2007-11-01 17:00:00,2.7,,2.5,2.5
2007-10-01 17:00:00,2.5,,-1.2,-1.2
2007-09-01 17:00:00,-1.2,,1.1,1.1
2007-08-01 17:00:00,1.1,,1.3,1.3
2007-07-01 17:00:00,1.3,,0.4,0.4
2007-06-01 17:00:00,0.4,,0.3,0.3
2007-05-01 17:00:00,0.3,,2.4,2.4
2007-04-01 17:00:00,2.4,,1.2,1.2
2007-03-01 17:00:00,1.2,,-3.3,-3.3
2007-02-01 17:00:00,-3.3,,0.9,0.9
2007-01-01 17:00:00,0.9,,1.3,1.3
2006-12-01 17:00:00,1.3,,-0.7,-0.7
2006-11-01 17:00:00,-0.7,,-3.5,-3.5
2006-10-01 17:00:00,-3.5,,-0.9,-0.9
2006-09-01 17:00:00,-0.9,,2.6,2.6
2006-08-01 17:00:00,2.6,,0.0,0.0
2006-07-01 17:00:00,0.0,,-1.9,-1.9
2006-06-01 17:00:00,-1.9,,1.8,1.8
2006-05-01 17:00:00,1.8,,0.6,0.6
2006-04-01 17:00:00,0.6,,-0.5,-0.5
2006-03-01 17:00:00,-0.5,,1.7,1.7
2006-02-01 17:00:00,1.7,,1.9,1.9
2006-01-01 17:00:00,1.9,,2.9,2.9
2005-12-01 17:00:00,2.9,,0.8,0.8
2005-11-01 17:00:00,0.8,,-1.1,-1.1
2005-10-01 17:00:00,-1.1,,1.2,1.2
2005-09-01 17:00:00,1.2,,3.6,3.6
2005-08-01 17:00:00,3.6,,2.6,2.6
2005-07-01 17:00:00,2.6,,-0.1,-0.1
2005-06-01 17:00:00,-0.1,,-0.6,-0.6
2005-05-01 17:00:00,-0.6,,2.5,2.5
2005-04-01 17:00:00,2.5,,0.6,0.6
2005-03-01 17:00:00,0.6,,3.6,3.6
2005-02-01 17:00:00,3.6,,-2.3,-2.3
2005-01-01 17:00:00,-2.3,,-2.2,-2.2
2004-12-01 17:00:00,-2.2,,2.3,2.3
2004-11-01 17:00:00,2.3,,1.2,1.2
2004-10-01 17:00:00,1.2,,2.4,2.4
2004-09-01 17:00:00,2.4,,0.6,0.6
2004-08-01 17:00:00,0.6,,-1.9,-1.9
2004-07-01 17:00:00,-1.9,,2.2,2.2
2004-06-01 17:00:00,2.2,,0.0,0.0
2004-05-01 17:00:00,0.0,,2.4,2.4
2004-04-01 17:00:00,2.4,,-0.8,-0.8
2004-03-01 17:00:00,-0.8,,-1.1,-1.1
2004-02-01 17:00:00,-1.1,,0.2,0.2
2004-01-01 17:00:00,0.2,,0.5,0.5
2003-12-01 17:00:00,0.5,,1.0,1.0
2003-11-01 17:00:00,1.0,,-1.4,-1.4
2003-10-01 17:00:00,-1.4,,1.6,1.6
2003-09-01 17:00:00,1.6,,1.0,1.0
2003-08-01 17:00:00,1.0,,0.5,0.5
2003-07-01 17:00:00,0.5,,-0.7,-0.7
2003-06-01 17:00:00,-0.7,,-2.9,-2.9
2003-05-01 17:00:00,-2.9,,0.2,0.2
2003-04-01 17:00:00,0.2,,0.8,0.8
2003-03-01 17:00:00,0.8,,1.0,1.0
2003-02-01 17:00:00,1.0,,2.5,2.5
2003-01-01 17:00:00,2.5,,-1.5,-1.5
2002-12-01 17:00:00,-1.5,,-0.3,-0.3
2002-11-01 17:00:00,-0.3,,0.0,0.0
2002-10-01 17:00:00,0.0,,0.5,0.5
2002-09-01 17:00:00,0.5,,-0.7,-0.7
2002-08-01 17:00:00,-0.7,,-0.3,
