datetime,US_CPCE_MoM_Actual,US_CPCE_MoM_Srv_Med,US_CPCE_MoM_Revised,US_CPCE_MoM_Prior
2014-05-30 20:30:00,0.2,0.2,0.2,0.2
2014-05-01 20:30:00,0.2,0.2,0.1,0.1
2014-03-28 20:30:00,0.1,0.1,0.1,0.1
2014-03-03 21:30:00,0.1,0.1,0.1,0.1
2014-01-31 21:30:00,0.1,0.1,0.1,0.1
2013-12-23 21:30:00,0.1,0.1,0.1,0.1
2013-12-06 21:30:00,0.1,0.1,0.1,0.1
2013-11-08 21:30:00,0.1,0.1,0.1,0.2
2013-09-27 20:30:00,0.2,0.1,0.1,0.1
2013-08-30 20:30:00,0.1,0.2,0.2,0.2
2013-08-02 20:30:00,0.2,0.1,0.1,0.1
2013-06-27 20:30:00,0.1,0.1,0.0,0
2013-05-31 20:30:00,0,0.1,0.1,0
2013-04-29 20:30:00,0,0.1,0.1,0.1
2013-03-29 20:30:00,0.1,0.1,0.2,0.1
2013-03-01 21:30:00,0.1,0.2,0.0,0
2013-01-31 21:30:00,0,0.1,0.0,0
2012-12-21 21:30:00,0,0.1,0.1,0.1
2012-11-30 21:30:00,0.1,0.2,0.1,0.1
2012-10-29 20:30:00,0.1,0.1,0.1,0.1
2012-09-28 20:30:00,0.1,0.1,0.1,0
2012-08-30 20:30:00,0,0.1,0.2,0.2
2012-07-31 20:30:00,0.2,0.2,0.1,0.1
2012-06-29 20:30:00,0.1,0.2,0.1,0.1
2012-06-01 20:30:00,0.1,0.2,0.2,0.2
2012-04-30 20:30:00,0.2,0.2,0.1,0.1
2012-03-30 20:30:00,0.1,0.1,0.2,0.2
2012-03-01 21:30:00,0.2,0.2,0.1,0.2
2012-01-30 21:30:00,0.2,0.1,0.1,0.1
2011-12-23 21:30:00,0.1,0.1,0.1,0.1
2011-11-23 21:30:00,0.1,0.2,0.0,0
2011-10-28 20:30:00,0,0.2,0.2,0.1
2011-09-30 20:30:00,0.1,0.2,0.2,0.2
2011-08-29 20:30:00,0.2,0.2,0.2,0.1
2011-08-02 20:30:00,0.1,0.2,0.2,0.3
2011-06-27 20:30:00,0.3,0.2,0.2,0.2
2011-05-27 20:30:00,0.2,0.2,0.1,0.1
2011-04-29 20:30:00,0.1,0.1,0.2,0.2
2011-03-28 20:30:00,0.2,0.2,0.2,0.1
2011-02-28 21:30:00,0.1,0.1,0.0,0
2011-01-31 21:30:00,0,0.1,0.1,0.1
2010-12-23 21:30:00,0.1,0.1,0.0,0
2010-11-24 21:30:00,0,0.1,0.0,0
2010-11-01 20:30:00,0,0.1,0.1,0.1
2010-10-01 20:30:00,0.1,0.1,0.1,
