datetime,US_RPI_MoM_Actual,US_RPI_MoM_Srv_Med,US_RPI_MoM_Revised,US_RPI_MoM_Prior
2020-11-12 21:30:00,0.1,,0.1,0.2
2020-10-13 20:30:00,0.2,,0.3,0.3
2020-09-11 20:30:00,0.3,,-0.7,-0.6
2020-08-12 20:30:00,-0.6,,-2.1,-2.3
2020-07-14 20:30:00,-2.3,,0.5,0.5
2020-06-10 20:30:00,0.5,,5.9,5.8
2020-05-12 20:30:00,5.8,,0.1,0.2
2020-04-10 20:30:00,0.2,,0.5,0.5
2020-03-11 20:30:00,0.5,0.1,0.1,0.1
2020-02-13 21:30:00,0.1,0.1,-0.1,-0.1
2020-01-14 21:30:00,-0.1,,0.1,0.0
2019-12-11 21:30:00,0.0,0.1,-0.1,-0.1
2019-11-13 21:30:00,-0.1,0.1,-0.1,-0.1
2019-10-10 20:30:00,-0.1,0.5,0.6,0.6
2019-09-12 20:30:00,0.6,,-0.3,-0.3
2019-08-13 20:30:00,-0.3,,0.2,0.2
2019-07-11 20:30:00,0.2,,0.2,0.1
2019-06-12 20:30:00,0.1,0.1,-0.4,-0.4
2019-05-10 20:30:00,-0.4,0.2,0.1,0.0
2019-04-10 20:30:00,0.0,-0.1,-0.1,-0.1
2019-03-12 20:30:00,-0.1,,0.1,0.1
2019-02-13 21:30:00,0.1,,0.7,0.7
2019-01-11 21:30:00,0.7,0.3,-0.1,-0.1
2018-12-12 21:30:00,-0.1,0.3,0.1,0.1
2018-11-14 21:30:00,0.1,0.2,-0.1,0.2
2018-10-11 20:30:00,0.2,0.1,0.1,0.1
2018-09-13 20:30:00,0.1,,-0.2,-0.2
2018-08-10 20:30:00,-0.2,0.1,0.3,0.1
2018-07-12 20:30:00,0.1,0.2,0.1,0.1
2018-06-12 20:30:00,0.1,-0.1,-0.1,-0.1
2018-05-10 20:30:00,-0.1,-0.1,0.3,0.4
2018-04-11 20:30:00,0.4,0.2,0.3,0.3
2018-03-13 20:30:00,0.3,0.3,-0.6,-0.8
2018-02-14 21:30:00,-0.8,-0.3,0.2,0.2
2018-01-12 21:30:00,0.2,0.1,0.1,0.1
2017-12-13 21:30:00,0.1,,-0.2,-0.1
2017-11-15 21:30:00,-0.1,-0.1,-0.1,-0.1
2017-10-13 20:30:00,-0.1,-0.3,-0.3,-0.6
2017-09-14 20:30:00,-0.6,-0.2,0.2,0.2
2017-08-11 20:30:00,0.2,,0.5,0.5
2017-07-14 20:30:00,0.5,,0.3,0.3
2017-06-14 20:30:00,0.3,,0.3,0.4
2017-05-12 20:30:00,0.4,,0.4,0.5
2017-04-14 20:30:00,0.5,,-0.1,0.1
2017-03-15 20:30:00,0.1,,-0.4,-0.4
2017-02-15 21:30:00,-0.4,,0.3,0.1
2017-01-18 21:30:00,0.1,,-0.6,-0.3
2016-12-15 21:30:00,-0.3,-0.2,0.1,0.0
2016-11-17 21:30:00,0.0,,0.3,0.2
2016-10-18 20:30:00,0.2,,-0.4,-0.4
2016-09-16 20:30:00,-0.4,,0.4,0.6
2016-08-16 20:30:00,0.6,,-0.1,-0.1
2016-07-15 20:30:00,-0.1,,0,0.0
2016-06-16 20:30:00,0.0,,-0.1,0.2
2016-05-17 20:30:00,0.2,,0.1,0.2
2016-04-14 20:30:00,0.2,,-0.5,-0.5
2016-03-16 20:30:00,-0.5,,0.7,0.7
2016-02-19 21:30:00,0.7,,0.1,0.1
2016-01-20 21:30:00,0.1,,-0.1,-0.2
2015-12-15 21:30:00,-0.2,,0.4,0.2
2015-11-17 21:30:00,0.2,0.2,-0.1,-0.2
2015-10-15 20:30:00,-0.2,,0.4,0.7
2015-09-16 20:30:00,0.7,,0.1,0.4
2015-08-19 20:30:00,0.4,,-0.4,-0.3
2015-07-17 20:30:00,-0.3,,-0.2,-0.1
2015-06-18 20:30:00,-0.1,,0,0.0
2015-05-22 20:30:00,0.0,,-0.3,-0.2
2015-04-17 20:30:00,-0.2,,-0.1,-0.1
2015-03-24 20:30:00,-0.1,,1.2,1.2
2015-02-26 21:30:00,1.2,0.3,0.1,0.2
2015-01-16 21:30:00,0.2,0.4,0.8,0.9
2014-12-17 21:30:00,0.9,0.4,0.1,0.4
2014-11-20 21:30:00,0.4,,-0.1,0.2
2014-10-22 20:30:00,0.2,0.3,0.5,0.4
2014-09-17 20:30:00,0.4,0.1,0,0.0
2014-08-19 20:30:00,0.0,0.1,0,0.0
2014-07-22 20:30:00,0.0,-0.2,-0.1,-0.1
2014-06-17 20:30:00,-0.1,0.2,-0.2,-0.3
2014-05-15 20:30:00,-0.3,0.1,0.5,0.2
2014-04-15 20:30:00,0.2,,3/18/2014,0.1
2014-02-20 21:30:00,0.1,-0.1,-0.5,-0.5
2014-01-16 21:30:00,-0.5,-0.3,0.4,0.4
2013-12-17 21:30:00,0.4,0.3,0.1,0.1
2013-11-20 21:30:00,0.1,0.1,-0.3,-0.1
2013-10-30 20:30:00,-0.1,0.2,0.5,-0.3
2013-10-01 17:00:00,-0.3,,0.3,0.3
2013-09-01 17:00:00,0.3,,-0.5,-0.5
2013-08-01 17:00:00,-0.5,,0.1,0.1
2013-07-01 17:00:00,0.1,,0.2,0.2
2013-06-01 17:00:00,0.2,,0.2,0.2
2013-05-01 17:00:00,0.2,,0.4,0.4
2013-04-01 17:00:00,0.4,,-0.2,-0.2
2013-03-01 17:00:00,-0.2,,-0.3,-0.3
2013-02-01 17:00:00,-0.3,,0.7,0.7
2013-01-01 17:00:00,0.7,,0.5,0.5
2012-12-01 17:00:00,0.5,,-0.3,-0.3
2012-11-01 17:00:00,-0.3,,-0.1,-0.1
2012-10-01 17:00:00,-0.1,,-0.7,-0.7
2012-09-01 17:00:00,-0.7,,0.2,0.2
2012-08-01 17:00:00,0.2,,0.3,0.3
2012-07-01 17:00:00,0.3,,0,0.0
2012-06-01 17:00:00,0.0,,0.3,0.3
2012-05-01 17:00:00,0.3,,-0.2,-0.2
2012-04-01 17:00:00,-0.2,,-0.1,-0.1
2012-03-01 17:00:00,-0.1,,0.2,0.2
2012-02-01 17:00:00,0.2,,0.1,0.1
2012-01-01 17:00:00,0.1,,-0.2,-0.2
2011-12-01 17:00:00,-0.2,,0.4,0.4
2011-11-01 17:00:00,0.4,,0.2,0.2
2011-10-01 17:00:00,0.2,,-0.8,-0.8
2011-09-01 17:00:00,-0.8,,0.4,0.4
2011-08-01 17:00:00,0.4,,0.1,0.1
2011-07-01 17:00:00,0.1,,-0.4,-0.4
2011-06-01 17:00:00,-0.4,,0.1,0.1
2011-05-01 17:00:00,0.1,,-0.4,-0.4
2011-04-01 17:00:00,-0.4,,0,0.0
2011-03-01 17:00:00,0.0,,-0.2,-0.2
2011-02-01 17:00:00,-0.2,,0,0.0
2011-01-01 17:00:00,0.0,,-0.5,-0.5
2010-12-01 17:00:00,-0.5,,0.2,0.2
2010-11-01 17:00:00,0.2,,0,0.0
2010-10-01 17:00:00,0.0,,0,0.0
2010-09-01 17:00:00,0.0,,0.4,0.4
2010-08-01 17:00:00,0.4,,0,0.0
2010-07-01 17:00:00,0.0,,0.2,0.2
2010-06-01 17:00:00,0.2,,0.4,0.4
2010-05-01 17:00:00,0.4,,0.3,0.3
2010-04-01 17:00:00,0.3,,-0.1,-0.1
2010-03-01 17:00:00,-0.1,,0.5,0.5
2010-02-01 17:00:00,0.5,,0,0.0
2010-01-01 17:00:00,0.0,,0.2,0.2
2009-12-01 17:00:00,0.2,,-0.1,-0.1
2009-11-01 17:00:00,-0.1,,-0.1,-0.1
2009-10-01 17:00:00,-0.1,,-0.1,-0.1
2009-09-01 17:00:00,-0.1,,0.5,0.5
2009-08-01 17:00:00,0.5,,-0.9,-0.9
2009-07-01 17:00:00,-0.9,,-0.4,-0.4
2009-06-01 17:00:00,-0.4,,0.3,0.3
2009-05-01 17:00:00,0.3,,-1,-1.0
2009-04-01 17:00:00,-1.0,,0.3,0.3
2009-03-01 17:00:00,0.3,,-0.2,-0.2
2009-02-01 17:00:00,-0.2,,0.5,0.5
2009-01-01 17:00:00,0.5,,2,2.0
2008-12-01 17:00:00,2.0,,1.1,1.1
2008-11-01 17:00:00,1.1,,-0.2,-0.2
2008-10-01 17:00:00,-0.2,,0.6,0.6
2008-09-01 17:00:00,0.6,,-0.4,-0.4
2008-08-01 17:00:00,-0.4,,-0.8,-0.8
2008-07-01 17:00:00,-0.8,,-0.2,-0.2
2008-06-01 17:00:00,-0.2,,-0.5,-0.5
2008-05-01 17:00:00,-0.5,,0.4,0.4
2008-04-01 17:00:00,0.4,,0.1,0.1
2008-03-01 17:00:00,0.1,,-0.5,-0.5
2008-02-01 17:00:00,-0.5,,0.3,0.3
2008-01-01 17:00:00,0.3,,-0.6,-0.6
2007-12-01 17:00:00,-0.6,,-0.5,-0.5
2007-11-01 17:00:00,-0.5,,-0.2,-0.2
2007-10-01 17:00:00,-0.2,,0.1,0.1
2007-09-01 17:00:00,0.1,,-0.2,-0.2
2007-08-01 17:00:00,-0.2,,0.3,0.3
2007-07-01 17:00:00,0.3,,0.2,0.2
2007-06-01 17:00:00,0.2,,-0.3,-0.3
2007-05-01 17:00:00,-0.3,,0.2,0.2
2007-04-01 17:00:00,0.2,,0,0.0
2007-03-01 17:00:00,0.0,,-0.6,-0.6
2007-02-01 17:00:00,-0.6,,0.5,0.5
2007-01-01 17:00:00,0.5,,0.1,0.1
2006-12-01 17:00:00,0.1,,0.6,0.6
2006-11-01 17:00:00,0.6,,0.9,0.9
2006-10-01 17:00:00,0.9,,-0.3,-0.3
2006-09-01 17:00:00,-0.3,,-0.5,-0.5
2006-08-01 17:00:00,-0.5,,0.5,0.5
2006-07-01 17:00:00,0.5,,-0.7,-0.7
